,AllNAc,D-6dAlt,D-Alt,D-Fuc,Fuc,Gal,Gal3Me,Gal3S,GalNAc,GalNAc3/4S,GalNAc3S,GalNAc4S,Glc,GlcA,GlcNAc,GlcNAc6S,Gul,Kdn,L-6dGul,L-6dTal,Man,ManNAc,ManNAc3S,ManNAc6S,Neu5Ac,Neu5Ac9Ac,Neu5Gc,Tal,Xyl,Xylf
0,-5.119579671609135681387102637,-101.8486810959694854258382437,-235.7498421098340998285687118,-117.4300252367715709828038958,-10.05141426658732317980530853,-6.307018042237625079748087715,-19.25354321104521281730033718,-82.59219677270265077072396690,-6.517111350602530574516494112,-75.09220955446291058295240498,-78.75188733001366749880805179,-76.36177831135058504594764795,-5.511601375983806620642216897,-118.9972800680420956735274430,-0.042702227925827192578000677,-5.812726850625619312884405007,-85.39412860378460411990421711,-115.7666371580010229631856052,-147.0458492993230482929333958,-87.61457714036832775335001656,-25.62769446306650624420726293,-3.795925813658083560085286347,-6.505874031185562722387668027,-6.505874036188360858794568557,-103.8254170010847314364425690,-119.5594901585211533262840323,-107.8807887578649057124616128,-115.5146790038713736887375091,-464.8008010723242677391821690,-430.9974689368318561950859926
1,-86.72014171881064103302556490,-5.344179200330856449410419394,-155.6403204965988112552648675,-18.03639683356453350328951334,-8.700356497318370459518035514,-9.279726500398482872387014431,-36.55338144182391844998801604,-16.91990095886586404529396741,-3.803151811029393514174791318,-16.90309008984047880119633008,-16.91178494129024525613004845,-17.47772174704320614232902921,-6.104712535134188620651609334,-113.2716165055419828247522318,-0.039720160869246233448347158,-88.28299238962968280432027596,-17.41385953013867604634557364,-97.70244860790829643969502160,-37.60816574039268839354516366,-5.344143907548365383653553204,-32.68171315840036618833163014,-5.382351750373690478539944570,-68.69174448364109265162648500,-121.4830295509001554522675720,-17.43377561814808856467984645,-114.9017376264642428816264670,-62.28044249996540073049837922,-101.3408905433478297111948844,-378.3711076490015471118990027,-366.3836414900621226919877988
2,-85.74476247299617758119012342,-5.541047511269444453321922425,-210.4124853822561357958099159,-195.9232902230154599617850803,-8.415470857031629652977980223,-3.306476108110643932770543896,-71.84074254794713888186938160,-197.4834908280829374991528623,-3.595528440958519725480909385,-159.3234812421647580491932302,-159.6042342342838991429735962,-159.5732738432725029925173793,-66.96636225943839483717059028,-3.750938589028682938502352070,-2.210558359830907050015762171,-37.68335882890502467623949596,-202.7400766676012279101061328,-2.598259079093362288357883426,-299.9683544558382889739880706,-5.541082725086038665007582965,-85.31071274030552473480570196,-4.844291486927811183772475435,-73.69705667474273904002260578,-24.65596875515326837787800454,-0.552736402520742214348411625,-4.849550877695702203704583649,-2.046190496788080402890585595,-244.7146521772919544030016098,-440.3600328448967650516490916,-432.6866100625778580264334351
3,-134.6724028761014946610319129,-20.76088060982434119135699879,-242.4941626495042684895712313,-3.591156512073396823604539123,-1.542478816613110849121821371,-0.329892107129597036840973074,-54.45489936650118692800203934,-4.632611768959530193410962951,-4.303224486813101681969261751,-5.731227262388079664980440651,-6.424379127825655180291597461,-5.731225178612957288653282171,-38.47006048364238049733342434,-30.95808569518808994859784450,-27.84814529672707389727366226,-89.00542441847602466222339429,-6.424375396752008104429856531,-29.20153728176659639027263081,-6.424369675548321171106419413,-20.70158416210621660545556985,-65.60492808688556920337248641,-46.58926070890032109412384945,-104.3361202755725956501676314,-123.4400231129289194864166554,-6.357454333656878240430773291,-32.40222930507385720005710036,-30.16069262817557090201440475,-5.731222494988363493401557031,-414.7683473834519736380658074,-412.0425411138866965832082484
4,-6.172927206965618872744686224,-195.3323783573675303554281971,-35.03662478508304993290263931,-275.1898895037562940205981136,-107.3601222343303138563108859,-40.71786255774091736267359472,-5.502164148601909577939423954,-184.9767313120266238983664211,-94.58079040028860170327880379,-133.8207854845260710267194346,-134.9800036253639629483839499,-132.3189659490900724584031163,-5.215102061129946068057981104,-96.34702954055834223516817165,-3.127881737144585396887514996,-81.09671036149530778401623090,-211.1084480400540523862328218,-98.97017011763937837231152175,-297.0316426936083997070180652,-120.6376025149631028310379658,-0.077068482270199928472758718,-79.98208837239805125964515365,-102.5858355723873944489670140,-191.5693993417703466853562865,-90.43245324214092856920145939,-126.2071221688852347486811029,-96.77790215472769803930238226,-175.2594066968987457293017093,-4.563489300705337986378965274,-4.786632852019557792954144598
5,-88.05375554579777392348299313,-76.34364490984044544555294439,-4.981048269260410836340172719,-104.6338435652282077809163411,-43.45027907481857587125664479,-13.99262913171913209216821484,-4.055942902283476663103494739,-55.53498888143621236673939015,-42.63552130145724715692261851,-35.07339901421274171003033800,-34.54745626731400991451022901,-34.99075630625870121921310672,-4.503394308054234168870535999,-56.91971938037079967287838858,-30.48322601932842538917034748,-180.1915503722371575041495068,-83.00849150118003795625598780,-35.04842255409152371414460640,-213.7934710858868637710822964,-59.76224035180673796094093797,-0.035894771446398188718761022,-49.50746199784889999745889836,-116.6205011449685475982641115,-349.9045617960439519279807700,-37.28090519291680534268986400,-59.92046769860745189424825363,-33.26267988873089363459501344,-114.4775634797069415811851289,-55.78368027203231562342846576,-50.23627066660429167470807303
