,GlcNAc(b1-2),Man(a1-6),D-Alt(a1-3),Man(a1-2),ManNAc(b1-2),Gul(b1-4),GlcNAc,GlcNAc(b1-3/4),Glc(a1-3),Neu5Gc(a2-3),Gal(b1-4),Neu5Ac(a2-3),Man(b1-4),Man(a1-3),Man(b1-3/4),GlcNAc(b1-3),GlcA(b1-3),ManNAc(b1-3),GlcNAc(b1-6),GlcNAc(b1-4),GlcNAc(a1-2),D-Fuc(a1-6),Fuc(a1-6)
0,-0.975850958660416184939433460,-21.69271421054065713057582244,-3.078880067462526288867128080,-7.403198459162187848180798450,-3.078873110052502638704371310,-15.96734500749205152713789895,-949.7811053754601539060438869,-96.53535972565562515806860990,-24.56048660686942832099998874,-34.48417716397984886699002646,-17.13252096157796033256363971,-34.62280827352615077805795920,-23.63823666942850539497587195,-0.778065763673309903917522980,-49.86580179521645610446683989,-34.60762211919007073944738979,-38.75546392127431782203248738,-36.61477098595571784196877830,-15.66962893457178477762636799,-2.651534155701067866759345093,-7.322362243130958640578006010,-91.65634244577863828274239846,-91.74165688943328867980569503
1,-8.212011268101573712770571642,-21.08685012729029317577483866,-127.0981861112135991198200925,-0.784586719809473973502982882,-137.2399876719444947091335292,-13.61436675505719660222065037,-1.673561431591264706796402432,-32.53256562156984056488684840,-11.43848465244515124955480966,-12.50673983754876692429574138,-1.073368723681113064713715602,-12.65381869002946321260607412,-23.63347833605081661273677808,-122.5856955284802443456945377,-14.65662278598096403173123652,-21.03264134454056049691223237,-13.99491543263638385366086230,-21.31329265259971431175880564,-25.29046434161462695158010384,-7.635802535037783652684936068,-4.306208656953979617135136322,-63.66449100943455327746731292,-62.40369780166231381125467987
2,-7.672943860737614633123853476,-27.40261046014528815092350535,-14.33310593404743919313455067,-11.10522657768158937200719036,-23.92062348941705008533930728,-2.734676055661562750031321216,-275.6740855146651527332164726,-59.84606596793146278005089105,-3.854950617949579720538445326,-9.793948738198498435406070006,-8.038762312855039642010011656,-9.704316864001229526788607806,-0.260282575404303173480418266,-6.488179803449016762298749576,-2.457470087670053244511192476,-19.70618892260651514692630471,-11.84484939229672439259836479,-26.34024574703997316853444673,-12.46738154591311536138177481,-23.89807796104638791033656903,-14.06281691185577369353377647,-5.424862931781400245196858156,-2.984475308607072103254162546
3,-6.563173598998382328748514277,-0.847163566148268125332564087,-37.37199444516523643639896170,-3.458438749549686129649987797,-55.81481193921699033017903767,-5.118777612819709042839790807,-1284.934211885361760040764039,-6.156522729069396525356952217,-11.90667079716667582790483158,-13.59183265723724660482317930,-8.638633565824602303330067517,-16.58882358121239212870988203,-11.19826817144284738564071059,-43.21835038790368958227202682,-33.92449907724891237515160617,-18.11499018079719961113561429,-16.65920811982105500300334422,-26.75466716931865982062188756,-7.960111536638559493653697357,-0.641575984898604080775741527,-5.693538478318991058132468707,-39.13561801952805027078948042,-39.23641984580474338418537805
4,-2.61037775941998177439844848,-6.33243309310773465561075675,-41.36924736645141240051930759,-4.14093547188082372452165335,-40.27370952609179005380519186,-8.45633276237850904737433919,-573.8835592616149896597016025,-53.15812582975992645766026304,-3.93648232812784582174775573,-5.41135661882181007991474745,-0.19439685810280607696052167,-4.18800431347843000422374019,-23.64206006470004417318981683,-38.22614413601098378494822960,-20.66844081329943524164277816,-9.30453551662985190152874844,-4.71884104807951780684380837,-10.00635137123800411250871871,-8.47129108177782285744858418,-8.34398273987681274047438500,-3.30781107031865496800819964,-51.57494071848575123589666242,-52.05080846641532209188669754
5,-3.31283237839112244759277944,-11.47757365620262271016732582,-109.6557039481916919115054344,-3.01262092859535349647272782,-108.3279070019957475703497255,-5.80365466918667568892148016,-241.8734663880734320275464425,-3.38330600086368898628594365,-4.57388546687015607267571187,-1.96844167437875976186560159,-2.88703105722488260821992781,-1.59812279716687920864093933,-15.67086877725967572468230783,-106.5293039297154701556527637,-22.67821337765172799932346051,-2.63553527913107627859454758,-3.56679145752229359286596451,-3.32867290328121769030995185,-1.94479971964345260020320732,-11.61971920511962028193092261,-3.37284486004445740731111012,-3.38040472750515118042210011,-2.10099344859937285613086494
