,AllNAc,D-Alt,D-Fuc,Fuc,Gal,Gal3S,GalNAc,GalNAc3/4S,GalNAc3S,Glc,GlcA,GlcNAc,GlcNAc6S,Gul,Kdn,L-6dGul,L-6dTal,Man,ManNAc,ManNAc6S,Neu5Ac,Neu5Ac9Ac,Neu5Gc,Xyl,Xylf
0,-950.3240194057094,-4.678164536391809,-301.0296016764093,-150.30133642009943,-109.73322239020521,-186.28535846197187,-128.16744340289014,-115.37137406184225,-116.89161387939505,-60.16809021677804,-157.2784751335922,-4.5771167968564495,-531.0465188006403,-230.7702047378718,-154.43656995376702,-301.7497905547799,-309.4847126614842,-0.019774805747289292,-533.1132102587133,-1234.5149840351855,-150.2131430791116,-157.77939191768147,-155.4138273827218,-73.39347542210115,-69.20220947689573
1,-424.27268778309315,-1117.341002513884,-168.18138258683302,-3.0916388728109023,-2.0620993778025225,-145.42864089319824,-4.700150724065495,-144.91570691392837,-146.20211814721634,-228.02186565004018,-3.31385636218015,-2.5048283363736457,-385.8001409901282,-146.59638941033543,-2.6207091816202093,-498.28043658708185,-106.04317781892827,-358.21965089259544,-4.70059721655113,-386.95204169864434,-0.7298588097479222,-4.700150723300051,-2.0610933936847995,-1076.222609460426,-1087.0614453923538
2,-5.020177155766386,-669.3704328777458,-440.2723738000379,-136.14865907086846,-88.8691969651182,-369.8791824219104,-5.711274782740056,-107.29954000269488,-107.18654814297271,-8.8736952669498,-161.11637233726086,-0.033727486694152375,-5.7133243363263455,-369.78804811318975,-159.0080057070316,-559.0511261831159,-662.1501357052508,-46.06588227622751,-4.103797149159783,-5.71332433632636,-147.0830152533233,-164.52454335375788,-160.0144470535659,-667.2005659851363,-681.7537007051881
3,-787.6485307861593,-14.135596516921012,-341.758228775245,-147.6920587997642,-98.41861359286821,-254.38043654015777,-111.4849611816663,-95.00639429237823,-92.95582295075583,-3.5804420280760296,-231.72643618037623,-3.448539062813565,-412.0877369374016,-383.60115715478014,-229.95427863331125,-342.36545436402446,-752.7467979931777,-0.07274340430621162,-402.7644676031915,-1147.2651672846735,-224.8357984293044,-236.35318972907774,-232.27453560444005,-4.961421036832378,-5.654568217392308
4,-951.5783066785542,-1565.3195462748408,-3.258160370935957,-1.517613003489748,-0.36217097391984776,-4.462133175262052,-4.174964148055986,-4.867598283373773,-5.560745463933612,-95.55472508923432,-121.84763414674697,-108.44080006813897,-784.5051327195829,-5.560745463931399,-119.23164137213973,-5.560745463930025,-60.52543923695092,-436.28556331672604,-207.53500069825114,-722.0746280692315,-115.76296856755297,-125.69715841484782,-121.26990567285124,-1082.4043505815557,-1095.042171360153
5,-577.4872168973715,-517.6341288597611,-47.302355321058585,-32.457197352502874,-14.14472378585145,-32.62981926437164,-28.05124892552923,-29.978881566688344,-30.701173835792886,-73.98772771955537,-257.9590918968146,-0.012904114123388766,-605.2021522305122,-31.648978368024423,-151.45694509207596,-506.6566387981526,-4.356710331826471,-165.0174018141021,-438.36111276003174,-667.2464751635665,-123.64752548996678,-260.62598230792224,-257.5131611630467,-1070.191278361404,-1081.657675042188
