,6dGul(a1-6),All(a1-3),AllA(b1-3),AllNAc(a1-6),AllNAc(b1-3),AllNAc(b1-4),AllNAc(b1-6),D-6dAlt(b1-2),D-6dAlt(b1-3),D-Alt(a1-2),D-Alt(a1-3),D-Alt(a1-6),D-Fuc(a1-2),D-Fuc(a1-3),D-Fuc(a1-6),D-Fuc(b1-6),Fuc(a1-2),Fuc(a1-3),Fuc(a1-3/4),Fuc(a1-3/6),Fuc(a1-4),Fuc(a1-6),Fuc(b1-6),Gal(a1-2),Gal(a1-3),Gal(a1-4),Gal(b1-3),Gal(b1-3/4),Gal(b1-4),Gal(b1-6),Gal3Me(b1-3),Gal3Me(b1-6),Gal3S(b1-4),Gal4Me(b1-3),Gal6Me(b1-4),Gal6N(b1-4),GalNAc(a1-3),GalNAc(b1-2),GalNAc(b1-4),GalNAc3/4S(b1-4),GalNAc3S(b1-4),GalNAc4S(b1-4),Galf(a1-2),Galf(b1-2),Glc(a1-2),Glc(a1-2/3),Glc(a1-3),Glc(b1-2),Glc(b1-3),Glc(b1-4),GlcA(a1-3),GlcA(b1-3),GlcA6S(b1-3),GlcN(b1-2),GlcNAc,GlcNAc(a1-2),GlcNAc(a1-6),GlcNAc(a1-P-6),GlcNAc(b1-2),GlcNAc(b1-2/4),GlcNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(b1-4),GlcNAc(b1-4/6),GlcNAc(b1-6),GlcNAc(b1-P-4),GlcNAc(b1-P-6),GlcNAc3S(b1-2),GlcNAc6S(b1-2),GlcNAc6S(b1-4),Gul(a1-4),Gul(b1-4),Kdn(a2-3),Kdn(a2-6),L-6dGul(a1-3),L-6dGul(a1-6),L-6dTal(a1-2),L-6dTal(a1-3),L-6dTal(a1-6),L-Xyl(b1-2),Man(a1-2),Man(a1-3),Man(a1-3/6),Man(a1-4),Man(a1-6),Man(b1-2),Man(b1-3),Man(b1-3/4),Man(b1-4),Man(b1-6),Man4S(a1-6),Man6P(a1-2),Man6P(a1-6),ManNAc(b1-2),ManNAc(b1-3),ManNAc(b1-4),ManNAc(b1-6),ManNAc3S(b1-2),ManNAc6S(b1-2),Neu(a2-3),Neu(a2-6),Neu5Ac(a2-3),Neu5Ac(a2-3/6),Neu5Ac(a2-6),Neu5Ac(a2-8),Neu5Ac4Ac(a2-3),Neu5Ac4Ac(a2-6),Neu5Ac9Ac(a2-3),Neu5Ac9Ac(a2-6),Neu5Gc(a2-3),Neu5Gc(a2-6),Tal(a1-4),Tal(b1-3),Tal(b1-4),Tyv(b1-3),Xyl(b1-2),Xylf(b1-2)
0,-3957.238419319495782406043778,-243.7628317227593456403648036,-54.51712128205285667887258534,-8.362095429429946692403348582,-38.75723189403894613862422754,-51.92359331928584811298656723,-4.301652418883479795403348642,-54.14533078130566283544898108,-143.6191780461453482612965671,-168.8369216260647921810733485,-7.664592103031355778891250012,-8.127554969287534276569108082,-53.45397021596889791013917152,-1295.053793193526032979378693,-2008.851236097338774103817785,-3946.614107776527019928218224,-50.86621008713222149173599764,-50.55541453519902759328814374,-3269.431486948023464975723175,-3964.049453389301710094865170,-1118.111420199434936739841354,-292.7876280106608765293529136,-3945.159383710396278032330183,-48.53477615967359347954606463,-6.072917866011307743945348642,-47.59722737662604380056443018,-50.02173076004664566342409186,-214.4156602758128542438333485,-69.78531048186068948944691338,-8.125649747447091888314138642,-5.417681550337761546566883342,-43.19031332781582194656688333,-385.5191554674531368856863673,-7.263483140761743346566883302,-766.3424691442546503384544072,-1216.424678868855703647133168,-5.589506707190113920735723742,-7.668948248869960392403348642,-130.0291172910288012276954189,-1105.298233141274582898677936,-781.1271877541935807963587832,-770.4269100202019608045118346,-49.83064841301691737683124988,-133.3473945564615227630105594,-46.74425481228768899542634850,-110.4740695738585339257727436,-60.70846937357598419046874367,-1169.247457178022062317985522,-816.7246591631739952298287067,-41.43689999125258431480155853,-54.76292175792221690360438942,-50.97214607483831485385794852,-52.43238825348460764348634854,-7.668948248869953392403348522,-64027879773.51333808989822657,-5.826819250896497748314138642,-8.362095429429913692403348602,-8.360657534791127032798743582,-0.361078667860524817776284622,-6.183951509846851332403348522,-4.884607818150259161501548882,-5246.665769906033457045478568,-3.603817183994685872640352923,-8.124976161306333783538496682,-1.871371894927382397030167182,-8.362095429429865763584996602,-8.359303458023444889936435162,-37.67773720554352229448656712,-4.995438493986698616694567162,-53.91266865947328448854191838,-53.52438568859840556680074812,-1322.736674182404806245365179,-45.46563137647921586262396724,-46.51010496960394598282769858,-139.2619821298031811871415671,-3936.616921058074467943484514,-54.47523226695076072142379866,-141.4613150572019362040544794,-3964.713843786823358456438141,-1060.592872710589594160290414,-3.352636788206905914190348542,-4.615980652275551556961057239,-39.33671372814041171293928373,-8.362095429429895252403348622,-6.932882390627810977112325558,-8.129521317949404815403348502,-8.349723642276366946281250022,-2438.043334318448684356427126,-701.0205213095056078172028724,-8.138575421462692717958542202,-66.37894700552073229240334863,-7.434618346405423336638815112,-108.5910514230465460262695337,-3.637019799634738191096418332,-35.84729008347214732045794890,-1040.738135460248527125098843,-39.83671289159846909545656716,-39.70001101675901229448656714,-7.453271774123484490304404382,-52.73913818471307352739858106,-52.81405569371355980401868614,-14.77956313048884000487154884,-47.04063820738449479129302708,-13.87290427816466041273424861,-812.7325321706512886797933828,-51.52503122207511910111260250,-53.59359376529457946117926856,-52.24623386356017094875626730,-51.47028805908125338311736856,-45.23494339244330661425794896,-49.29691869945056763641502708,-50.26095359754030590384704860,-52.10917711846790761444795354,-51.57883505114999524143851079,-48.78407101623277551177456703,-793.6864405662879025859080769,-829.3083286862484380000289687
1,-2300.156865974894697909523251,-87.03284748092874571725401534,-176.5728842029184435546849715,-474.8925895296025482427240088,-302.0381935006012956919723806,-7.303424291788765076203707219,-468.0212351345786809096231694,-174.6437852125187431801140036,-8.912901491799567764171000579,-8.912901491799516853851098159,-8.224129516139117182291513779,-107.2212429592416495366228324,-230.3813151438531641438429506,-6.079688147743360900764067939,-6.966991342744222134764067939,-2288.284166354852732595789328,-33.86190111845284297514433694,-3.370171907596792854125868039,-8.912901491799537978966951549,-2305.135169309230068577435285,-6.273844162184204503975239159,-6.140312769578017176961005339,-2288.661815615977354942915463,-6.264857967590210802109707689,-21.57696819702834711100178088,-6.337810638117630499971985139,-3.641447580765386719556793609,-6.715676914463319133621804539,-0.658633539074356856222521707,-183.2726834088407615535155197,-148.4172293122557678594677379,-5.967436703636368809880646749,-5.821859038441208818797701379,-173.6119634297231148462887062,-7.303463579365430559245732829,-8.912901491799548803530744809,-774.8666940770743046113604522,-323.1076897797319290171640058,-3.329405377696482830646005489,-7.121142022571478198442998239,-6.610316398805488896423746439,-5.917169218245527752285746399,-161.9283853324379766293497635,-7.526607130679628337881870789,-7.163545100948806738824275919,-94.00732433958324878290477324,-5.646521886153549448219196909,-320.2270801396734309222976704,-61.49475189197805261299186284,-6.715676300680294588108510329,-174.9182587083053343976312703,-168.8638725908778721184635917,-168.1678683944053184458644736,-321.3123964435406794818274576,-55630864890.80681750169949939,-176.7339584499541445663991171,-474.4861863909620778336290381,-8.914341456956853778105596739,-82.51242105779914190267660874,-209.4804026617046277265309857,-217.8089583624934367497526329,-2233.979024324203122585720675,-3.639554078422600372758355469,-338.5270211204821431233644925,-264.1440141025796893232956966,-174.9585730704445631102913894,-8.915701280140041527792303839,-292.6927610230344257610870477,-193.0547713213645884148438911,-326.1392823635570002986706291,-175.9307403014343042717118584,-7.303463579365433197639067889,-78.15146836159732736796282544,-165.1901879124748661285169155,-8.912901491799545070139970489,-2275.504089731682549185894573,-172.7891078445863118961130154,-8.219754311239615709609064329,-2306.994387063839248234686730,-1186.735904627030072747492529,-3.803274247886913390122652219,-1.243105725313435209070665089,-4.768839268904478043059511169,-176.9208266557446424652209325,-55.90005985867972442489755374,-8.903925556510000894726077829,-8.925428259457794535662300989,-654.4333540784490073247640679,-8.912901382283883297400644316,-118.9256560842371950987705543,-131.6507429919212224848508933,-140.3810824429403629682367292,-120.2315615797099915887955506,-44.64372288401578588853235113,-303.2893780696627080418198584,-6.833459950119701094764067979,-455.0325681128308474393231672,-296.6465707434114147610870478,-249.8213045143162628898300056,-172.1004917464823566345448385,-170.4049615402400920942151340,-65.54316692764504903219054842,-161.9089582336639417755477594,-6.263357863465779805720965199,-8.219754311239564637285746399,-171.2206977768738787234016929,-170.9533837771276992834683590,-169.8841566323294562100500027,-172.0083675678729164486170422,-92.50657187280287822882540884,-8.209597144692123984008805609,-8.902744938046784765154343249,-8.902745595152064836685466419,-5.468850933314448609599374109,-163.7656721042616817272662866,-929.5564185810152632790612592,-957.5104200558534674050397822
2,-8.038863331767004494708521545,-939.0240711934449536193755252,-495.7082589686993559713415170,-2014.612367732364742283250740,-1078.936110286156615057859938,-1383.290002371936708865391142,-1802.563273432278140196749637,-873.2895978148527044895307319,-5095.635208969465985220391863,-3907.424105941725542127501322,-1505.602368326264729340940158,-1096.287457320216084173213832,-752.6983543119819829367906499,-5.266274609527218777059054885,-3.083036274165748946403479705,-8.038863331767004494708521545,-311.8894163383744948591327863,-4.087619613155212394606561936,-2168.494945260426980319053932,-8.038863331767004494708521545,-765.3448623598772348279726810,-1.353002384698283825999133040,-8.038863331767004494708521545,-303.1675218078158290893058291,-6.944723391006681627554566402,-304.4553024691962390930649134,-324.2474270592615946492022024,-487.8280437692183306857711536,-206.2015254103345980632503698,-1263.744954077104690514210401,-534.5112645003677602468900375,-467.9064139184951535346774719,-449.8791626696589646606978980,-4158.922276467496887893224571,-556.5034848287036733714948757,-873.4606882073690579632352216,-4028.134976496107334393146343,-1835.085444989403643710804739,-280.3840641039534926924208267,-742.0002734004648678851789912,-570.7369329199662553901451473,-560.6609252599194524874967400,-869.8464870103718793772796633,-3846.410410326419440606468823,-272.9368889634318584658948140,-11.80395975379623312901429800,-269.9945462887938587378748545,-10.57881135734023205837629234,-27.72073973496381271050765140,-759.5581265257948130591564195,-587.9296770449444456399580782,-307.1767787562504894989569898,-282.9607764438559823689783127,-1834.068612712092434707782857,-51342720830.39224080277144949,-828.3872232421881692182321449,-2016.214122951544520958099002,-341.7964294214291709699476567,-803.3788589466130631119172880,-909.8210846660422791462921633,-371.8130416600221733297408982,-8.038863331767004494708521545,-0.437461045543944234765644825,-1420.677274153804632236666949,-514.7466062947933764250454304,-1275.652307808899784793063329,-444.6176701507190219890248619,-1024.198326059907002489536652,-896.4216099202760328005122380,-1377.616171192253352754446582,-863.0318066344308847642893833,-936.1195610928252108822467036,-306.8873470155515928251490905,-299.6877670660844288894839461,-5075.272055315388007667352104,-8.038863331767004494708521545,-692.8647569433569155857407563,-3346.498113118591647018120609,-8.038863331767004494708521545,-8.038863331766994494708521585,-335.4545201929147494576214875,-427.9994012449600937247331182,-94.00652289660390912659887260,-1253.960332720588407764385523,-368.0363294036386800845325061,-343.8890472164123465528271876,-1335.098173653294688775147474,-1528.615729166849171991416903,-485.1925358302319274101586124,-870.7059852939357525244717056,-1721.177794984851418445988520,-871.6143023528959422049983960,-1996.132809326478097137237579,-916.5907588907182503382030660,-798.5321792072010991722594096,-4896.098945777903132448804997,-1562.013530555976173217068595,-1024.776316192328928489536652,-906.7935028118775467167873568,-397.6952785915147521480136266,-318.5820348442630581353689339,-300.9516451783352357778495866,-319.3360715786739414312193557,-312.6990756510012563016247701,-402.1185902571490427112258853,-860.6675578381571850544849778,-594.9987667251295748174893214,-305.9943325528818491073317912,-693.0985246209857440845471331,-304.5248794450613519194981181,-325.4714816305825076006915011,-600.3004820423112532910596242,-785.0695418658879849127779309,-345.4477111020308821196871574,-805.9218697170376259647289911,-3.995812063932407589951727415,-5.094424352600495038842635255
3,-1892.118491143637767522745634,-8.24265239367586435280428168,-8.24265239367591043161911758,-582.5204614744406663259988750,-8.24265239367597778054285722,-7.14410558773245032121059329,-578.6976372720444237903567261,-8.24265239367591991482179874,-96.46409007974230598225877067,-276.9710911270113747828975966,-554.3741977002717495840511764,-8.54962279743297364634169954,-6.45089292444786105751962762,-490.2497642315083165612753806,-1015.453528254803477402299176,-1880.989733219886636266540172,-3.35230326545424241532183664,-8.711239624607143230825128163,-2371.863289429495185913721355,-1900.277011007277717064102537,-587.7142465053962787162698704,-247.3757186558498704180049750,-1878.166628165190128939077266,-7.61477663378010707761212441,-3.26490837270466499438273740,-3.996051949067628477995234455,-4.767548988925832040492558787,-160.3608534383655943229522716,-23.54066179737977031432594357,-8.55290561819390663046610720,-15.89086571470448873455402796,-5.24789561431442927680674747,-301.4218239608656980141532871,-172.4356896723256853036865089,-398.6247479966296291174504040,-676.4504284949725848369626263,-168.7626216927953551954142807,-582.6271652149139311152962037,-19.91532519823088130756640266,-574.9754908403075156989088735,-410.9183860587949486429952128,-401.8377660048593808976010035,-6.85635803255599133942313699,-94.91794034484276503906778437,-5.18633785932925395235161022,-165.8385291150579266453660654,-4.72267259873640625930981123,-458.9551807791839958085650406,-7.54845601197483213593683925,-8.242657917739970931162513003,-8.24265239367593458713036562,-4.41401099718678599256566378,-6.85635803255598463580247260,-581.7903374302961586611106181,-56689012272.96337321504073656,-6.765584426688634933277185315,-583.2904930003426298091571522,-148.5889222510152222331028044,-12.89407056785390212859435791,-6.814712864473028459131761632,-2.577535466022115851011566315,-1673.353725763051593949181974,-1.535316865537298684729944980,-6.68821829153206249869183518,-43.57622800355826666140927977,-498.6984345182290537793041687,-139.0673935368789588943087786,-8.24265239367601939934833991,-5.106353196426139204463182305,-8.24265239367588234827266386,-8.24265239367584560011805048,-564.8216785825545532879831056,-3.25221980689713395902997456,-4.09951766728434703718256700,-95.72839235907065349186784567,-1868.319942249414528040412515,-7.14404010500779090377866708,-98.94403989641147514621768817,-1898.006496099365563295974200,-933.3823717991344235941006406,-3.151557356510830643154786400,-22.89796583463159449404584485,-324.5612491213666722699318049,-568.7081401810588138478600003,-7.440573591270748470586988922,-7.238665962279083547590268479,-555.4084891235752537426876636,-1730.825997712951279541389090,-585.6969676690861771176895694,-8.57792937247320761981875758,-627.1749615916774660341953565,-6.99795698944672074007261605,-656.5730509671989228378507218,-4.111317560313890004877941010,-6.04542781633977450879142906,-1385.503749804261658673087412,-7.54950521311595761692969963,-8.24265239367588539934833991,-6.73445058775096334334906167,-6.63321448124183223385027610,-7.14404010500772964223758562,-1.57315637588323410082660478,-3.88594356698628292878904404,-2.116114319946800524430702598,-280.7319323284871008096463421,-8.24265239367594532938977736,-6.04542781633968301945644342,-7.14404010500772813888742204,-8.24265239367583918535693274,-2.90993360041049900099712756,-3.66815193064184714187898690,-7.554622437105204483385601546,-8.252912491723576050115008815,-8.618858192998682328248294095,-6.45089292444780660902377418,-720.8717670032257858828180499,-751.2847415300726071810231069
4,-245.6332941088800977639789150,-251.9834417973429044252755516,-114.4180758140418651358860954,-903.2334418305071394710771704,-257.4292486147223287501732934,-776.7336435905448726508618214,-895.7190170946919802875554206,-113.2371293895809856579334310,-2783.501215694432368833628389,-848.8090466215632681368890724,-37.76607677221085788647425335,-43.80073594596735875264230538,-172.1260943339031740352352564,-206.0950799111660971914267982,-248.0145149244150150687982950,-235.5128988178156006544643774,-111.0858922896925312611442472,-90.86691449140318669512573651,-572.7070107126720908591172594,-253.2803908775251929558622618,-597.8066290846988318129229600,-218.5599792682026716779925822,-232.8029610235830408355144944,-69.38201252246647068963462245,-37.49765745299836822331347366,-108.5851716055837672186507444,-111.1203682015715445960139924,-328.7308715404109662528768898,-132.6333961171311610440518010,-64.49116571430031985755423152,-119.5256506913916922511380554,-174.5737575421563492453102294,-311.4608632809634128487838540,-2933.839437842483233840239761,-400.2596102797116707468859460,-688.8656236112647004422331850,-2388.480585881324459147115445,-211.4753107591981217665264182,-315.8207750696163791458758456,-579.2413820490576384278360060,-416.3064959590443357963510600,-403.8966989442649387677198776,-115.2168699643436964447378738,-1900.669425779547345946482297,-59.74162239412169591750253871,-7.674711390988621340575105640,-93.77721109348477309033280855,-7.810811108175770930290422090,-66.74306529482516384603862525,-579.7445652869296923741972610,-116.1123465289542297049607144,-110.8547678748704488079675944,-112.7148821360698501889484062,-210.8654248301716772843117544,-55621385580.02381128831496603,-97.76521508181208672317740065,-903.4064024263048052858255292,-66.11474990044977160111916662,-128.6074446375423460738300774,-166.3491976629707303769495686,-138.1955857175429318651155372,-1832.265675259986977237134495,-103.9593106281738521487173520,-760.1451968063205091985510696,-205.4932138118710872257554174,-57.67915673831523327163518924,-70.81568659868013209775689975,-255.7481241592992086928134960,-104.1815444575475499994573326,-804.7348732880162790344990234,-113.6734374380670452174973582,-377.9012459990865013740636418,-107.4465987009318473209093772,-106.9176913790139057390380402,-2782.260985234532374977512008,-222.5127868058048129211525378,-112.3232753700942485996341402,-2590.454901894979562938001413,-251.7990513430937610932909846,-764.5286184191761444622922772,-42.36381987155250583745717980,-24.54637424381299122493234175,-3.495397556746623954098688180,-56.79409927934867263655530850,-0.033082931510414308952157770,-53.74159622664490835703658941,-56.74078077503509150882598355,-1605.287761971634119889825044,-493.8277571902477420122371978,-7.694845202209558378463981420,-7.728656464757583351632726500,-53.84580867088533405451275902,-7.728656464757570022775349450,-162.2465955107096550504535664,-253.0474222660550934750745884,-798.1493695420171561675272848,-949.7505720937241505517929632,-257.6401950449822366928134960,-255.6905632028785443172558502,-112.6769224500262711440108908,-111.6694561560623789044871446,-108.3658140465774394680893534,-107.0538067149904774300082990,-107.0402206629392482350461952,-274.3403225837979725364048324,-111.3282889825052277305858114,-113.9538905074416072506524772,-111.2832832831081405284470158,-112.0337084342489043999285368,-106.7804141495987427977636378,-108.6163592834831154886929540,-112.4453960095355457191747950,-115.9687110193921695558541320,-115.7077512602820971758770278,-116.1448434628469864680688586,-759.4186090026363245570626828,-761.2793439459771260976347482
5,-2371.170323157658455667438585,-561.2442735792893184611940000,-148.5647495511875248567147929,-3383.470063887532043250233399,-2156.293408016033549872948783,-506.6570690423041525741359484,-2963.894483647558565769551837,-147.9207055717395174466960305,-1808.021226967748363030072262,-2961.836169534816215173797869,-1506.733348493443220610428758,-635.0541648701038392296618375,-199.1340562715237625105471486,-440.1567931964431376066653519,-781.3540322533271530488238529,-2360.285971226400434873907380,-71.36937639191468738225380254,-145.2280382507524569089137036,-2225.998654785920310838480059,-2376.017750131549950093512172,-366.7192710186057316767365662,-154.2938522012627458576838872,-2357.493492320214711443106785,-84.4472376897145122460641651,-68.8954391776765686486733282,-142.8593240999277154388953078,-108.2714474275806768542439107,-147.8199692841527905272696576,-6.217776397621217787164437983,-491.4793472359629283162651838,-157.7714525982500221287359564,-119.2828542065008570518221728,-109.0542054478933155330418594,-1960.765423340643640076783093,-226.7317299877700923977562551,-652.9479643431061874717797804,-2355.063706607904678721708520,-3047.475313283110291563729763,-17.65311653887550972515437548,-431.2525589964613008235491035,-243.4707889242875057054059447,-231.0275339424138442823738064,-146.4013861961653096229334723,-1806.807085015472627577838577,-71.1661785669340847388189343,-7.68670823437024864614407304,-66.3981265569175110238983175,-86.4536676878914005400249662,-6.91275900512063007036680099,-436.8060716912562115859721950,-147.9509842583668078872215854,-145.7072569897078653304263503,-145.9610850125828696166678083,-3255.110063490737907350104806,-7.6048558811420851464248394,-167.0789439246979032796965599,-3567.796693546110413641582935,-86.9748090669100030711068794,-198.6881470123620139217760531,-189.4873729023920636175740023,-198.2613100126893035596475327,-4485.643820690865047769379569,-194.3947894713095111076755163,-540.7372152273471911204551211,-167.6674466637297192013161354,-648.9779491405909093384406265,-63.3023787202849118027730581,-1843.478954279318277520191951,-189.5322468686212700593796091,-501.1421175231858036052491864,-147.5561607535571258238788905,-644.5640997867532229767971249,-143.0946345485215657808634541,-140.2150617605988540584011734,-1807.048778967698975773297993,-2347.618276664819476285824079,-147.2306803884872671479972735,-1805.541368916084549606946042,-2381.019346083030573211499409,-1153.050229376943444229822671,-56.22690401171014942358052163,-175.5983059123669047074712084,-704.9812699801420630107560489,-994.1484159259544804545654567,-110.8062987656469124292179720,-77.48903284461297667795549512,-1322.494219945828073149315033,-5.30227078814804049821402444,-0.00896596347856486262519856,-144.8773695944080120125280326,-1770.514519801785307645346389,-153.6652322126250862833797349,-2180.414293124362086118817575,-180.8209285496782900363996647,-1892.996353148190074264722360,-2971.459292083020550532095757,-2224.031896123687933355464152,-1845.178976830730771520191950,-641.3310165272421335442306620,-146.7623210725854608731660528,-148.5690374427234160944442375,-139.7423502199317658783613016,-140.0916767989627981621561779,-106.3093481783834667195305986,-72.79041462634306523671741647,-146.4131471430299677933527686,-146.5133470177653834534194347,-146.9182332704958679329396628,-147.0075678983595798191591103,-141.5943133598079794738782694,-144.2644818093941696979353221,-148.5389455786992154763925894,-148.7777628543932580235273939,-122.7640933066567995749361361,-144.1611023681144226881748445,-886.1614472182734802673992434,-919.8626588775545059411354192
