,6dGul,All,AllA,AllNAc,D-6dAlt,D-Alt,D-Fuc,Fuc,Gal,Gal3Me,Gal3S,Gal4Me,Gal6Me,Gal6N,GalNAc,GalNAc3/4S,GalNAc3S,GalNAc4S,Galf,Glc,GlcA,GlcA6S,GlcN,GlcNAc,GlcNAc3S,GlcNAc6S,Gul,Kdn,L-6dGul,L-6dTal,L-Xyl,Man,Man4S,Man6P,ManNAc,ManNAc3S,ManNAc6S,Neu,Neu5Ac,Neu5Ac4Ac,Neu5Ac9Ac,Neu5Gc,Tal,Tyv,Xyl,Xylf
0,-1093.386960107536973693487948,-27.94529343780673344646450985,-1265.331000125321098636077742,-6.723602949169194886441224070,-1053.432813706984534614196832,-43.89918507104794480910054783,-791.3928225327194049804530038,-256.3319028971511514443104808,-41.89274819950886093298128196,-1498.749901887206554960458342,-273.3595885295096956501743566,-2546.606494180792334750628731,-186.8156637627792631019347720,-606.4706475665458805438125144,-226.2751990516310207325381190,-182.0097191556926489358947722,-224.8658276752169566717578744,-192.6965756640862703062909444,-6.410935061580350786444483890,-18.90150803394449121907722978,-934.1316739247618425262587074,-943.3981109455827662654352896,-288.4708998576093596262306818,-5.089362198254142534678284675,-318.3704456620170109862420442,-77.10344260434365292828242952,-667.1242976755038012407201020,-952.0951703773555225209747786,-1091.367672821236539262361989,-875.7507947892458258344152996,-8.333052434971531627561607850,-0.030493309595838786190900120,-8.333778875860567876247447860,-7.643136109832104790577747850,-6.117860368710079648641753603,-318.7342259442548179862420442,-255.6290929254684183708147382,-959.4832384103201241829957100,-264.8168318597861147831001418,-956.7946556800025990663700856,-960.9942546430989629181978542,-934.6808721980705996305063936,-512.2809248737651051962358356,-1440.021246312741023617777324,-4.290466985754838173950337680,-5.481345499752885060895937746
1,-802.0831273370642307293000000,-259.0097767333691771974364020,-7.81492292902066530971735863,-90.4406861700561106339844886,-7.81415197385409233423459501,-1140.843705244362196112148649,-6.02575890296857463744457025,-2.91005536120700996905236507,-2.162221572482878234768806576,-3.75447991847422031435649012,-116.3476116348714244140032347,-6.71631064035251318840109497,-121.6939061122685089746147902,-113.4403484642075450986271734,-4.45858795069962987564104659,-121.9669888436804363983174167,-120.0552792302478300096814923,-118.8966164524320618235036382,-363.7123026984663742992336147,-5.00601047077913002677123633,-3.964775327310572526499459217,-6.42862856790074257495154737,-696.7571244606650023277584610,-41.02863927478263742653048237,-695.1232900098301095316855961,-511.5555953682480741468665553,-7.80940536853365684816263636,-2.467815398303159028699059863,-172.9264121373993570146063048,-6.71583251068304708183751875,-1958.741987822501262807145229,-210.5999661664227295260633021,-1705.544479339483783010513044,-344.6656024331280753319319236,-71.40352868131695170343627203,-693.9340438255229791316855961,-689.6073453879805046176240537,-5.73548138734080001099367625,-0.61449803735013180819066003,-5.51233783602658474084694195,-6.42862856790074330850338485,-2.09133782706825197508428481,-6.42299845914050187721001798,-6.02316345979255633616061463,-1974.660637500249327179720446,-1950.783195453091208262083943
2,-179.8411042826615070682717234,-577.4552835610099461457868866,-705.7383678041721977889423571,-145.7628173807320924725174949,-8.054236290789374379834875026,-134.1343556378479001745521204,-136.5451028912175057675278086,-133.1893557990388596405102184,-38.87038859122144595644071316,-685.6361501556106430075641616,-337.1363527449367810576509538,-664.6570514955570808106822219,-543.4198728206578841888546424,-324.1921165923396400027783045,-33.47894188082118363524040362,-539.5430644074596185382195544,-540.4128090972488681931738781,-541.5653049202442841967985403,-144.6818546813022060564623671,-489.1780508075576631791398753,-703.9328394078698850185736445,-708.5521172571383458747906515,-584.5619223086100315812097906,-0.000833332776983089949176886,-594.3043399580086420707661369,-222.1449819596959025380458657,-448.2787513435703322362112448,-214.4138369037293973164027283,-41.04958703549674345456869460,-7.570891956580559419323516946,-560.9582515611883282075239255,-43.22409883176182851422656139,-471.4868986726050661629339068,-495.2213947414647895839110846,-59.52358307160181704931916677,-593.2773253538919088707661371,-253.3871242039875418997460094,-713.8070959123510089726364844,-218.0530420722509121506122017,-710.0109250159888737636221916,-705.5552535225959943146723143,-227.8586593598252259703865500,-289.6600391209005364255415529,-511.2936753576064559494030491,-558.5785338307501625687994890,-560.5529349138510574136946173
3,-103.4414493177488838540585490,-222.8365324236882318282589768,-1201.820884251046030244070144,-199.8034796021861139962591226,-842.0129819406923698051086270,-6.05284427457077413978310366,-103.1944329558875902957366066,-102.5871822986042003590539099,-60.99898410977957490720930757,-1037.865431837101402007243721,-213.5938938748456514862812396,-2232.448079971231436657635302,-171.9244908091720742637465778,-274.6725206634780884901568972,-183.5090402084429312218355160,-166.6316836379097289694001462,-219.4471305004809798214785624,-177.5500650730776971258025952,-30.74750150841934164049358375,-7.839761656232268893232913957,-833.8768431373944503440877796,-867.2514305736425292325912030,-666.0059571736086814099312552,-7.559161256878071156736951913,-664.6129833806595340755912438,-94.39924788895651565296228975,-401.3149503594634904224574684,-662.5765497841828380233962834,-101.6053138040198520306501746,-112.8833087261356923415678704,-22.05281266420871700637228779,-0.005138302897740390875394852,-15.22538761980681812938051075,-6.65736799501518210838492560,-67.19113986165419779338082985,-663.6844667422143156755912438,-275.3427791845767175952983580,-896.1766882305018152255425820,-264.2256365258121705866778142,-890.4588316248206273371403352,-865.9202316538674866717667672,-621.0170010173990936842121366,-244.3541257928176166420235612,-463.1532028588422420286670306,-11.62596095520575722778386181,-7.47835627595907487839859983
4,-7.56618769873024334264753274,-153.5843254957307296057800304,-194.5989256796676265079640965,-265.1773967645024295536502079,-55.87527974698157913384519152,-387.0440700920074853277813254,-3.422970687536091268106736175,-1.62075960039507540232687098,-0.359445483107533143921643459,-81.57770394356452259998936472,-5.57375753404003853387312844,-44.24792090789314242877022252,-7.055362074964245469738249165,-8.66479998739834695620514252,-3.130163011600090302290881617,-6.87304051817029018781629864,-6.36221489440431325988962876,-5.66906771384435784742075430,-236.1164516947136250342410012,-5.050667728200966029415304673,-188.5149055893433293793932165,-191.6530919977359609488444988,-295.6799155191424923736852570,-61.88943574922042842174992879,-298.9227242311371064160054126,-266.7991867584366674716043894,-7.05646924970767681971283304,-142.8098530244726040548667764,-5.831586643342138426990608185,-7.79840239292173369536718126,-875.9185845110681397134487011,-99.95411865291473691975200044,-729.2219220066450592742111876,-228.6134656034072646003585538,-162.6056033874948988766247063,-300.5295309861854883160054128,-287.1422792647088147719686361,-193.5591714553705626551674545,-21.94511079709031883107503342,-191.1541019021468408449561552,-192.0843112464860444329104140,-36.76312226321275156582993010,-5.16897702234887972071780095,-195.7908125098523156592959542,-891.0379510042274883260840970,-867.4950958853834866614470583
5,-1294.919922859181073257050017,-8.75926204993184945068000000,-74.93197420464647698652843125,-4.61612817650755605070784913,-74.12554234934111509864910376,-1009.621367898936246359406159,-126.4442091312677303992467374,-8.713926431506531058544140035,-6.236457611403241574008108361,-130.9768611496516348432789685,-228.8116823103424982806389333,-1453.370145941437505121884375,-128.8733461681375624144603534,-487.8598206786461901797800929,-8.065955959666525326088427069,-121.2967103583661117233215407,-180.6534239780567306669901418,-133.7323016854801709191973568,-8.60689372727773964538732233,-4.86506379082178369903598133,-68.33178693926661982929995705,-72.90205836751236122120500371,-8.06611486633438923208822100,-0.064128934120302308826335414,-8.75926204689439669683932237,-4.78897013334223174509064512,-81.56934912466849759780287137,-69.59579341615605005963669606,-430.6898823834654805976182938,-73.15187037424927978660425416,-395.5209559779167401827246402,-5.997261833400356288409968539,-125.3608815229274554999073572,-8.59196035446570210969581808,-3.53978856588449421078521093,-8.75926204689438629683932243,-6.81335189783906939617606269,-72.98230353883667631197497865,-68.33094290155393825769466996,-73.56920790698044061223641833,-74.58855653265806935132041350,-68.66921827266946104652815473,-83.02572868376034276725230583,-78.25547085114677472456751016,-800.5629601946586666767159541,-792.4702199386094465415520770
