,ManNAc6S,Gal4Me,D-Fuc,Man6P,Neu5Gc,Neu5Ac9Ac,Gal3S,GalNAc4S,Xyl,GlcA6S,Neu,Tal,Gal,Kdn,All,Gul,GalNAc,Tyv,GlcNAc,ManNAc3S,6dGul,Xylf,Neu5Ac4Ac,GalNAc3/4S,Gal3Me,AllNAc,Gal6Me,L-6dGul,Galf,GlcA,Glc,Fuc,GalNAc3S,L-6dTal,Neu5Ac,D-6dAlt,D-Alt,Man,ManNAc,GlcNAc6S
0,-6.24869501036311225883041966,-7.16498574223726157491620376,-170.5016867627520805779982270,-7.16498596260303336168664466,-66.88801310018601224948854638,-72.31888341223519979513537426,-220.7497489237631354912868856,-197.1238973268831145160078152,-565.7412227412178679378515951,-73.42920352724807954640326041,-71.74221609102193334790609204,-68.33570034469935128230318628,-6.021244668051026072485793807,-66.24284205550929675992371201,-70.21890500581833879050442009,-242.6611463340328597898084280,-7.87211686713318057723783527,-67.20113284029317645848638637,-0.06889374006980327726589697,-7.85813292279722585651211319,-1286.965755850418110829481232,-622.6016008336925167793637324,-70.56543172345857455836684644,-195.9806708793263427476952612,-5.37796803107092640045915079,-4.600057405891803902618416733,-188.8841577928337732855700021,-121.9069552336122335038421315,-7.990556144303781393747573608,-71.11430526372611158272357476,-6.50220514792276964330075242,-25.23141658635222883840376152,-219.8448436127411556843127250,-71.34029807872910051087502459,-60.92531343336135129351848194,-60.60451876146239995797743739,-233.8072787040701642200255775,-5.634074818845909199706907750,-3.427321604806360576131706980,-4.91369394363075721990843303
1,-237.3067513617163006377558700,-84.3866955935028687324741181,-5.31180081508445365693825471,-152.1397898177620606315772752,-6.95969167365116216226141382,-87.53651810099384763243914708,-5.26091263838296882905208247,-5.42796672304611967438106995,-708.0564966762474582763148748,-85.88322545042507306620913559,-84.36921825058669890690406371,-5.02322404861962049948433671,-0.160720880855282744124573321,-51.60180343817517382499504666,-201.8980273545146166951482171,-7.13271481528453095900833782,-3.04512814974678474817260606,-72.0769719901011624271583268,-8.727147543936281988036799260,-219.2311760421500877303243052,-235.2658690255374990979012758,-659.1375696845307210917809890,-84.75007725183003323979115001,-6.21642408341037829120959902,-5.73934971038257866430160115,-295.2047236076444877279141026,-6.439567634724610006145128328,-16.08609558079878601485821910,-155.2530757650822925453056817,-83.48057108935492631180750040,-6.08769167478299205494693639,-2.79696203327988731095503345,-5.74642045416465538664796321,-8.24298038366671466645809685,-5.52745022945141775528562090,-7.92559366105417387585217940,-255.9590673512496487807545007,-67.88017602542370376060415885,-15.51344481359137358435219682,-174.7877690507979877842004344
2,-281.0468990194090270000000000,-359.5886944674296882262557513,-238.8022115039540046234525775,-156.5387830238815246941503899,-258.3677767369601957287321742,-499.8586509001449265908283936,-270.0704090169856792355473262,-211.4107194909810899841257492,-146.6530430826224464550519451,-497.4259853878871585425215322,-501.5188890224980073518482001,-319.7925774198655041550617765,-43.11567965279072663942017272,-334.8806837526310522892034001,-118.6180022901187184133660028,-385.9510951879187249392346639,-5.891573464510640751337829337,-275.6413986326755778510182085,-0.002766449475784113432407306,-367.3982494738802340422648205,-268.2603753981194016716364136,-144.9655100586295495786273679,-500.1293658549632239159544157,-210.9458148602091700036022023,-243.1763317473408550672923786,-67.00860042000394754076215560,-207.8938989339834604327226013,-200.3871072425513688402279882,-64.72086897103238024566650264,-492.1428475427338642457379610,-122.4271806247395629156510247,-177.6819859920024653926370002,-263.1946744444446447154068342,-201.1438864100997873547245354,-59.70234948882364051473924644,-290.5290306238992938760287268,-78.87026324402427848380807623,-56.20897580225796978030926060,-50.37111425721800939421541606,-166.5098106168679011223859269
3,-412.3937422682024311917274936,-139.9325895509886997951552884,-2.955507352902116663658770676,-700.3630474669825384781523603,-2.272626289938623359075332836,-6.259275593137832627280580356,-237.6047500888850825477552224,-182.8634920404353524078361093,-1249.324099873678621727720703,-6.664740701245966266760037196,-5.748449969371833575000830966,-6.944510259682536920635876041,-10.88775727670397477053427214,-2.783176903302549360059314676,-590.8584402368711911032691268,-462.9196865580992260931612116,-39.73589628523401632138634857,-5.566128412577889178347994836,-6.665122077724863805805025826,-769.5623405338709401626928355,-6.664740701245974849319780727,-1236.444536049213326972535360,-5.278446340126070133202631516,-181.4621000589335783836085384,-47.38061518952026087321638538,-789.4287858481278100394296604,-179.7852631609758730209101220,-5.055328649004190788510763285,-718.2982718646443366052961422,-4.585299159566142143435773291,-78.09278979699772140601888448,-1.150838021401061947292056343,-236.7188677955782894296915674,-6.507285304235633142657730216,-0.846080672495169610204663556,-7.267206808870141955874127076,-683.1039287943100643917453929,-50.10008619983431035430221341,-33.11248072567559131357489555,-406.2870741143493110149714263
4,-259.4114937140728691897327672,-376.1351211748454351396676225,-445.8016694559384658686344697,-22.25325544708666765983297088,-368.6794391996722211694762948,-558.5144749252325890360154161,-258.1683534153652252778458717,-185.9967044298696870291430913,-4.50044234662046090176285230,-480.2452397408008758314192221,-482.5364372043733527639252578,-399.7994734655475692974723156,-28.68782666484683392441238335,-359.3305953016530854353014476,-53.37546829687701152033805919,-784.0014623452187511625763750,-157.1091092116840150828694974,-657.6532848820494432324927907,-7.403802109474550185286852836,-360.8463703720678373433832409,-1315.580816193448880435179378,-5.270202486104732917231304975,-484.0273949394066873248306082,-180.5555923571835249743007389,-361.1317684713537453035904939,-6.23194502082688816177202192,-177.9344384818915571989836322,-316.0776785015999136907284946,-5.98458086547018978391216522,-476.0846934092268924235095838,-8.203237854972584886756587729,-191.7281259639979956058102277,-223.1435128378634975441443783,-475.4001877275240168279854412,-184.0448117277808381934231719,-420.6562663544892511693705794,-51.04131758951536543740409069,-0.02436333225651804428399623,-6.008937714944709380751620187,-59.07771222260416808939392490
5,-248.6670847459047829504900000,-446.0165101547797057156599374,-67.44966718476701814006938225,-31.92502724842969819554564844,-247.0397333418510877969618823,-482.5052401865993276655255246,-215.6569271028467998911269777,-153.0707344476772570079632258,-6.50185219753359768126697298,-329.3944603930412143547119898,-337.6637241717397176036231105,-100.7071922166821181686916429,-50.83281054202047206078744816,-269.4669482456771761230896993,-7.37747389068045625873255833,-450.8114714459431568964155816,-153.3230735674675605297294560,-245.0584575108259307532971054,-6.568148305667440941957648900,-394.7135622777274998361568535,-71.35893405262791359541220482,-8.00564929108902407473513233,-342.6560866218776969081423170,-152.9225984848165741241871980,-451.2582155753049842410841845,-181.3692487030473123836472475,-150.0176510934072327315981476,-69.32522523256910276657112782,-14.57510340578205843269517415,-318.5309774437655655395173755,-3.57358125261995267619367749,-66.21901903150140455551902150,-200.8738819703032904235607327,-81.4124294833852859042537359,-71.33367449901257812105662284,-374.7893134368040915670520337,-5.99117952956056440292344530,-0.035026513440105331896889952,-44.91511355614448596001740472,-66.97702907534019702832428073
