,D-Alt,D-Fuc,Fuc,Gal,Glc,GlcA,GlcNAc,Gul,Man,ManNAc,Neu5Ac,Neu5Gc
0,-316.0885410466820003800000000,-38.11577689521981992088781747,-38.47481727929768233339249877,-0.042559614557502997674171482,-63.99010938992879118205568658,-204.3078600841921365355949912,-44.4877508975417752906420737,-3.178053827157780748909167883,-74.17254210878146446155556238,-392.4556384907020084618335285,-200.7908768175594831365951836,-198.3555491546232365795643561
1,-117.9888366623694639257244199,-2.702042384030406012415097294,-1.315748022910467177772572729,-19.08298661234443230308221774,-87.12684298535465860081789437,-139.7764800746650100618697146,-1.092581428839369191127804199,-27.69517642980802555243381336,-1.110760781437542911609939761,-236.4349791988620332187185920,-131.8024632796427720794080205,-136.0306169250172585961637775
2,-25.67226430610809274023570081,-96.30874241703360902855357226,-96.79913355770616851645398436,-79.31006771057842243540730949,-22.33121312402892603409947910,-111.5160305782812747639203839,-2.12018048706020651E-10,-103.8061264087880883649696198,-26.09828217138524598318868205,-53.94206359026576351146246907,-110.9483102463977218755211305,-112.8637710483438719469718748
3,-22.88748806781188478977901216,-32.69808546293868725378622528,-32.59890660408016045443244790,-48.34010821243492542884717759,-47.52061812687936166050194476,-2.398152218512303897141810974,-19.46045897971196990969301668,-57.59213806898099542988291462,-8.26517719488098759988192030,-125.9585051844946808675729101,-0.60639306176764382082550149,-1.01185852819649421577695465
4,-103.1884007874175460944156450,-117.0264394276190289506797623,-117.3144217876230986626451657,-54.50982165533490203471862037,-3.30021370081378487146895832,-20.02075480979797352687267361,-0.11765287376158935932966537,-121.2153984240300251529909740,-17.86157265802896977410705847,-2.60207110237957325193994656,-16.32147822713265685123142917,-16.04563453580473074491039102
5,-3.473988468060755626044604925,-59.62695917822226295453119910,-59.75716354412736398938097668,-39.64489165899431154270497816,-8.775719984390595320217297615,-63.30171891618723802571543812,-5.228098811846543970924325010,-60.63940654963305429123682270,-0.037194539264753980553857185,-197.9764148015529559918918583,-55.01656853661622141435281714,-58.71984060573412420810735518
