,AllNAc(b1-4),AllNAc(b1-6),D-6dAlt(b1-2),D-6dAlt(b1-3),D-Alt(a1-2),D-Alt(a1-3),D-Fuc(a1-2),D-Fuc(a1-3),D-Fuc(a1-6),D-Fuc(b1-6),Fuc(a1-2),Fuc(a1-3),Fuc(a1-3/6),Fuc(a1-4),Fuc(a1-6),Fuc(b1-6),Gal(a1-2),Gal(a1-3),Gal(a1-4),Gal(b1-3),Gal(b1-3/4),Gal(b1-4),Gal3Me(b1-3),Gal3Me(b1-6),Gal3S(b1-4),Gal6Me(b1-4),GalNAc(a1-3),GalNAc(b1-2),GalNAc(b1-4),GalNAc3/4S(b1-4),GalNAc3S(b1-4),GalNAc4S(b1-4),Galf(a1-2),Glc(a1-2),Glc(a1-3),Glc(b1-2),Glc(b1-3),GlcA(a1-3),GlcA(b1-3),GlcA6S(b1-3),GlcNAc,GlcNAc(a1-2),GlcNAc(a1-6),GlcNAc(a1-P-6),GlcNAc(b1-2),GlcNAc(b1-2/4),GlcNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(b1-4),GlcNAc(b1-6),GlcNAc6S(b1-2),Gul(b1-4),Kdn(a2-3),Kdn(a2-6),L-6dGul(a1-3),L-6dGul(a1-6),L-6dTal(a1-2),L-6dTal(a1-3),L-6dTal(a1-6),Man(a1-2),Man(a1-3),Man(a1-3/6),Man(a1-4),Man(a1-6),Man(b1-2),Man(b1-3/4),Man(b1-4),ManNAc(b1-2),ManNAc(b1-3),ManNAc(b1-4),ManNAc3S(b1-2),ManNAc6S(b1-2),Neu5Ac(a2-3),Neu5Ac(a2-3/6),Neu5Ac(a2-6),Neu5Ac4Ac(a2-3),Neu5Ac4Ac(a2-6),Neu5Ac9Ac(a2-3),Neu5Ac9Ac(a2-6),Neu5Gc(a2-3),Neu5Gc(a2-6),Tal(a1-4),Tal(b1-3),Tal(b1-4),Tyv(b1-3),Xyl(b1-2),Xylf(b1-2)
0,-6.518862257662908622027112602,-5.266099289167591006831606432,-50.68978488117653208294704297,-64.21247950726143817514056421,-97.18880298588104916156269231,-15.70353142577534083877702692,-247.2026060703807299829353607,-565.0008968579361747064711917,-568.0058762240778543239187857,-897.2335363658906691823202299,-51.07027615210182637346777315,-232.9898076637537484602756249,-894.8938408075497388823202299,-460.7862720606339786720615951,-213.2956657696736921998202299,-896.1928964181624336823202298,-46.48640513420413745986253711,-41.29174311624939695496944947,-45.67572355459384674458054337,-36.86102336220760811850701407,-372.0231784581356415013241612,-51.24893368938269650049749196,-5.825715077109637440489915812,-5.740883088070198208167979922,-192.8775975839268327946716064,-167.0904940000217119416393612,-236.8187239310540615959180029,-7.212009438222859241118545442,-96.72022202766438840236759236,-174.5299483899775870415837151,-202.2375969635047095750393644,-200.4980901496806947442424222,-7.212009438222849940586939212,-13.60648603065924332527459142,-6.523272687450113595141340412,-178.9877025699015549421584567,-204.7351722993704805419581419,-50.78352743221417858090083168,-50.10223505563614543936784236,-52.33642757198959860965480247,-1248809.460602259497111390263,-5.420249969901314131118545432,-7.212009438222893791118545432,-7.208773705188895937555870372,-0.623082960751210133283665552,-5.602571525788783499768155382,-2.868204016526342383422245012,-878.5987135192876635823202298,-1.860331064312062505660970001,-2.130605073238419177171606422,-5.602571525788778227605906392,-203.0780282068037512415185454,-41.49559219135261199009609266,-47.67294570141403244314245145,-63.90079449636220226824702721,-896.5020944544017691823202299,-51.50578548400714387857089677,-65.12494159949695651710120583,-896.3914512915455788823202298,-2.731520751675059975029381732,-10.71788541928199094631306717,-37.65427679033707427181209148,-20.82596282445912564977136784,-6.608695066707078316432373004,-7.212009438222883759719863342,-738.7234216930539827832432298,-221.2729972188965013721866064,-3.519012577645259615467390982,-5.825715077102986003795097822,-454.8579890457819132361878944,-7.212009438222867579671054992,-5.825715077102994550967391022,-40.75783178510885828514525173,-46.82000745883542807651584505,-46.63756221990370587482826620,-49.90801001604083223396509824,-52.45945010070727298014629242,-52.78287734371929691604638457,-51.29745776883101611338483964,-45.86187072860648560243126327,-49.37119884735732297835845028,-50.11465657554723303432297017,-51.53686996324712096491852243,-175.4825204579958554628816064,-48.36918842214541429807824285,-262.0457407961474970492345024,-169.3469811898134386987034638
1,-146.4228910130481643972464184,-237.3065632269018363684728101,-51.89421056690058456486102500,-7.101351838095918234309974276,-211.3070723294986909461966988,-159.5258474314469183592092530,-267.6807820805990535314285596,-5.491913925661875111321754506,-6.408204657536004388533020336,-634.4071290731589866970805710,-50.05564448776388723176484776,-2.838671961121002836038902906,-633.6149266749790740946891841,-6.002739549427883335744139676,-6.002739765184153215684400406,-633.4359708153855037549669180,-5.704990731933791275143244526,-7.094375425648613086265744366,-5.995464244297043828375362416,-3.243903172973477745726788196,-6.408204657536020301720426796,-0.259508796426320094688133096,-32.79211060748358134214041110,-5.301090118047630951866082626,-4.536402480634422262016450866,-6.002739549427827152246337866,-277.6617771737793546290781176,-180.3588308821242978117278519,-3.189343036742523207700511226,-5.715057476976074192873287706,-6.408204657536016929509452656,-5.155441689040636938713976626,-86.70483654072654357971258311,-6.527228654038218748419037026,-6.546404794623055975573980846,-109.7526633653439125576886234,-103.0356598131325766051310709,-52.55082851947278570641668136,-50.77216849411763375654891014,-52.32621785777434275913757097,-787689.7503950134484238736234,-104.1555639812238839444509111,-240.9934510586082987284258483,-7.104657796220636837021427726,-105.1108774163975230497795520,-112.3008648228150092607364695,-45.67437874940254823489944451,-587.9950687458429475533016455,-7.100271962265630299938492723,-128.9077606405455247960263209,-138.0289868796603401832409345,-6.408204657536049485197232686,-44.68560418752481952932125526,-46.22050754311863439480425633,-7.101351838095983201925452116,-633.3285115396499032821040229,-53.88741605072496420023270167,-7.101351838095991159665048596,-633.7169122042089840093837821,-3.812860121893422519022577486,-6.778104508047303442667642600,-138.7121152251986986669931535,-143.4503203177429043124469620,-8.085866664167157513095189854,-83.61765028904467160648079340,-164.5779624946138138208916189,-158.8099517447173677670622065,-7.281718249548514935569528656,-61.02017930188903923960590965,-575.1520317537653000769665476,-132.5903161636223200907829564,-141.6840851185335906245804154,-19.97336389394725024356998408,-47.08997997462580768283798704,-6.401162371420137428253513316,-49.00002657656962219013655423,-51.71927008098780480631774839,-53.25587832820598652277768200,-50.47725043399153307319090451,-46.07321012240193881295481035,-7.094078194036909788740812266,-51.93753383851810169724486301,-50.88257380187186394452806384,-5.021910296416165943202271856,-50.54730238903606556185096081,-443.6508888328482533551154008,-442.8890073676909366906375892
2,-1019.208805318152815061174964,-1243.291026148437331202481625,-61.42279217502075246194460492,-204.6623488337967485004835225,-501.3620804775845886872053904,-415.1635480865375921273805507,-192.1835166126770383936379069,-5.557131480617591699517627065,-3.221756564800552310496595715,-5.557131480617651521201188465,-53.88176199459245778500180884,-3.765372011127820158916336025,-6.655743769285717353285017845,-443.6393439604749577583332199,-1.313409514223915551385548865,-5.962596588725749077013947845,-47.25369401639679042486554328,-6.628143519570850675747334421,-57.82408765580403314378020544,-61.43669805621904968105388770,-422.4133397636160881986071880,-62.00887806417582752736364754,-153.6646543921422445978618364,-68.12623527758452879070128768,-243.2697695072305872136821620,-226.4034253506213786228234167,-66.62998756103264951597678860,-519.2297037439863941302799522,-92.89873845828903434145957078,-206.0949829331581260599116923,-253.3656324801257875518663149,-247.8886574759156289193779872,-376.5250996891091463133194662,-6.500959503029878441363820005,-5.596613112506282672471186405,-167.9532445591077989899968917,-6.655743769037835206202315555,-62.95560269250326128524444924,-61.39898362173058741110074792,-61.63264368000273842564993606,-1839873.623526592304352583808,-345.2510226733035133432495649,-1253.596867907121512185569545,-151.8290960257758070950227176,-321.2354853444675725811162834,-441.5739385614723569422301227,-68.47299626121836058668317718,-5.962596588725768535430282705,-0.444829408250935180532462845,-260.9767875984261981824249783,-405.8095021722449158565477686,-257.3991408635760583255060238,-53.78092918702449915784434712,-56.79694567683657552651926602,-203.7002252623929902119555728,-5.557131480617530566748943745,-63.23713125174908742694771136,-206.5480099297664189252309900,-6.655743769285717827142687885,-74.41739086249523123266076650,-100.3801910735712149524027079,-444.3831474859424515797000916,-349.5605006879874567790662355,-148.1645838153888909420161162,-375.5668393213995414279700443,-159.2614453254852721996408093,-147.4810433729187769509075513,-189.8567065277124729247072235,-94.71134505169991949498142398,-1077.911907083345045021077793,-501.8790575463521343762591007,-329.1367605838753685054576782,-36.54691326868143130715067802,-60.28918735832183086369997470,-58.75816953741073335989845862,-58.36480042158208049823207888,-60.83635439599609356441327306,-63.48968760936182976497016276,-61.28092935330071774549346576,-53.56674123560877486993320118,-59.27162284088842703133625996,-61.23906957286090222380428214,-63.21848204659000442486648434,-169.8578325279014092135402664,-46.34662745189550715339814388,-1007.821129957053895038167065,-1018.799854739322076558964683
3,-153.6759719698667024448543767,-283.4159753737589960768893233,-69.45105929057540356609257698,-417.6790606369652536103026793,-184.2172559245676818680072832,-7.07312223517142983703709177,-20.95709957397769939217617427,-341.3232059121039319473469373,-359.8963170785117893143408691,-692.2276761769319812780652664,-59.44697232768039585972224382,-187.7495286506596394930229625,-691.7382229800728635177873482,-517.3215759264297129339115142,-158.7479152183670472856312616,-690.3798844394936212717058984,-45.38406609802599549865705531,-66.55270133193546231795374502,-65.81904557296308368652560300,-63.44510402720352358349699958,-341.5783946013604334488379017,-8.77913619749578698439499926,-360.9767061547391877665427225,-61.93240599515023653542982638,-142.4823596366370460097893381,-138.3859928818157641539549917,-156.9206110624551933002354981,-266.9806002957772399336330312,-140.8285003193606641480249718,-118.3456793139722277899983682,-142.8842229462204468613348340,-143.1666209949120279385018573,-74.00807082262585714492818074,-6.18851595820096169757095756,-7.10792900240324845125489130,-6.98818898514623577404821870,-62.26190922855013379707231838,-69.44590756804298729934938359,-68.22426206190156478380725704,-69.46046687021057728271467904,-2662094.189095010656290636666,-26.01786465657513345842882871,-284.2207997374917426085255704,-16.71728982682471139482749069,-23.90558181467207746475081905,-86.31480233059724032134906237,-76.33949770889514520652994505,-609.2379582435210191643350149,-6.749577253925778090081782696,-127.2147764031019181919585687,-183.3690361849037589416518637,-143.2016644590699875205007009,-66.44341221880596277446269115,-65.78979172090913398603843244,-421.3159713657157664119755347,-691.4905590718468112862838414,-72.02034401675841732146687778,-281.7656869876082979691770203,-690.9577201971227833050189995,-5.919447117315891961000405880,-26.06981672413516259362121367,-4.09764541289177178956805640,-6.98819020845313166695848422,-0.69777735561820109726646975,-72.96840390015486427627358559,-5.88957669647811979084747222,-0.77959895904961120680746822,-104.0948097475443052541560993,-112.8439295349978409092126250,-170.0284905252903132410045688,-166.9575106868446772392740940,-178.3649932892057528739210807,-66.61394458586566400936858012,-66.45760473187179003499236309,-65.68724736658827617465521498,-69.36861978892383495747568029,-69.00308284703464176365687447,-71.08766424848231453463846026,-69.05599984438494676930167351,-65.58137045354118764304640858,-66.66877510614745851140633833,-69.91391195195789740882659328,-69.78590101833245335313442556,-106.2575838723187397430020945,-67.67217432610492730407247348,-4.68560389215218023705314046,-5.19642951591815852697905446
4,-5.794092757139173801470786552,-549.8480037643629816525917161,-232.2306915813702545371429440,-413.2555521319017807347472745,-6.487239937699108276090026532,-6.409148792620103910694689442,-170.8106917113647210135307029,-749.2782608482867548332948913,-776.3087926526513274722352310,-884.8843036742416515201965855,-210.0294272374524533872088303,-206.6983356765246410925824173,-878.1160130020190091904140474,-834.5414702660646770788085462,-178.3458360381630985112854135,-879.2078560033934115545855774,-110.9630227976015036442600703,-61.49808171850440710728608395,-151.0734574723146716337911116,-125.4960270848483375208824359,-390.8575442523654600287145538,-129.3017354836710421137114693,-31.13639311299829630029633783,-130.0424712729605531824884883,-168.2314779980720447576485060,-162.1301190503784337801615716,-5.100945576579220574761126822,-121.5147244914704961270189905,-155.3301535615145768620522429,-138.9956626989547198650567804,-170.8048365179909898549043088,-168.1866375648860580415903423,-81.22988236152779437437838680,-61.59927417131914062097446437,-90.40203156194250860701781100,-210.0327646512846699475288926,-279.4523534997066499415816274,-219.7071411694580795852731756,-211.2307633390080531280586872,-207.5082600289569529402409110,-842508.2306357527763417510265,-67.63606025568366934781416118,-548.7650057142444473187580563,-71.95733565782891050503325646,-54.27104406139886684189722320,-94.88562446567837310589446907,-143.3890206103621681300766268,-853.2924421141243948250474283,-2.524318100969152519830181461,-175.0731407455514213783751925,-147.9285645496649572482436036,-169.6652674268562673695651453,-76.75016385676993871881983764,-215.0845466139958785566076176,-576.7472002724075620773626563,-879.2880259008935617384070373,-220.9695105785441617857360629,-199.7578422500607662801071283,-879.5696014513153747957932224,-4.183847597239584882375912332,-0.179891554263851832735502982,-3.542963757265044738485529402,-56.22592943665941152670570653,-3.629454197751941070262246382,-79.43650159830527260869471999,-738.8888799241146117688252543,-175.5573731848321592762906531,-94.71144455270166247801109862,-251.1360444767923370755463761,-6.487239937699132599341680782,-160.2435459667496122665163924,-89.86064256379347528324278350,-71.73407615675438457170163290,-216.2301826744687612612208371,-214.7384770136306903188458827,-217.5123377360754052940265444,-221.9232701925996063302077386,-220.4366310178281092132671563,-219.4031122157050013110543737,-90.95587223714570374196559522,-219.6614267019284611762746523,-220.2012641556031552982815582,-219.1989152052525979176989447,-131.1845338187110585469085573,-227.0854195747632945667049787,-53.84552057127332687677152504,-55.94976696940445920239115244
5,-558.2967381293402311942407659,-1093.743646183742895842186589,-6.418493453765464247888680745,-98.94358606493396537779728524,-642.4502922325380777432965142,-621.5685424254732800100618434,-6.418494311552403606365359395,-350.4017109398885536837458690,-512.6829334144809935107152435,-519.0290091046514919991917865,-2.921985892299020045923769365,-215.2783655379699733882291016,-517.1667183529117638838934836,-580.1350502939448384752211822,-494.4073897904713584318864151,-519.0022416640295489897325222,-5.745788979065668128869516865,-2.985635450117192750646635405,-4.118101313874547073974424105,-4.523035706802789107230692685,-639.9964401353017707000498924,-5.131971737138743818226611025,-336.6112329303603895069985927,-6.938305414438458150521306885,-234.0995041516902760225027790,-188.5355358813959684269534025,-37.94113979964829787173192712,-884.0124517810750535845925703,-4.115837343424112203106147085,-335.9420541072292514877610955,-513.8099345900631084579159212,-510.9361115035737078618991187,-360.9580939018700257974462330,-5.813884193411903603526907975,-4.547316270150469683176985005,-391.6772194311493474062995992,-6.418493454013391070438320995,-6.418493453765517826941595265,-4.221268876429291821555250065,-5.725346273205563189827624745,-6.418493453765505706406581365,-459.9364624855644422481855453,-1094.800978986273550648300248,-98.43085900117210674068137778,-269.9743472920110381846218116,-481.3380056070580702919818704,-24.64855445149254678754677514,-1074.831142143267033582495367,-58.96528947256736971518169276,-185.1932518794549786020214745,-615.8948766231512934314605436,-514.3784620978679722806099015,-2.863145392276089079354382545,-3.933586803977500734825710725,-97.79260434258043917428118414,-518.1556989283622674370795484,-6.418493453765529380254156065,-98.77220646589984973938512844,-519.3889778576813536678489067,-20.80519014061390877672905338,-45.84934190262631168194658484,-493.8984706711798183960781110,-472.4486555303072631945685283,-104.7490639660219010632960340,-453.0885116827390625703325566,-976.2691629444586602920666029,-729.7542256310284217928152185,-100.2166861726628564449300872,-413.4761885135674360391097925,-585.4041725066847838856005052,-785.8714816805361090558231186,-275.8987615340836921746984652,-1.047855437586443804671265185,-4.339051912085659600389522525,-1.673684239761560273592505605,-6.418493453765486056867212685,-5.032199092645592363048406845,-6.418493453765495379782162025,-6.418493453765523820572485365,-2.291359068720412485884192065,-2.952985707030800749508019745,-6.418493453765513188111436725,-6.418493453765487539666062925,-234.6863620596017348187179733,-5.319881165097380871686421645,-699.4024375816315719567663800,-707.0516866649308987440119236
