,D-Fuc(a1-6),Man(b1-3/4),ManNAc(b1-2),GlcNAc,Man(a1-3/6),ManNAc(b1-3),GlcNAc(b1-3/4),Xylf(b1-2),Man(a1-6),GlcA(b1-3),GlcNAc(b1-4),Gul(b1-4),Neu5Gc(a2-3),Neu5Gc(a2-6),GlcNAc(b1-3),GlcNAc(a1-2),Gal(b1-3),Gal(b1-4),Neu5Ac(a2-6),GlcNAc(b1-6),D-Alt(a1-3),Fuc(a1-3),Fuc(a1-6),Man(a1-3),Neu5Ac(a2-3),Man(b1-4),Man(a1-2),GlcNAc(b1-2),Glc(a1-3)
0,-4.957499412049751,-4.5630124804797045,-4.797194363368387,-2.3937556205167567,-3.341725691652042,-4.339972503258986,-5.9431796421297935,-7.0671881094853415,-4.189295327443649,-5.319135853800804,-4.947657909853726,-6.65131074363727,-2.7997018469830124,-3.8613546020902674,-3.7278431361748487,-4.333905501933925,-9.330669919047436,-1.7848708782678693,-5.241623852283931,-2.6408391714954913,-6.626517117612574,-3.7650000020287657,-2.293571259307672,-3.4307909173324265,-3.0203078448191096,-2.539134584662738,-4.194740424046204,-1.990646426161517,-6.2278356959848455
1,-5.6593859216575755,-4.931461252372449,-4.600395927423224,-1.9666537736111516,-4.12577746122758,-6.453918212453688,-7.601106145750412,-5.0541015902193305,-2.080916657332211,-6.235097073666326,-3.4511000527324938,-5.730169554738945,-3.8719066627343985,-4.69904492945493,-5.74654458936042,-5.77464817109478,-5.122129912931674,-1.5727564719864264,-6.002560295463022,-4.779687077032561,-5.8597049659999545,-5.522106210206045,-4.33661651375934,-2.1277680657909257,-5.62970049138969,-2.566259437071615,-3.8988561476955033,-1.9123237234056067,-5.296088752557091
2,-5.4817595115080255,-5.898686454342391,-4.477566029835215,-2.3191971612073914,-4.988536490558529,-6.58597571807559,-6.0596126274032205,-6.155142922136859,-4.473365232101796,-6.994473155220222,-1.3291324736709287,-6.797703787670324,-3.9649262883018745,-4.242499123745931,-5.327903775847455,-5.671873830872739,-6.490899064133087,-4.553279658962145,-7.65796616470899,-4.624349999257416,-7.138367098057083,-6.211729578282714,-4.3188513487734514,-1.749180547971737,-5.349379219712169,-2.154566123191601,-3.875586245943364,-1.6337803620652822,-6.243938666414957
3,-6.490429136797404,-5.294544693369167,-4.305417234897313,-2.3410977656652103,-4.701291800977243,-5.265076868226453,-4.847457171422667,-5.263636865685674,-1.739637473055223,-5.730740853392755,-2.7154255096531204,-5.663421166856155,-4.7896849429662804,-5.031314983898982,-4.58990338047972,-4.569271968741708,-5.307250067677314,-1.3005601634964221,-5.3109576235057165,-4.820605524746384,-5.762080349292683,-3.657236835587145,-2.512093705141888,-2.3698501602779505,-4.009014147067015,-3.8777389048563884,-4.51101892727709,-3.718029557380451,-5.37412219017285
4,-5.283872679142661,-6.156762660030481,-4.541193943291849,-8.732730802985861,-5.3923430183698144,-4.9348216685679205,-5.55989284662969,-5.717958708768034,-2.6068892799362224,-4.967113928094644,-1.6509389197955406,-5.845778259205012,-5.179635041405655,-5.6225179951120765,-5.9530256446299745,-4.022525974341345,-5.367998930330575,-1.3449387092622502,-5.834583118434296,-3.23873358287475,-4.936443057401263,-3.8487810671222813,-3.0301270052506775,-3.7931318473858626,-2.7651701323437963,-2.8561556260490253,-3.0567615279043583,-2.5509327681639897,-5.1695979432625805
5,-5.5654760317716025,-6.180882355062909,-4.856904147527484,-1.862647482346078,-5.978974310061947,-6.955360671509929,-6.296415026252969,-5.343528668658774,-3.279751024254436,-5.3266454464406685,-1.458759742285789,-4.837286541461758,-4.241541935401362,-5.135102748316434,-6.1258658515912074,-5.612799103934844,-5.036068629205634,-1.8747195614192875,-5.576406619082448,-4.756724399132567,-4.543700272639256,-4.204779577086853,-4.928876960027303,-2.2940975451207484,-3.5482724561820977,-2.43645162494846,-4.273955558764145,-2.613320134275485,-5.984491314735429
6,-5.129867702104278,-7.284273576643397,-3.480737334579845,-3.1237998424091757,-3.811525691022542,-6.02381891504848,-4.318159170841955,-5.010687217460411,-2.025626960772695,-4.768548039161626,-1.872278835681191,-4.363477295801417,-5.8032478432548125,-5.889529551787362,-3.799997301677301,-4.829775124934795,-5.215948583080962,-2.5158196596289972,-4.330309631918567,-3.0007950429656423,-5.262483410402638,-5.659247985524124,-2.3477759186637153,-4.329502776968234,-2.9301284136958876,-1.8740353121762037,-4.795651236517248,-3.1611366623398856,-4.9698433041474885
