,GlcA,Neu5Ac9Ac,Kdn,D-Fuc,Neu5Gc,Gal3S,Gal,Xylf,GalNAc3S,ManNAc6S,GalNAc,GlcNAc,GalNAc3/4S,L-6dGul,Fuc,AllNAc,L-6dTal,Man,GlcNAc6S,D-Alt,Xyl,Gul,Neu5Ac,ManNAc,Glc
0,-50.58285532846441528791385475,-52.61485423887431333325191105,-51.50497861480210112178548141,-56.85470235548926121993973584,-49.96985483328287497761206817,-54.61872515365213453092779333,-3.872405631879708449111748613,-292.1899377702526579810993608,-56.55282315975275849880202035,-80.78665263827397980494887269,-5.625347000470566479428686450,-0.085953551918526336739735890,-53.41058639006325910588358548,-56.61334267740688010993973583,-21.42135861587335381525510408,-4.936330578265865123472396690,-5.629477758825808984821872650,-13.35067490257695707010807612,-35.61890101921451963302096456,-115.0633239952601078192281789,-386.3804192812703087070536554,-75.44197241413905591123654397,-47.93195571867987968833722149,-3.432286723604015114067476730,-4.208834905412814386142809470
1,-25.41094832223460394928039407,-27.02568063643436211300839416,-25.95994805875175348814126440,-267.6420817014643463941467684,-25.08399140275240887212964560,-132.1901306068404617114305839,-22.31080569405045842611383451,-22.15072083622709201875806446,-81.13293615744903005009505635,-199.7046868142861250061220150,-72.00663861936532260944183765,-3.281085105133834516495944336,-79.04232874015765511241828111,-418.4970004755713775479678734,-23.44764227303569402120238920,-150.4868249649069721280265940,-104.6571018307252195061729639,-0.042446205365326179940453154,-38.16603882711533378385376666,-5.529478196490252203087333454,-26.49607912805536176333956815,-147.4274374321585020594662574,-21.77762656577486560226390419,-58.83490771834904888962471983,-12.91189853100419286119086377
2,-91.01325619076897086061595148,-91.74220469729199364183777566,-86.88090569300778624812794608,-155.6872008893557531360633855,-90.83657496407798630424856874,-150.4132206955136416930548087,-47.65994476139541541407313734,-295.1732067188720820200517937,-93.35062617390884754347709372,-4.797633894993965510923433125,-56.21648421482474510161019354,-0.016638688560961187362272452,-90.85368651176331453825474384,-201.3861858196916801592010185,-74.80463611082722779670113920,-40.81322543193634300157433198,-72.44550378590546336033088888,-34.09198718391434560448146664,-4.797633894994065360169042585,-186.3502110348179478812166056,-400.9346204254093521907648186,-188.0404023096454772186060524,-82.29069014260982176004465216,-12.90313485043521099602721910,-16.71968588211190286322528444
3,-74.50676148922545156276301668,-76.21388581756907068185992576,-72.24807424459196580349177788,-2.449730258417089368992449132,-74.76167768900218389890365552,-3.653703062831263516684743079,-2.816777806758145683765786659,-168.3207109389776307707140723,-11.53830624327710726494590968,-205.0326959538870692153555928,-21.21638929147840370275283008,-1.148791340316719596186146839,-8.660416469606072390177924799,-4.752315351411125451840070108,-0.688845837776752504255523159,-105.3168296095385979256829398,-55.23462776217107128218145061,-72.98837069272583139062365976,-143.8186443550867105148485748,-270.5260157054635656732349190,-161.8554233624433594385945068,-24.04676470977919934529525989,-71.83654242231436055777223414,-47.54536208021078319001979049,-29.03233868692793345759137999
4,-55.08617791195942967927076575,-59.66107710701638268322082759,-58.28937218205334862105711174,-73.81183965889673323335982156,-57.02461274731175326635146496,-27.73123020521657057053756445,-0.476564087068694183685398008,-106.7532353094205602386574628,-5.680034539227195478388629292,-299.0740624055975394910523194,-4.070294717859653615544510572,-32.25997916582786215892313329,-4.995847261814844502371405222,-209.1359042515850890644720515,-36.73769231260180646838505899,-293.4572423251353332799678408,-52.01068994486267664772217249,-1.074189099960187458269626745,-115.8197756518823938200364333,-200.3364258974251957601013221,-116.0816470365681576474586333,-5.678904417100228193615818582,-48.99337844636101609752227979,-139.8189348954252090502075049,-4.984506177102815445370286772
5,-3.440152672165454517802888651,-4.826447033166860965253721125,-2.747005491192891896387915535,-348.4763114161186610744465336,-2.187389703319810938668534325,-227.3042386864242255612711897,-3.107291607754086610376650974,-4.133299882376511797952586421,-176.1520510532092619395678283,-370.4517858892709836436990383,-139.9120237962440583397911940,-34.42815656847397994887194634,-173.2940028745387588885587143,-512.9421148602015107952853447,-3.485098583371864917509004134,-211.9209482176436059448834407,-43.15834077056917004710646712,-1.441860777228550599468313605,-149.2166066099095121224592076,-68.95924282000023253507031468,-4.133299852537269773511159455,-217.2379010085319606932793972,-0.856155120809786566469061735,-68.48912591059410295704806484,-4.207438046698392290336715975
