,AllNAc,D-Alt,D-Fuc,Fuc,Gal,Gal3S,GalNAc,GalNAc3/4S,GalNAc3S,Glc,GlcA,GlcNAc,GlcNAc6S,Gul,Kdn,L-6dGul,L-6dTal,Man,ManNAc,ManNAc6S,Neu5Ac,Neu5Ac9Ac,Neu5Gc,Xyl,Xylf
0,-2167.828439974432352646746957,-19.16532510875983743609643148,-786.8261200021012845164855561,-237.0075830120461889094225561,-179.1931872555492586985861442,-497.2963007856699505769441511,-192.7583566916769912726548511,-168.5378443430420201208152535,-169.7510384073416124924878929,-51.35799399862790525009643148,-303.8571745017906867066372515,-10.98503277375883059327741011,-1262.641155788899000033152133,-760.6753567757228386360964314,-302.1964344944767189403702761,-786.4168213220390132264855561,-904.6352245439660813046547952,-0.000016958451857056375556103,-1288.192712476589895785020852,-2917.825071412274679020737758,-293.4306023799266257204836620,-304.0704092141983256906091281,-302.5198188304221651956370377,-142.8671167616303122942994561,-137.1176369998704683942994562
1,-865.8457555009512139530000000,-3117.676710472863589091036533,-439.6673330206305324388884063,-3.0911527872652851253465976,-2.06151686943797164098611452,-399.5655461305498734052698596,-4.70039513425797008903698321,-399.0526121512381578420922272,-400.3390233845254277251286189,-502.3230885460819095120360854,-3.314100773138001865947752793,-2.50380870177730825367570614,-806.0391946550548482219462923,-400.7332946476859182727857250,-2.620953592578034861232276790,-1937.480382337346393471948512,-243.0397369918028633127559117,-797.8738305268557671006592694,-4.70054432879277788530190786,-773.8458472075237462668491938,-0.73010322070580374693557633,-4.700395134257891878870018217,-2.06133780464263443685489436,-3403.959932796680708358149766,-3424.480639927942296035523558
2,-5.06213776494176803340000000,-1626.431653282997761192553514,-894.4072917671897429000278269,-208.3338378020788533922391315,-140.9691804511690866634503099,-628.3067819459457079293977964,-5.75453755777565959661540466,-148.9180133308064322423458268,-148.4977765239312090931223860,-5.85427985027255877860095748,-242.5260551261844470394179907,-0.045027173761280055618631554,-5.75528494550174455001000000,-628.2156476387314355929865822,-240.5306006013278644120744573,-1132.170350760737461087844731,-1806.443208253809639682266237,-64.21127790129736687770813317,-3.67582475607003638878166726,-5.75528494550170455001000002,-228.7297347618841827211770194,-245.6465440702296591585132812,-241.3587716865005998791316600,-1666.594250300319021439086145,-1672.811816824518970664516420
3,-1712.022934664285138274552288,-5.57251645298855423600000000,-967.5457967197698072488439880,-231.7663163648404841231656300,-158.2837790850791413332135855,-705.3577027092912200160422306,-172.8689726375027375301763586,-145.0723529603395655309556745,-142.8101689254674242311849800,-3.61323086596330073554892191,-518.2713218851785693291546263,-3.369058945386451997187968063,-853.9252137793515840089222927,-1071.346511147775658177234367,-517.6803273647949802162557522,-967.0306305220888773264652176,-1842.663616853081804655857809,-0.08380683998620915944180454,-863.2520180167128542066788110,-2596.028500341285304098445579,-508.0194422737583053354793738,-522.6103933604262026757992179,-519.3467133672920284977248858,-4.87936865953010195047455162,-4.879368659530095218447334237
4,-2137.886227419351323574015069,-4006.519038651139796610052453,-3.277155058698034908400000000,-1.536671730818687873449191190,-0.353980003544553999962372905,-4.481127863023934519099852310,-4.193632724815744234147474900,-4.886592971132124357892875430,-5.579740151692054271651049212,-115.7379812581189176145806744,-203.1204615667624513742781554,-200.9265581915699315733733277,-1798.243343037841818933648247,-5.579740151692053038980765300,-192.9637743141450086579077544,-5.579740151692082279099369686,-81.89807503410948108735722247,-883.9678893867419436407468951,-362.4479365964119644162243315,-1454.520864877810743288132731,-195.3961561524916177329738878,-206.6823037624114238135830237,-202.4772036149603474346722486,-2826.173879393141861065662215,-2848.493564730931577744377481
5,-1329.627980474048262136049537,-1227.541797167783834049360969,-58.1045404232745725239711680,-40.95637679767275474689469541,-19.30551716010736846104221469,-39.64996207435753338442161998,-40.6190643250254032502799928,-36.99902437501988557344696770,-37.72131664389484230079783420,-101.1714832853238143068375210,-474.6669590171788884664031290,-0.0098524563357027492838013,-1303.874218461481442888757198,-38.66912117801226754342139848,-236.3035913630806832236314539,-1845.242544922878586613302351,-4.62495708528463632853941620,-240.1135215843939365841761424,-953.6893217477137391708151941,-1695.343647505406979294251073,-212.8557811385938974104374503,-477.0461673558348591950420222,-474.7357899195782220294596734,-4273.390875223414291697386064,-4294.304696826765433078389924
