,GlcNAc(b1-2),ManNAc(b1-2),ManNAc(b1-3),GlcNAc(b1-3/4),Man(b1-4),GlcNAc(b1-6),Neu5Ac(a2-3),GlcNAc(b1-3),Man(a1-2),D-Fuc(a1-6),Man(a1-3),Man(a1-6),Glc(a1-3),GlcNAc,Man(b1-3/4),Gal(b1-4),Gul(b1-4),Fuc(a1-6),GlcA(b1-3),D-Alt(a1-3),Neu5Gc(a2-3),GlcNAc(b1-4),GlcNAc(a1-2)
0,-6.08542854568456407770000000,-46.28993231465891991127986487,-92.77610000098856599657789539,-2.71155445137452719058774338,-249.8005026285086087708747434,-68.56712243696464322753884830,-100.1812893545145272534273374,-95.33982056062075541634379789,-10.12770936368494265774779343,-39.66637822007099336793521874,-166.1863171590410915718727434,-295.4382707608733410967057434,-81.38600421696917403221690139,-7038.125181674519903498351436,-236.3750653907150831905877434,-135.2410556377529406125744861,-161.8577814957289026691831719,-39.45073336935138886109622196,-142.2154338920093207077408838,-129.4751707415140876803253434,-98.12495715785101946384744549,-0.07211980620337884332774339,-7.09242800617706508699974337
1,-28.63959395619072316330349617,-476.7230150139758573750506000,-3.349687694432942494944475033,-128.4593470449720322776663192,-87.72546400438566893766968257,-37.35231348533124701331578225,-1.516657606326846435737783873,-2.623639380141883556233614533,-2.433402336280840551383175683,-251.3290209806194915362301279,-461.0329063877965879359817549,-0.910521787652471678647459703,-23.91350598621559108743505995,-1432.824347516784068301234766,-63.40250969013114939849622332,-19.72372003733354046406616282,-61.19092345634322482934948378,-252.1503488535613483218368021,-3.308417072791445686260697693,-452.9316536490428070815250930,-1.922122719144287677268613373,-143.1074271124793124882201833,-24.83543285336536230132589451
2,-108.2060251872649002052438372,-487.6730521771567723787738380,-72.33872280117088593982185250,-281.4481869134231390176989903,-215.0706882180481205166380635,-109.3607870594753061590075752,-75.83965738988528139225212631,-72.90533584865635132218648831,-45.39084018150190619314330543,-436.7783125078885149536740945,-617.5620743239103688546993403,-74.42741657759910028408319791,-44.47493088374997604160059878,-3.5848666580E-16,-176.0816439483012726356997382,-44.69718138605041661927862088,-85.67725082371163216769650901,-436.8326687235246023961526947,-77.37202069644921152425608021,-573.9488869232965932349661373,-77.42180993362382773642925861,-287.1633487192628403893219771,-107.4694665551527859192074315
3,-62.13430421965790524939611055,-521.1981000989760835021725530,-84.56541122047928317714967696,-54.35891959830539379558686807,-1.49188266008126674838929608,-39.96347824695676586018207687,-52.81407962882364795450902580,-89.72742392789209462304817076,-8.38714091624080975561323410,-3.68910723741758827935883817,-606.9737178791290549300216308,-243.6873264205513227702999564,-3.68910797213506492119946925,-14328.58726857425862067447564,-3.68910723741749733095427812,-0.55361302471830234528416692,-3.68910723741750182526617319,-2.30281287629764404157853289,-58.17195361522835114278369622,-564.4198470829866911005774614,-50.16694587398186338230183931,-71.76525014652461748149422655,-67.41580654261392598354815025
4,-117.1826676251189793800000000,-165.2563000877872062612276293,-410.4040392920964053862005479,-484.5870078167369219319041549,-405.0874707313897577368420965,-386.1471742776398175859929742,-343.6758963835540662194477333,-412.8614174154755835301772231,-312.3777575012029284886976960,-509.2376255015116708430007839,-0.18232155679395158763594981,-312.6583449100590132715451173,-321.5247521149252282047487192,-5358.564907688446826054615457,-412.5669043040824949359327974,-314.6793584286509712631031557,-402.3641611335930552997967527,-509.1630311127199834491452201,-370.7413072417316377900002651,-2.48490664978806116838533465,-344.7784111516520802348647265,-2.48490664978799140322344303,-390.2949268223189734243676893
5,-0.630677034779621339316356302,-3.025454647993790033034081192,-6.233623070128341510761100142,-10.70617267200998001287909588,-165.3679299963597732239773472,-1.639160286873888461788806102,-19.24199729389242708478289583,-7.119650402305101558446885742,-2.073266015208861257248561822,-32.93364758853217417377349803,-147.6236419740923912115685952,-78.74432544491949747908893283,-17.15076768074494573790718513,-22882.28148748192859149221684,-106.9885345246972348050157870,-48.29404456527707453989834674,-113.6387617681468937520963782,-32.29583812530494258289894789,-21.23582658699276954331426190,-115.8836847895462547189086937,-19.37607088843572859482176741,-9.765975867393327444963894052,-2.338581430172628872048632812
