,Neu5Gc(a2-3),GalNAc(b1-4),GlcNAc(b1-2),GlcNAc(b1-3/4),Fuc(b1-6),Gal(b1-3/4),Man(a1-3),Man(b1-4),ManNAc(b1-3),GlcNAc6S(b1-2),GalNAc3S(b1-4),Neu5Ac(a2-6),Man(b1-3/4),L-6dGul(a1-6),AllNAc(b1-6),ManNAc(b1-2),Fuc(a1-3),ManNAc6S(b1-2),GalNAc(b1-2),Xyl(b1-2),Man(a1-3/6),Neu5Gc(a2-6),L-6dTal(a1-3),Man(a1-2),D-Fuc(a1-3),Gal(b1-3),GalNAc3/4S(b1-4),Gal(b1-4),Fuc(a1-6),GlcA(b1-3),Neu5Ac(a2-3/6),Gul(b1-4),Man(a1-6),Fuc(a1-2),GlcNAc(b1-3),D-Fuc(b1-6),Kdn(a2-6),Gal3S(b1-4),GlcNAc(b1-6),GlcNAc(a1-2),D-Alt(a1-3),Neu5Ac(a2-3),Gal(a1-3),Glc(a1-3),Neu5Ac9Ac(a2-6),D-Fuc(a1-6),Xylf(b1-2),Glc(a1-2),GlcNAc(b1-4),GlcNAc,Kdn(a2-3)
0,-3.171932510071455,-4.706347002619994,-4.023061243250007,-6.007392570442997,-5.709831598050437,-5.795142114828957,-10.04659145331556,-3.745724524200222,-6.933770146013467,-8.217689712126687,-7.788080067866831,-2.8297647161823463,-5.75440587590022,-6.183531585205012,-6.854567621265332,-6.680635118843975,-7.55316063342204,-11.293002092151896,-7.7716186969633245,-5.075772300975908,-6.940119452054828,-4.309347022212344,-8.674715785516733,-4.2592795349158985,-5.605134547216723,-3.911417898723831,-5.950910088314684,-2.749844385310476,-1.9060521400899653,-4.026357656121757,-4.493611182869452,-8.661503815738579,-1.8636455453885108,-3.968678430665123,-3.4820696271415637,-6.328964224698934,-4.181767738967189,-7.56416284194375,-5.606959131718474,-8.124568948663438,-15.266417425817993,-2.3960898039936387,-3.775647541505864,-5.151248234748508,-5.691012366599631,-4.173451724850144,-5.2435513832564355,-5.738069759363793,-1.946659735019372,-8.972324252426072,-4.585965843841748
1,-5.325174809954856,-6.743071020256056,-4.040498608625639,-9.35871473917343,-6.921902376362569,-8.645313192384195,-6.999692001540412,-2.542141055624538,-5.646914766559776,-7.7577887811533675,-5.629953097689379,-4.086438381162883,-6.662401589914259,-6.270243310484096,-4.702859803390352,-9.227091375434494,-5.688093598698469,-11.633910035709535,-5.7796722273021235,-7.201512430498688,-3.7513662648606916,-5.180939255841417,-6.838191665301887,-3.0975066649130105,-7.980054722751751,-6.546094517842592,-5.590663716359254,-3.6076263608242605,-3.5461273391805914,-7.204939744249055,-4.868941583046977,-9.169311715113325,-1.016752174347813,-5.334780681955059,-4.121463886322352,-4.580441057225047,-5.642285038121552,-6.107955658978925,-2.0918533216710697,-5.507416261910835,-15.928916260478617,-2.722905652619188,-3.6449464720646105,-5.153626886612477,-6.572080623239922,-4.956169224968635,-8.167579339182144,-4.602227001103212,-2.9108257651614715,-17.190139499760797,-4.693995223230709
2,-9.09221989211193,-9.046403547366115,-1.1587219396717758,-13.562084457565952,-15.360767794175693,-12.106971584098321,-1.110025704375988,-9.199722863200272,-8.034923633603885,-8.133786549851106,-10.959238125021429,-10.093768684910344,-17.492947498791494,-12.39901169382242,-9.911668224454106,-3.774260836557888,-5.8831288968083335,-5.802755578467038,-8.448031537057702,-7.717712176334939,-4.082431048990495,-10.978282608762846,-6.083268029862782,-3.852505390484141,-12.410158967318907,-9.859750023380938,-11.474442045716454,-7.1085926199063945,-10.707375032725192,-10.17396354004993,-11.639698627733733,-11.876678677270473,-7.456859691032343,-11.458966491330468,-7.235182618846082,-11.421024328253223,-11.199308290666266,-12.98794243647011,-7.8644281430320975,-8.58023628083232,-5.795653979551385,-6.675940401160381,-5.942810293124023,-8.901364647622657,-11.521663230450468,-10.823877494212734,-7.81426821118574,-11.310459685610471,-1.290195686717726,-14.704750637439407,-9.311739903691759
3,-10.552864210706328,-4.731875658423288,-2.6069549260734006,-6.733270477092225,-10.353220010580905,-5.487625900030394,-10.2548449988968,-1.3956301416804857,-14.154482767182898,-6.028612612953089,-7.317868984432475,-8.957027067199942,-8.423487571402045,-8.808551869050223,-12.809251548270911,-7.578814493949871,-3.3670654007262555,-16.94428588803109,-9.912722907811123,-6.7940303973571385,-6.9835728117205615,-10.183611898904028,-12.295764129340391,-3.105368633619113,-9.386002412401073,-3.9123938781423533,-6.181157451533312,-0.7051830854139531,-4.970415105929463,-11.126768800961592,-8.024009073060306,-5.820414201358324,-4.18227628639927,-13.042150606833012,-11.140449983223322,-8.001910995276049,-9.614985412211865,-4.859234614408066,-9.495119158710178,-5.026246220186076,-19.853911768290644,-7.317343499531501,-10.134138541652266,-4.806995792704908,-14.85970818813896,-5.8480678290819705,-6.177958667863175,-7.854632579884071,-4.833638754038165,-8.919903074422471,-12.06991806678337
4,-10.342592627337156,-11.205266325409246,-4.097490379896606,-7.436764003554608,-7.317461877357673,-12.644122379393973,-4.515969897015245,-6.298278468705609,-12.031120415021281,-13.779466204911468,-12.985792257264393,-9.494923169320918,-11.03413345132769,-6.829429843479503,-12.796575675907228,-11.586710073395704,-5.80254812129257,-10.77284220542845,-6.3671084478302165,-9.259437218124297,-5.779160411838681,-10.094389410012901,-10.325432426993661,-7.804521379775803,-7.035741270753335,-7.464755171629982,-7.69278030144437,-5.964917021161359,-3.6916805167034763,-10.033314659903187,-10.423242257569411,-11.610369680206578,-2.7229372044057456,-11.265421482362711,-9.306382676358284,-5.524801252279044,-9.892779261760786,-11.50367789178522,-6.715518213807876,-9.361302720869592,-17.365192636154536,-7.293541393970192,-6.831711474843268,-10.27470030477672,-12.856970316806947,-5.7720557081659445,-8.760757331094004,-6.3058558209078095,-2.4105568438005283,-0.27133120096270424,-9.901464468560242
