,AllNAc(b1-4),AllNAc(b1-6),D-6dAlt(b1-2),D-6dAlt(b1-3),D-Alt(a1-2),D-Alt(a1-3),D-Fuc(a1-3),D-Fuc(a1-6),D-Fuc(b1-6),Fuc(a1-2),Fuc(a1-3),Fuc(a1-4),Fuc(a1-6),Fuc(b1-6),Gal(a1-2),Gal(a1-3),Gal(a1-4),Gal(b1-3),Gal(b1-3/4),Gal(b1-4),Gal3Me(b1-3),Gal3Me(b1-6),Gal3S(b1-4),GalNAc(a1-3),GalNAc(b1-2),GalNAc(b1-4),GalNAc3/4S(b1-4),GalNAc3S(b1-4),GalNAc4S(b1-4),Glc(a1-2),Glc(a1-3),GlcA(b1-3),GlcNAc,GlcNAc(a1-2),GlcNAc(a1-6),GlcNAc(b1-2),GlcNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(b1-4),GlcNAc(b1-6),GlcNAc6S(b1-2),Gul(b1-4),Kdn(a2-3),Kdn(a2-6),L-6dGul(a1-6),L-6dTal(a1-2),L-6dTal(a1-3),Man(a1-2),Man(a1-3),Man(a1-3/6),Man(a1-6),Man(b1-3/4),Man(b1-4),ManNAc(b1-2),ManNAc(b1-3),ManNAc3S(b1-2),ManNAc6S(b1-2),Neu5Ac(a2-3),Neu5Ac(a2-3/6),Neu5Ac(a2-6),Neu5Ac9Ac(a2-3),Neu5Ac9Ac(a2-6),Neu5Gc(a2-3),Neu5Gc(a2-6),Tal(b1-4),Xyl(b1-2),Xylf(b1-2)
0,-1450.884960695552960315645016,-1412.731114500398841421413664,-762.7863534197902208487320065,-970.0746197694055112595354154,-1062.819509077949730392608643,-1227.572908096934388925439063,-4.69747380197097893500000000,-2.29957850325024405895456800,-4.69747377345637821680065200,-713.3323131034083138851925134,-2.96223822790684441798610610,-1036.023505686227324998915996,-0.24312647720287188888986185,-4.69747377345637821680065200,-675.0704029742596540531140177,-715.6680853491150979700474569,-718.6163634640915154557031520,-680.0278308547047141711883029,-1020.653025156204838681889979,-4.00457245900044963768911715,-1073.857908294407539635554254,-681.2381904506900456833552859,-670.2669940318595202097675304,-965.8309010972968393068612395,-1210.654793043322081210092819,-690.2763129645647575916755408,-668.4918911330787006524994914,-666.7748549634025110158882160,-666.1621285794335754036612180,-732.0377276060744255056091816,-697.8065836282490251384586412,-715.7956765514575754791660816,-4.69747377345637821680065200,-1169.202646524565328066501682,-1416.382507360604804458089752,-934.7182527609037863175087100,-773.0764540562277359876727274,-109.2308326978275882168006520,-58.11776358698824154278851233,-1195.460560909177815541390229,-1266.642697091090524672982146,-671.9408428864954883196051152,-715.8792152067348593614623925,-716.0136076056992890874414115,-4.69747377345637821680065200,-709.5949844182812798228874114,-823.3930229241422596032616020,-683.0599705493410650976295627,-686.6244703911407488076517315,-1061.656802817925254346082813,-992.3523084569112548719304035,-1001.489924165297998216800652,-489.9436056506567274069964510,-831.5089850545204409771150334,-856.8955545757090234508633077,-1232.249352378365697944790396,-1422.919084940532569954850135,-713.6961476003152945420188563,-720.7800626416297415607980380,-710.7303877445694911228401137,-712.3010123236658517194347156,-708.7108681416115392467486878,-713.8540101916891076300634577,-710.3617387713755617625137380,-790.1788001043905930926578341,-1506.766328087529134470889863,-1504.211014066517004373749692
1,-556.1126985911754322155853175,-8.542736144079373198129059576,-408.6458191995093723870326800,-6.109295203781843551538002486,-281.5367311898103961825035240,-313.8613099168081891972593363,-206.3305207704228009052521329,-200.1560003373976846855741353,-213.1229583724625236941231355,-304.2951694704100889748663763,-178.9872973770896721859609137,-415.2975994700844750540414122,-201.1037205800117567517861663,-218.5556044079308471069062188,-35.53027305019330244213355479,-55.71051510793634815735834899,-320.6114367446237560351922183,-26.59332847061663099581130699,-563.9391098815738386490792682,-45.39259744525157735753011381,-5.416148023221859386119997076,-346.2404436011170970242820728,-69.95626050833895901059135147,-77.59582134809605950759426958,-8.000829056371326192395920386,-94.95921435100812237034516448,-61.95030350082154173039871560,-319.7706786838252095462030989,-323.9916547518005320510169888,-5.247702347405149074776294436,-21.91581126574139961565373263,-299.2821598724357371323017203,-6920764.511665602605212660527,-5.010684374751905894765756036,-11.24834245169664994804885299,-0.439414619691635387320210026,-61.50170296779688051472054942,-161.8203342830573589750479368,-1.613627441857501371712044216,-3.696889520348380841971126416,-5.416148023221879101894182396,-336.1433491293193872480887053,-284.6701285571789732856517879,-326.0300349550052194668968694,-217.7834894646855786457732020,-402.2489918615991197979516264,-6.109620167408326237679519466,-2.718023677083997686928775786,-17.63467797770658041747715301,-18.04284594677909376969125923,-24.48963963540379649138741868,-481.0993697143590736871616045,-225.1316568078569677727748241,-3.341844630779143864886635996,-279.2712940132385819971124511,-6.109295203781840558206166246,-6.109295203781844937679519446,-28.39689828705599523292398752,-331.0745779042494690910668353,-222.3496485275329153774819624,-403.5433620078573988506108760,-402.2456687885932241178220427,-40.65783826746002436630382040,-362.9169334427416916518652505,-343.6994250773330652692887548,-840.6482085259518676021122301,-740.3082957110019761516411868
2,-345.9218279168199117144642387,-391.1141498097210053702723755,-53.57298177618949934414720231,-191.9390714784252874233341190,-238.9133970754726833571078535,-358.7166789961824376143298713,-512.6815593514478971717775959,-556.6659318493342287421503769,-2840.676296575559279263887186,-3.642479949071875539607389883,-270.1201091879017817689245435,-740.4665308760562324620810390,-2835.803159158685665553887242,-2847.489544942643856741629949,-12.83325799780457088224767393,-3.317057498417648330010627123,-4.415669786693651064941281643,-5.237953796585807394938050366,-301.2019892983567261097492499,-52.43908252513427722557276450,-184.6766382723889776926922418,-142.1238803228663752843091109,-116.2122373716384031217411353,-190.4733601719819382880535622,-104.1602838325921068526942309,-90.00274806217135135653851195,-90.79515222759448857641003644,-336.6074778989302299946600084,-262.8210265046291903398160826,-6.031788439435614497610890063,-5.389878110721783237062539143,-4.415669786488577232313686343,-1048460.196547235688026913772,-61.35471890989936762927177962,-393.0277949596821175063781760,-48.83286950622390375559315704,-6.209987997320320722402383953,-3005.282485040799306453596034,-92.96800121086641960314305609,-101.6309171999978954183599685,-77.89969299828480150950126187,-512.7066628466999679365843537,-3.568372025453710716565128073,-4.597991343283073238333006803,-2847.213992395261272166297910,-6.207429255787214603184006823,-46.97481275138314138282937027,-4.044571694093192868297329183,-33.49248238912940391195082533,-4.305702531446813035259306003,-0.773707254275808868809637883,-111.3518921427891654493401384,-86.53076759183117488253659684,-33.68798449779046614413278109,-19.18180309132060743297997833,-61.39526233141723770120909150,-47.09954949682881629446611048,-1.674885079211982758803283733,-4.415669786487838873324325473,-2.337417660140293414280808983,-6.207429255806613765804919873,-6.207429257369461383644423123,-3.071937380305043521475617293,-3.904844163113568669728729473,-559.6603795300383200424314301,-234.1348387097812421751682900,-236.5526907596096751303652975
3,-6.162156175118165552237749667,-110.0877737248265562266993290,-133.1606246560012879430530266,-394.2585018577310845351150631,-6.162156175118207390043937097,-6.162156175118192370274972927,-48.83575034463446578984640157,-47.53388452812801916891512162,-45.70267465292709185497976060,-72.92520657891720270707507476,-5.316401140149455019099047203,-277.4248824318886327316920541,-36.51196663198252647377776554,-52.68038259106425530721308146,-55.05843893436540994993073916,-43.74438761821041487410150898,-79.17678584446150201368003665,-57.05488745452258386680415279,-305.9588047175738363566028342,-27.03646703946956871731774203,-541.2830867840774658464819911,-97.76263412004053477984356168,-92.19574550942421760350593948,-6.162156175118213230446900637,-68.79340664378920180586612482,-51.36543407787492669553772544,-116.0142801909420159299616583,-230.5198025583948191625984782,-235.9407318339994267713405547,-37.83955398268864624564993695,-43.94133746492334055780066984,-80.54896956113542999068131475,-2314718.719493338060780456772,-38.78109891200509155704219704,-112.7513320621137731290396625,-48.62757930956623018032019056,-67.39628087945788984249769348,-6.162156175118173356618750847,-0.766839143894749510574815217,-71.74946282067716552984724854,-45.27584769553176895180823216,-248.7354423630733865709174616,-78.35200481522344773140173458,-84.01697214988853477252467985,-52.69194503626597601896985470,-79.90430061591934639737567985,-372.2392990194622745283973312,-4.154507204596193132477125927,-0.750510469497845681073916427,-4.321206775122388290806214497,-37.42083534894402883225064656,-107.6151983136833341122301080,-58.43491353052758418180580765,-46.09301313341805158254725215,-81.75109703958047432399942988,-39.58192479769115096276942104,-94.46045882409931822662738058,-67.47217093187183483890272448,-80.36340893823163403069201024,-72.23659430385393014547248205,-82.36273685966674317650485428,-78.81707524306865128173609619,-67.96672791441870584920164418,-76.08157155403895877289641424,-296.1937680022178814282051624,-4.552718262684087876612469437,-4.775861813998296054289393567
4,-873.3686365429347156231863979,-3.774377383902518337137799275,-5.235427830740804547594392265,-194.4011533301861393038999044,-275.4761046491190600925281373,-486.1048687874584804311747730,-120.7209358934135670125887901,-116.1978768863089110626168602,-160.7365279960840373237701888,-19.36860034044425290348607528,-46.24066098915506613422624152,-97.88980336437308583136549604,-149.8708983460265644468173331,-166.6143337322319308828866815,-3.836619568501926939670925095,-23.48584464990438590428607008,-25.65161517969596765076633966,-4.242883839775628891385991485,-136.7073828363645229877573974,-0.979369268951445704154957137,-191.4275530753059926747725847,-3.529056287485646714130578995,-6.803992224401370147420520945,-196.6175990682449879967349636,-5.302001986367640454565981755,-4.316529155323611255915702113,-4.713545762917525715008829445,-7.064599964093392044149753635,-6.660367770120599536440552505,-5.957667404764212034725190195,-23.25679711912787551357716752,-31.30497586177454855033784370,-2297187.484419239088843643598,-17.68665966666209074597992554,-5.144374551149640825750482875,-14.36620261561702683997700046,-1.806198248552373954336115275,-111.5123108332043402969496888,-34.27236113992268731229449374,-1.190346980531564121121173915,-106.5037325984110076323969955,-5.937648580360354407508521275,-18.62639546808717734169677556,-30.94113739445746452903173790,-167.8391085298669018082910496,-28.52075856276299903388273794,-54.27475784567920966664470166,-5.682812086701998768103847635,-16.44554264087687503450823572,-15.72363014255005519212425560,-46.99494958392852388406622756,-229.3815337098328219485532964,-190.5018499241928569725035234,-47.75925793830427188243200374,-4.445348000319357227115357735,-89.39701299601893708252315816,-542.9079152581435467369864532,-16.72838259106867119817217530,-35.72313947123533549238823322,-24.71804576950572207954774008,-28.26800275929501735104409300,-25.36349255623986308223725434,-20.34247861982080624939459454,-24.49889024310979879195413722,-5.153655701702044485493134045,-333.4835783558670760987918457,-332.6667882882619579494075730
5,-706.9450445376799823152577660,-429.7025730242030341289925372,-8.819516435396197023884947216,-162.2475939187185272827466742,-198.3305194260344063399289469,-423.7598389701889145323910205,-6.437714067251531235965771426,-6.437714067251538350096246996,-245.1086299297466868593333235,-31.03664256454109429253733482,-3.302219855260934770977356716,-6.437714095766101424556099726,-242.1429305174817204394674678,-250.6941643542141067268748689,-7.569387084744912046368943426,-33.36721725456507015750546162,-34.06861340823770846820840522,-3.397266170377619383667876726,-5.744566915206164710606338026,-0.632624239368532810789665826,-291.2261882164927463750605239,-20.36671863221546461080629712,-4.677978016529567359227098486,-158.4038575729147926299766678,-370.1724633218711590184451288,-3.620807424063027373892727796,-7.191697386993081788961173386,-6.595203946194335673816726826,-5.860147511499793462327086126,-14.66812489601267189248917490,-5.431563159220952312962296136,-39.26639091845344874530922491,-6448990.934123798867256448715,-20.44257015163391412292868058,-429.9916336313922682642820779,-58.29464404353628780502739855,-66.45313143503680885973657298,-309.6880867662633215932513642,-59.71658628899581379604079706,-261.3371647670704071614185776,-185.0204399816754757684726824,-7.035022156221999009632427456,-25.96804856728529162419043516,-35.29979838201618889132437875,-252.0795933875456988562161671,-33.78102050615264960617537877,-14.46967387359869031317203982,-3.906057260225288606560030236,-16.23874724018407932463159924,-84.60389366194662390044710158,-21.00033527828240935058927955,-6.437714095766130387342471506,-1.144409271041636437181775186,-8.938755683099129657058864776,-160.8629796639108672224581324,-145.7846031920027961053746809,-751.7601731991520603453516317,-11.70938044543192428153175532,-44.98942452284520141498981619,-6.382224524481205615806480926,-34.58353967234664758738582150,-32.02257462428237147708109509,-16.27200395359764530010362675,-31.77899133378444689371437019,-6.422778862940678781703453496,-139.8172941460850040809979766,-141.7374648441742742683634776
