,AllNAc,D-6dAlt,D-Alt,D-Fuc,Fuc,Gal,Gal3Me,Gal3S,Gal6Me,GalNAc,GalNAc3/4S,GalNAc3S,GalNAc4S,Galf,Glc,GlcA,GlcA6S,GlcNAc,GlcNAc6S,Gul,Kdn,L-6dGul,L-6dTal,Man,ManNAc,ManNAc3S,ManNAc6S,Neu5Ac,Neu5Ac4Ac,Neu5Ac9Ac,Neu5Gc,Tal,Xyl,Xylf
0,-750.2176221370056081758589824,-6.20205915671090723130723700,-593.6500600823410880312060966,-6.96970590048195790122815850,-5.02184848057140627972065849,-2.28373796281577195424120663,-320.7728308336349857497311776,-19.99944817956943279970594037,-14.07786928605459890992571674,-2.71206305337877894375752991,-14.87842766515326073358770272,-12.33843551710419560217600835,-9.98355811790133957634096833,-630.0837822540801554832769078,-133.8167658896278668504426534,-186.6291842042121454096943430,-189.3349763026255775414058548,-0.20589354997115271317239155,-711.7201531433161935883749606,-13.43998056111233238851508626,-176.2545151341303642884662430,-5.492392644120636830260050599,-6.20230536546649395880490607,-176.9679068823380882622546806,-6.20238714652272959348979731,-687.0817051836233436316836738,-627.6636804116662496910932900,-16.43963096402595617119505073,-185.3721500268670981180807406,-199.3939438861215275801419330,-174.1002463841553670293349670,-40.49181555295566930380525150,-2330.152393755220893725428089,-2300.211105789814837077735179
1,-498.6467630329995715558470775,-6.848510190540572857727297271,-5.748931905376989407037280491,-81.33737727972669715873793255,-11.23248956922236024485606491,-5.579030116813708266563042675,-4.921440344774651487553099781,-333.2739673977991392918542496,-307.5818909482817927378525590,-4.650293740930684591703001040,-288.4226944417688437488616603,-285.7399921752459337821915548,-286.0997365991710690080312838,-132.6514444871066186622337849,-10.53216871748299301407983944,-4.650319616708890026458781426,-6.847544194045098494753083391,-80.79168563978888837136364727,-500.5365169412849101841081971,-445.8586909563788816653040376,-3.236626281400893078510586371,-1569.895278310906138791241912,-6.847602891357531001883120391,-0.606178317549113880270098210,-135.5763870882074568313253699,-468.4151430392525289441400595,-575.1806276040876275280196454,-1.210787928726378287554969401,-5.238106281610977108377581911,-6.154397013485146714783384341,-2.613437689447840586959344431,-26.00027837239160191333676297,-382.6005386288883584105013204,-342.9233615330488140665878697
2,-5.25197399451322036357000000,-61.30127129552061707745456350,-1028.058327865135531545872228,-261.9475338039098862042145181,-88.22386810515594301176348529,-7.647461837364892403097388314,-13.88711447129885524193775382,-335.8911460010764239247906352,-299.7961918464236586184560863,-7.04363378664687727801444516,-291.6630689911207539601758262,-292.4589362524427458045206409,-288.3689050994406302867465367,-72.27860475230431439161093285,-5.13427079332227379317293119,-83.52284944710744781671511858,-85.54007756274839480730949699,-0.033674710467477853213745311,-5.86957553854696564463910284,-450.2670476811558118514193301,-84.17810309098910683513042213,-1695.409611460678823831756919,-75.93899963206963201981566922,-38.01332512001538340302745952,-4.13590136026605704584893575,-7.04351223115984343763647631,-6.96009642876649889180095128,-81.81321387574952840413565882,-84.47026511445863754291021220,-85.49874230589004839339621480,-83.88600976539960140965214575,-113.2521642750384393462701795,-1723.010970301531289641606771,-1701.674848857788981436308476
3,-307.2236804013040040856676296,-19.36343863698932160121340930,-141.1606388380340200557839978,-3.532962165578911958216698463,-1.408175695512457968474038410,-0.371560391513122707626515227,-123.9290637137226561209324066,-4.742989343584301208696514570,-5.947088699722431687368521023,-8.634863082228288316324081360,-5.947018921461334849566082030,-6.353509442610332363765474620,-5.257621343621393261371225460,-224.5788282654714764912614994,-5.370086144097289641466069330,-49.01438040140908412060829489,-49.69904393549871557197692145,-34.22161449349129117107962265,-211.7945399166440254567436072,-7.046293616850571633840359480,-48.31272278514447496835507159,-7.080096546140551719111859413,-39.10239062937511479821489186,-152.7501372473959204420195098,-62.70879753447127545410233727,-208.2729916638569681060069194,-228.5266342069027584917527088,-6.149993807893816413675328930,-50.24607535050685852823544824,-47.66971065126926295946765207,-47.76787030609271557420912136,-4.966132793639910032597826420,-1608.874455062553724941928955,-1562.593410565343083212175120
4,-19.98308088169542045264101070,-13.05725973672249179409291013,-1115.621733752449277177427778,-1041.066581600744374475571262,-67.64500302673545150933410087,-51.61827576490277873662695095,-139.9477761076143175595898600,-457.5393009896354002175959119,-422.1193805197452831329018351,-123.6471612791025717980307766,-411.9790983547315219883855352,-412.7125299764773581240674443,-409.3994675817117863050620807,-170.3052630134574692961028120,-23.44305327001373074353503062,-44.63501615724066564009683420,-45.52348880292290543519803317,-0.075547014101909899353268799,-5.995566842255270713012762934,-560.2967521167119012690882185,-43.61375523403536990754241720,-1214.573302714562173249476061,-36.29105039635602912825919885,-48.46222023240511933850100473,-2.748117354902469141940045404,-145.9942471213306918799866793,-5.079401354651771725563147274,-40.91971762150067999793320525,-45.65832404802966101127728939,-44.74621478586403646044481538,-43.32689862797145385361239021,-66.92899916699234673916717060,-211.8462106370406390717167588,-208.9863480076197669557572298
5,-6.13161708122102924800000000,-477.2746128481847801572740495,-79.40257965471495096466595938,-1130.746615170307332644633234,-405.3191272777653942101538362,-107.7764504336306315874715622,-5.40564650370269635555906068,-383.8839155923846643413179775,-354.4037698051468526085049662,-211.7533883646243295041549297,-349.6627456426426600787408173,-350.1562054354572598402943068,-348.3552996211304350538140879,-6.82542734404598366059730796,-6.94700403239018841011780998,-425.5144903670705526371082201,-479.2482167187461393792348136,-6.41575887069970096553302247,-257.1468094545627497491458291,-507.9482286680218217901725167,-241.4943049747676244506621097,-2379.668341254615975115958747,-520.2982997997768016983726068,-0.02588051105680152521560853,-163.7434034638821883664139474,-256.1673259645851372138198706,-217.6463978986666420503287766,-201.7434646719470831235075938,-412.0812142381107312800764722,-524.2162380716110135254063094,-258.7230362602947253553472262,-432.9736597315945820158417071,-4.74598580236610070778568149,-5.033667874817883375576579541
