,AllNAc(b1-4),AllNAc(b1-6),D-6dAlt(b1-2),D-6dAlt(b1-3),D-Alt(a1-2),D-Alt(a1-3),D-Fuc(a1-3),D-Fuc(a1-6),D-Fuc(b1-6),Fuc(a1-2),Fuc(a1-3),Fuc(a1-3/6),Fuc(a1-4),Fuc(a1-6),Fuc(b1-6),Gal(a1-2),Gal(a1-3),Gal(a1-4),Gal(b1-3),Gal(b1-3/4),Gal(b1-4),Gal3Me(b1-3),Gal3Me(b1-6),Gal3S(b1-4),Gal6Me(b1-4),GalNAc(a1-3),GalNAc(b1-2),GalNAc(b1-4),GalNAc3/4S(b1-4),GalNAc3S(b1-4),GalNAc4S(b1-4),Galf(a1-2),Glc(a1-2),Glc(a1-3),GlcA(b1-3),GlcA6S(b1-3),GlcNAc,GlcNAc(a1-2),GlcNAc(a1-6),GlcNAc(a1-P-6),GlcNAc(b1-2),GlcNAc(b1-2/4),GlcNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(b1-4),GlcNAc(b1-6),GlcNAc6S(b1-2),Gul(b1-4),Kdn(a2-3),Kdn(a2-6),L-6dGul(a1-6),L-6dTal(a1-2),L-6dTal(a1-3),Man(a1-2),Man(a1-3),Man(a1-3/6),Man(a1-6),Man(b1-3/4),Man(b1-4),ManNAc(b1-2),ManNAc(b1-3),ManNAc3S(b1-2),ManNAc6S(b1-2),Neu5Ac(a2-3),Neu5Ac(a2-3/6),Neu5Ac(a2-6),Neu5Ac4Ac(a2-3),Neu5Ac4Ac(a2-6),Neu5Ac9Ac(a2-3),Neu5Ac9Ac(a2-6),Neu5Gc(a2-3),Neu5Gc(a2-6),Tal(b1-3),Tal(b1-4),Xyl(b1-2),Xylf(b1-2)
0,-75.62292424014775110918317393,-45.95840408796332913449279665,-66.62975822755381064349647257,-118.9753506614991025876157868,-39.31415424662138114393110786,-17.15703005967927694791763604,-161.8615700319669753584251874,-179.9469420244367798763011434,-257.2792862964295521799808242,-31.07941563664727278642618811,-87.43728854717873332150287630,-255.2189467788047664716394487,-132.4505456101242665448943106,-144.5661820730057898428674598,-255.8428519443700472133844381,-44.55931814079074723326305934,-37.95094556119487016433961951,-63.76441006922297267610355053,-30.42654292524159348009100937,-229.3595033310561426186444111,-41.45438088640590739613893674,-36.44188499710316740005604161,-46.58554692300936827958648797,-60.22442483749430646549120357,-100.5401710532996971728376846,-44.14720193192362493264549331,-49.27212941548668149655156802,-80.11001168110521445220527041,-74.95273747627436843998446101,-74.06937812176986950111366446,-71.71059698952362266455464288,-6.368976437043721681282006990,-28.33168004833819718511065862,-5.659458398486765973870085290,-67.71507811783449928097927131,-79.22284755122483012938572129,-1858.535981754486734897007744,-5.673098028673292943563650250,-45.65905817847241478163736803,-73.26005614815572755979239993,-1.661532518634509403404486430,-6.379753441057263777851720220,-11.03994639374890203860446070,-201.3896041840292882868255262,-1.573863521309324152792762032,-5.174224668261474548465662690,-6.382910152384299493568211390,-15.82171958561688019190530707,-56.90124319679945773032167541,-58.79222632531261111911368790,-256.7150444628215557087143946,-66.42328761630005921657774893,-130.0087476961650595434266830,-3.063462625918107517895005170,-6.037000201069089432095378989,-37.87533395253756511982878410,-6.407881643131777720318051947,-6.368976437043726286825526350,-0.668532863665199354141820860,-3.986713273459499182747371380,-129.7725312766554448202463028,-6.368976437043787855493054250,-63.77252191079798274795320380,-33.70350838731512153116821563,-70.52884674547430284273579370,-54.17320117972218335130795355,-64.11801144372708577672389658,-70.56814141816214890983778810,-65.31349802569617147292018959,-66.48263126911863734139584549,-40.44921460708396807143911169,-53.68703704805136728946578568,-65.38072943488807110092834959,-222.1635173411464464191356344,-107.5510134385475825995118182,-112.2506239934077720816240750
1,-124.4900309628830050361528766,-231.6558808502028710454657192,-44.60337572648231505230952987,-35.83820450998551260658935677,-184.1387036474345315934855653,-112.7873242499005561586056758,-5.177547478234702305086916987,-3.842546411501051349766587027,-5.688373102058361285281529917,-41.30172183329693322838133386,-2.798001400225632653748665207,-6.786985390659325733400148707,-5.688376140338675656119828367,-1.874330505000523391514264427,-6.786985390735920339657621717,-24.02945594566512058149418152,-32.48790402371127977800930679,-6.373821183932406232215696327,-3.423957055935836441722553027,-6.093838210098492763908431087,-0.412276299180957781424622267,-59.18607754655851631805374123,-5.398038833720145876822909057,-4.870698017851343568197876107,-6.787282408518924389739792147,-180.2221987387373854698998902,-120.4770114967479778082762548,-3.634595823428433408556708847,-6.420021446957758020170689047,-17.95754456929188203979858456,-6.436067610511376814065406487,-50.06115877167128269852575894,-12.86920270614228655143645874,-13.20801351728995445102596684,-44.40867929623048855748805278,-46.09486649356203857006091673,-14409.51667903856575243409302,-56.74529795424715072778123094,-231.4508913890664150590790618,-22.48934716816854731905401827,-51.98324676553521011093278680,-52.56326595822054698988063948,-60.41755379463369334080829561,-144.6444811309907496308510015,-60.20202220957110744675765859,-91.39632054463368607895256563,-76.00638925959348394242584525,-6.839380586439888967024388327,-41.46242730123382986387913968,-42.58123843026477800783037692,-6.093838210156230372791801467,-47.63644762739943880029443794,-34.77480434826437754102724323,-19.86836801524909478896720155,-44.97240915651122755276947047,-22.99719424805621768183448643,-13.59414730468418175240929707,-140.4325688260991607766514687,-121.8842472381005179588491299,-17.87455101908192907505345297,-77.42702825742168601509348923,-71.02996339168107044213828812,-265.1539483852958164651410051,-33.22301395803338776179824981,-44.65241222682021086853838925,-6.084152332752824672891802407,-42.61973741190049774593864013,-45.95720988127798932905253165,-47.60521014758999498242279340,-47.17032859315281177221404060,-41.00846737308844395807818701,-42.50207683466217704296241923,-47.33126990176232733164576260,-6.093838210098515348600604227,-43.03715240159328102598253013,-32.00638511865188668990696665
2,-135.8928480721394082352872445,-17.01128557812983353370745056,-81.50503668651249305883620084,-107.8328584346087967888758028,-71.42381615187717872997784276,-38.89741153331674607166344449,-228.6515578975938658203574446,-192.1959576017123233750059652,-240.8896827766521824877048998,-52.43822867551977452073803875,-119.7626680218532286836186822,-241.5783670444319377143072659,-165.4007868750215536212573700,-142.3117928309691211250745584,-241.9989158160123997986740709,-12.65255469176067558946390870,-8.208974957311826071984754920,-55.66436912387245827035997031,-42.51525045598695946357576333,-249.7621109599746461819038496,-75.97636611349510548856746881,-4.798269138766028114185821140,-33.40225444352319587999982701,-106.5557147524831640544519979,-101.2811611741533003475922988,-5.203734246874094768295359670,-9.417215110040908350888868000,-74.20538427740049299280904745,-127.7997340685817691796067649,-128.8637134422783786624454797,-102.4610109521345393161120771,-63.06151292996105085444781909,-11.18437592678743328870902818,-12.74002839929282541374371398,-55.36637628789280030263031512,-51.14675358218808697186785452,-5.896881427434011192286511110,-12.49774972167188727940025143,-14.61007605927050194352752769,-43.03978526795046745660667682,-0.112843462006103575156037730,-5.209966038306129806118406220,-16.25264852673144132975937631,-291.0054839503139394595571375,-3.802152731077888040758213098,-10.94111878526191024398409760,-5.883139195496892860619943230,-73.19283522442392056241515748,-57.06247810834457884918119273,-35.57495594160888012574202629,-242.0672715868154582919251011,-103.9766258183215017988620873,-79.66210516014478782959742504,-4.046076617102215475693712580,-10.52821648310905812121974342,-16.26746610429691827320280744,-37.03043905771976499341927356,-106.3511194816965294846623405,-98.48126881783763455630106530,-3.318910100195560314528375120,-104.8097497502854478989926194,-56.62267226934022058614642915,-5.203734246874073588548221400,-9.927592165544790089763870766,-59.21726131302038782392041927,-47.88689584117617974681775373,-89.04836850446554698447776052,-54.20387979761831740759165200,-90.57471925735069320247774584,-103.4022922084221620539342010,-14.31151536316694803816737496,-37.81762064879713620559898957,-90.11960880627082929126104250,-261.1242085160982659748716287,-277.0261464138250710469929581,-265.2031917766114288941619507
3,-33.83025841172761774145245446,-95.17761467817165679291237312,-75.80745076106294393334511894,-93.15644541182491958709854554,-39.02954543295746293255654436,-6.067597359332507819278878013,-59.29996904265851814421525846,-52.71807581050744118030197058,-104.3913993471197255560687594,-54.14365829289295599963276332,-30.25352964593445492385836634,-104.8138084732523946979579767,-17.63833807808511575207959823,-67.25288823002496619421249514,-108.6436292357182474704375955,-4.651656681721490710284928923,-49.54644902759292430585847401,-6.716160954426831884758185773,-6.980619489994740221041935923,-54.68716107897331437647622206,-7.530445727210912663822351469,-126.9851636557584138771846553,-80.27403316126997855528958694,-7.620892734758281701729949703,-34.03786018843261595433997074,-174.9534309070976544821361543,-60.63458067176218219998084833,-6.729871190425247773715318369,-5.590213617891754187840757353,-5.339612204030056231187750373,-5.575570154976573245960400083,-41.22119193316539059984012706,-4.810011596553554176660889283,-4.268083973739894229924438053,-50.51691821914857513165956119,-47.09992417059453852458113326,-6436.854269971991679375310410,-45.10385086034723205633370603,-93.80268329710615199986339732,-6.032752494733294280194146323,-24.87607921634998039774761589,-40.83580246721960699384552791,-43.83661840094888654888495089,-132.1615106327884569844978040,-33.52413965332530141352348549,-50.94741269292644769563064338,-85.49857215917003393469424174,-9.009314428983129965639445283,-52.18130147307754271249300076,-32.23568303233551601318352929,-105.7955563658405681431183847,-90.53693395300042872254759036,-108.2738023954659869650629149,-2.453222560088391574007556443,-11.57100114944775825107786797,-3.638645456503692828091382203,-0.216075979497490196336570533,-65.60031832106903806178278576,-25.46570444443882427780677172,-51.53430489490443726842923644,-148.7973320685898253323954575,-74.26460452940076952138579864,-82.91828450789906075399661024,-45.43603047421633650075858764,-56.94460242479529175593517466,-12.89778833185345803844146540,-78.22351687278763947247448354,-51.29494560383810828558837506,-83.38854086161911778432365584,-90.56548436639483969545325798,-41.87763112953506309262559428,-36.05335602129406608515857264,-82.68352658724101502710685850,-52.95528827428866269837474361,-3.953310801505193562786525793,-4.646457982067918095691299183
4,-5.832176283637137884170196525,-110.8912260575611994422492233,-103.5665397842177800016386017,-6.525323464196894549830999525,-6.525323464196660300813862975,-6.491671811985264657147913405,-30.21012255409948061863407612,-29.01126635148451120569942066,-28.83799409673867858999945498,-80.39058296867764079186650030,-19.23191913000427707395339666,-34.28407337071377865682933426,-63.87748901750399640673779424,-24.88545831539944980267554254,-29.80657184040656854802286456,-41.30141729091493956883707394,-6.916051270963580819718104045,-47.07902905370488752631924400,-9.818318811254328999404539973,-52.21687667097754045613587130,-11.20896069704713469410095721,-61.22058764875890082315458818,-20.77780886459620691683797264,-17.77053742125138862925914162,-14.64719025643598337946518746,-44.10682360117939971948519834,-95.65368999203339648815727912,-8.731799391162920729111243005,-49.79161814535560953978203444,-57.53345093112270958844213758,-17.79014091296259665272707978,-56.32682493169214835856025672,-31.46537823332740523300566434,-37.64253607567119719231759778,-83.68558334507189950694195730,-80.41333964307738056476761090,-11557.78093834577262933219001,-61.59017355503834801380499086,-110.3929543607745621207915707,-72.45431768212274089325033498,-52.15893395591468773509092928,-53.53931460079519278616933634,-58.78271744578042489159521828,-6.525323464196657291781186765,-0.717075871301798262081044295,-74.47927954542177001844116228,-96.73397275781270516963545948,-31.62160318981231523074235246,-85.48340020697260269436002318,-66.30482719259378110675732036,-29.40768615495479426576317658,-113.0069592486939488547813815,-6.525323464197371660114495705,-5.616929947159586114839147985,-0.724436648729942827606398605,-4.573494736715188355004450935,-8.222980292963267964929158755,-113.5321432881788685811798255,-109.9006316593641516219732448,-6.525115228753512799923492715,-175.7875715487024408361023287,-95.88151710593030827201155708,-61.52195871093076402143218778,-20.40662695625108282925345714,-88.70410936289302016020797656,-76.79596426328598401086390968,-107.4285662039642317009334570,-82.12540609702584247404734848,-111.3876832750454032840307665,-113.0757799022535764385913502,-39.78435396688801000608641498,-70.02860313871334406801623600,-110.6169191907542577192605841,-51.21229740972431379528375984,-179.0503362215997007411393181,-167.8417313320550118437840633
5,-217.0750284611414443545878411,-4.690138693888246157011901061,-6.299573627077139942751192381,-123.2796721356391478154578152,-186.7984013974497486112327159,-59.43040031559420506378192559,-168.3238602535654157349194335,-161.8496933778171564251616413,-185.3338556690046190957846954,-3.303841353524079236818552701,-99.65554365729426821055015726,-185.4604093252166257030687176,-122.4314105070256548195874525,-147.6559735557470067847127514,-187.1576499580962733905842668,-10.23299643300159917452772024,-3.292684718356727603533631651,-4.104182539676387760731831331,-4.397647538457513773043096578,-198.6289757947965946811229337,-5.630507823057335627334089970,-35.24016529597356637979967076,-4.915938676555281231195570981,-93.62839555502238519742225003,-97.83185560240488736789052943,-37.99115462742513405868007232,-6.329609790036022006481173241,-4.353663532687365960282295464,-89.99754724505908189653112337,-108.1599572011112030966613501,-93.50398034781379495685891883,-42.70123837471718649247401012,-6.816788632166255215909547811,-8.381741671186547888307791101,-4.220132085397298951277284191,-6.299573627077145931242075841,-5295.176260339862474610305282,-6.306426161526489186668630461,-6.299738042802786369532023321,-42.50815754762089525771674698,-8.118658267076803649347913611,-10.06559470617879460242136150,-2.493119936705102919001220821,-338.5757699780598177128196233,-5.226714276336988847110781931,-1.759573459721841999993924041,-36.60185150142343591043256970,-51.11725557614066930118680831,-3.355134647910700773239590571,-4.353663478022447993873849641,-186.1609528406806705686279006,-6.299573627077135486337910671,-110.5091226782498349256753562,-9.637770510899684124795893321,-20.74702625915225364052399502,-17.90849119886410716173003917,-38.00737111714152580074160642,-89.64326953290627790589321255,-86.14982422016706438549076911,-34.13463032194533664778326519,-5.606426446517210673380310661,-37.28666459221769826230300712,-92.94235319388634814580696653,-1.322962393111316264342561701,-4.353663478021820136917369391,-1.969110185307985579689148891,-6.299573627077137826668159271,-5.200961338409027749782050791,-6.299573627077153922491983671,-6.299573627077133178139329521,-2.865593571023715322018775721,-3.303841353523158007201771371,-6.299573627077138230029616431,-228.8708856517576704219664113,-185.2683963915828219201140953,-177.2846626800234621507579037
