,ManNAc(b1-3),Gal(b1-3/4),Fuc(b1-6),GlcNAc,Fuc(a1-3),Man(b1-3/4),GlcNAc(b1-6),Neu5Gc(a2-3),Gal3S(b1-4),ManNAc(b1-2),Fuc(a1-2),GalNAc3/4S(b1-4),GlcNAc(b1-3/4),GlcA(b1-3),Gal(a1-3),D-Alt(a1-3),ManNAc6S(b1-2),L-6dTal(a1-3),D-Fuc(a1-3),D-Fuc(a1-6),Neu5Ac(a2-6),GlcNAc(a1-2),Glc(a1-3),GalNAc(b1-4),GlcNAc(b1-4),GalNAc(b1-2),GlcNAc6S(b1-2),GalNAc3S(b1-4),Fuc(a1-6),Man(a1-6),Neu5Ac9Ac(a2-6),Neu5Ac(a2-3/6),D-Fuc(b1-6),Man(a1-2),Gul(b1-4),Man(a1-3/6),Neu5Ac(a2-3),Neu5Gc(a2-6),Gal(b1-3),Xyl(b1-2),AllNAc(b1-6),Glc(a1-2),Kdn(a2-3),Gal(b1-4),Kdn(a2-6),Man(b1-4),Man(a1-3),GlcNAc(b1-2),GlcNAc(b1-3),L-6dGul(a1-6),Xylf(b1-2),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sum
,2.28727E-22,6.65073E-25,6.81347E-33,1.9915E-46,1.54806E-14,3.01252E-37,3.0452E-30,3.50642E-13,7.04239E-16,4.60188E-18,4.61738E-14,6.15009E-15,1.68907E-35,3.93944E-14,4.80827E-06,0.007879928,2.01674E-23,9.4296E-17,6.21098E-33,2.54406E-26,1.32647E-13,4.75113E-19,3.31244E-15,1.33776E-15,0.069967971,1.31567E-28,2.0512E-27,2.45675E-15,1.73448E-31,0.000142495,1.17891E-15,1.53793E-14,3.50938E-33,0.039327423,1.52979E-17,0.037984631,1.13744E-05,7.43076E-14,1.45689E-15,2.53426E-28,1.56605E-40,2.22744E-16,1.3928E-13,1.08934E-14,4.2882E-13,3.19224E-29,0.844681369,2.571E-14,3.17532E-17,6.49833E-33,5.87781E-28,1
,1.09707E-23,1.62124E-21,0.006350871,0,0.018051026,0.006350872,6.08103E-29,7.17639E-12,5.03169E-06,9.14007E-27,1.51518E-12,1.38569E-15,3.83373E-18,1.04944E-12,6.17983E-12,3.41156E-35,1.15045E-41,3.08479E-23,0.00635087,0.031754356,2.68459E-12,8.5056E-22,3.12037E-12,8.29286E-17,1.01634E-15,1.84518E-32,2.40425E-27,7.6848E-16,0.273086351,1.72901E-16,7.42387E-14,6.3745E-13,0.019052616,6.42819E-12,0.003910277,2.71449E-22,3.4952E-11,1.83819E-14,2.01961E-12,8.10537E-38,7.22482E-40,9.80382E-13,7.02409E-13,5.02903E-07,5.73194E-12,0.628736352,1.40451E-23,3.30462E-21,6.44485E-16,0.006350872,1.19148E-34,1
,7.03392E-13,2.61853E-27,2.34738E-31,1.5682E-165,4.3648E-14,2.9342E-40,0.207292604,1.90432E-12,1.31107E-16,0.040795525,4.67697E-14,7.4357E-12,4.59093E-37,2.09571E-13,0.006966986,1.5099E-10,0.008316899,0.008309436,6.22976E-31,1.1198E-28,6.18964E-13,0.001531727,1.43461E-13,4.82341E-17,0.000209898,0.008012091,1.8328E-15,1.71682E-19,1.30175E-27,2.20989E-06,2.14722E-15,3.61026E-14,7.27619E-31,0.008986196,9.49359E-19,0.000407871,1.24063E-08,3.12309E-13,1.95886E-11,3.40271E-50,0.016612325,4.32083E-11,5.27731E-14,1.59666E-08,7.55284E-12,1.97339E-35,0.010209896,0.682042309,0.000304,5.58057E-31,1.03934E-40,1
,2.07833E-16,1.92021E-21,2.21459E-44,0,4.90206E-18,2.39047E-23,9.47926E-18,1.51643E-07,1.84117E-16,1.48927E-15,1.26784E-08,5.22678E-11,8.33407E-53,4.99982E-08,6.44996E-07,3.01622E-11,1.32219E-26,1.1392E-16,5.6123E-44,2.04451E-25,9.63025E-08,7.88106E-11,8.13994E-09,1.95092E-12,1.08634E-05,3.24279E-16,3.25958E-17,3.0973E-14,1.36685E-41,0.913190539,1.14243E-08,5.83964E-08,9.99927E-44,0.000155314,2.29274E-17,0.04786778,1.12353E-07,4.24956E-08,6.53482E-09,0.015622404,9.03144E-26,5.91322E-09,3.36917E-08,0.007406199,2.31705E-07,2.06785E-20,0.000123024,2.27248E-10,7.52902E-09,8.44426E-45,0.015622404,1
,1.33938E-16,0.01314431,6.64942E-44,0,0.023692307,1.35106E-12,9.00471E-19,4.71886E-11,0.017949178,2.62403E-22,1.58973E-11,0.000438998,4.44433E-42,2.18765E-11,1.33194E-08,5.27493E-29,4.84857E-29,5.3524E-06,1.1693E-43,0.000207478,1.92551E-11,1.08077E-21,0.000528295,0.022980659,3.01087E-16,2.02788E-22,2.71754E-25,5.75854E-05,1.68642E-40,1.02613E-12,6.24292E-14,5.16191E-12,3.963E-44,0.000168555,0.000761784,3.62544E-18,1.07845E-07,5.70594E-12,0.027234571,5.23755E-31,2.12239E-22,1.05734E-06,7.02755E-12,0.892829748,8.12644E-11,6.10985E-12,5.76681E-11,8.69681E-14,1.8439E-12,9.14398E-44,4.94616E-29,1
,1.05503E-35,1.9711E-35,1.2674E-09,7.71747E-42,0.011181896,3.83643E-37,1.26818E-21,1.56995E-30,2.02637E-15,1.8348E-09,9.57248E-32,1.93793E-25,0.009658639,4.26837E-32,5.33676E-09,1.79726E-13,2.84976E-13,3.82921E-12,2.83209E-09,7.57802E-09,6.09705E-32,1.57065E-10,3.27203E-14,3.95027E-24,0.979157386,1.26989E-23,5.29588E-12,2.41806E-25,1.75701E-06,7.38059E-11,2.94788E-34,2.31271E-32,7.47249E-10,3.09344E-08,1.35981E-13,1.20409E-17,1.66776E-16,7.70868E-32,1.43228E-19,1.51928E-35,1.52603E-25,5.68562E-29,1.27362E-33,5.43806E-12,1.24432E-30,3.02511E-32,2.0198E-09,2.67414E-07,1.80871E-23,9.0833E-10,7.30737E-35,1
,0.008879677,5.74595E-12,4.5934E-54,9.4006E-166,1.16598E-11,1.05823E-23,9.63574E-13,0.088779971,6.93939E-10,1.44463E-13,0.044391506,0.000254923,1.13083E-52,0.035515944,0.090103263,2.61144E-17,9.69168E-19,1.95222E-07,6.57703E-54,1.68008E-15,0.142072354,4.40109E-10,0.000549973,0.008868325,9.2449E-11,4.38084E-10,5.5427E-17,1.02382E-07,1.4777E-47,3.04366E-07,0.008879605,0.035518074,9.42591E-54,0.006130311,2.01296E-10,4.65919E-08,0.292684363,0.035509711,0.007761657,1.43771E-20,1.23566E-16,0.02141201,0.035517929,0.014924866,0.03547594,1.62758E-22,1.38713E-07,1.05264E-08,0.086768799,6.34796E-54,3.46082E-20,1
,1.17767E-10,9.02303E-24,5.46493E-22,1.3886E-183,1.03988E-10,2.00473E-37,0.000672251,2.37858E-12,3.14522E-16,0.027463958,2.00892E-11,1.08728E-13,6.37435E-28,5.67374E-11,1.98788E-06,1.88311E-14,7.90756E-09,7.86072E-08,7.18078E-22,7.97646E-20,4.34344E-11,0.024987767,0.008903526,8.78171E-17,0.31696077,0.000325234,0.008874034,2.17432E-15,2.769E-19,0.000654919,9.55302E-13,2.11243E-11,8.47177E-22,0.116406047,4.21639E-17,2.1572E-05,3.74634E-09,9.99167E-11,1.14017E-11,1.08683E-40,2.29261E-05,2.35865E-09,3.65281E-11,1.25185E-11,2.89635E-10,5.51224E-26,0.013866397,0.47913779,0.001700731,2.83728E-22,1.06983E-37,1
,1.73048E-58,2.59909E-48,4.00279E-26,1,2.73104E-19,1.95184E-51,8.14563E-53,1.15082E-41,5.1305E-28,3.28857E-30,9.77698E-43,3.90093E-35,5.09001E-19,2.93769E-43,1.79655E-16,4.5463E-25,2.61108E-37,4.84993E-31,1.02624E-25,1.52715E-25,2.93796E-42,6.84011E-30,6.13932E-37,7.43039E-38,2.04974E-12,3.34906E-58,1.04657E-41,1.44712E-35,4.35462E-24,7.33109E-20,3.46038E-44,4.49727E-42,7.79992E-26,1.25713E-19,2.41309E-26,3.64515E-19,7.67658E-22,1.52173E-42,1.41931E-32,4.94157E-53,1.4986E-62,2.9077E-39,3.35059E-43,3.47226E-26,2.04829E-41,1.31771E-44,2.84518E-15,1.1601E-22,5.50896E-47,6.93058E-26,5.1327E-51,1
,1.32301E-08,0.000337741,2.24383E-30,2.7027E-258,0.074246663,1.09786E-14,4.86613E-16,2.56841E-05,0.004120718,5.53274E-13,1.06148E-05,0.026006045,2.22503E-27,4.21235E-06,0.00019474,9.86733E-21,8.28902E-24,8.60333E-07,2.41121E-30,0.013223603,3.84323E-06,5.41413E-13,0.052622311,0.007477976,9.38272E-11,1.86018E-14,1.15563E-11,0.013530893,1.00395E-26,2.25415E-09,1.0405E-07,9.23342E-07,5.17937E-30,0.178469629,0.003682764,3.46631E-13,0.000510546,1.38063E-05,0.082348749,1.8943E-19,1.83852E-19,0.008032428,1.1884E-06,0.535066001,6.53849E-05,1.32368E-13,5.0573E-09,2.49293E-11,2.55197E-06,2.19773E-30,2.92908E-19,1
