,6dGul,6dTal,All,AllA,AllNAc,Ara,D-6dAlt,D-Alt,D-Fuc,Fuc,Gal,Gal3Me,Gal3S,Gal4Me,Gal6Me,Gal6N,Gal6S,GalNAc,GalNAc3/4S,GalNAc3S,GalNAc4S,Galf,Glc,GlcA,GlcA3S,GlcA6S,GlcN,GlcNAc,GlcNAc3S,GlcNAc6S,Gul,Gul3Me,GulNAc,Kdn,L-6dGul,L-6dTal,L-Gul,L-TalNAc,L-Xyl,Man,Man2Me,Man4S,Man6Me,Man6P,ManNAc,ManNAc3S,ManNAc6S,Neu,Neu5Ac,Neu5Ac4Ac,Neu5Ac4NAc,Neu5Ac9Ac,Neu5Ac9NAc,Neu5Gc,Tal,TalNAc,Tyv,Xyl,Xylf
0,-3530.523077621139453291604300,-8.66782107799906841280000000,-1039.000256613967942066095691,-7.97467389741881203708329296,-129.0943454766113846775556516,-743.4345722504122034521385325,-8.01618675943430133597553479,-1149.076919391043917012902243,-5.69470671970356395264156989,-2.901028270786725953887961769,-2.831347583491122722419025696,-3.79262375477757554210876004,-790.7770810494638157313023122,-7.28152671685883766910876007,-752.6542115434840869159408920,-791.0663045211469309807329461,-803.5636366583839753332685325,-3.722257901800609106455574735,-762.3233266533598194886400395,-760.1685542500981638480554414,-756.7869414110573617191220395,-786.9569782390189485258089916,-93.61323692837289992560532571,-3.704976447718843264923917837,-7.28152671685886261227678998,-5.83460773392252000292733294,-1215.230042573609840802122096,-7.773592507215787683522533928,-1179.651041547698005987060623,-817.3918050408432705278210685,-6.67648011384885075056923768,-7.97467389741881163834521328,-754.3489884274984344606728464,-2.345255838051467050499481398,-8.73648300025705740813715810,-6.79426194014316098320552348,-1116.641682597681065211658449,-1929.126999119804243411974745,-1751.963736255934922632937165,-235.2710289846732513386670473,-1032.755983322672210435313498,-783.5345994699216211218467866,-1732.703856104030309895052416,-649.4630090674203403264433640,-48.88219306636165295828602998,-1179.186811073521454056493479,-831.4610999986589394246135117,-5.37198421197442365151620674,-0.55168362957062056482405293,-5.77744932008256426110611609,-7.28152671685884352110611611,-6.26992580518038177664985002,-7.28152671685887655048575554,-2.15329095905041086256258967,-6.310588819265980641488101790,-428.2652805690422776926150461,-6.10287172051722733790652043,-1762.717033691608677458232454,-1765.359477410959094478424076
1,-8.97427240393693700679691,-8.97427240391669554459728859,-444.1455454987736515071686059,-368.7346380084544990545408877,-525.7867651536691692710906495,-156.8877784749770665583624432,-8.974272403916558001207875706,-439.1854609868281265396636606,-2.958111423067088674577531298,-1.254133655410097062042035638,-17.06816380503589431707951800,-106.0810599123251737853878604,-181.7898422783261696922088745,-1217.797955662294532846144316,-161.4086663182491360962287102,-178.1283880605907151088959779,-459.6357454622706356880413208,-137.3650562743642423311333682,-160.2571088715473651431162706,-162.9668049427844428818140796,-163.2871998336739297556288061,-435.2892801777776309557329349,-154.9902905091619506048486035,-364.0736364170575179021593991,-367.3743465930412844870943314,-366.5447526565293531253672818,-608.4672961172250249420446704,-0.417098684652598593897007617,-577.7980840015681665394303514,-458.1358905533294223751983820,-196.6622131702830723095428905,-1796.797016480615413368777246,-124.2937503564021212659516556,-321.1960383089670272756061924,-5.976285437870025975973451428,-7.028618384709039285181220005,-422.1279034794583605043663521,-420.5048456363002876991607364,-1578.301212328177076491048394,-151.8613245265160227839069530,-441.2552440040196753860213344,-889.2925051762606022513723522,-392.7315825951262630153993463,-422.3459078454806575728915406,-318.0404997315558308081514360,-576.9596164883697816088632070,-474.2768835129117959210006505,-334.0778451912294279310788224,-183.5520556543748905368227803,-365.7296404750986889191919548,-366.5953691674138056962565248,-365.8261651032496781108152367,-367.8306822795541115415358370,-271.2573764248988036771910301,-179.0603880338274273693528575,-169.9858672334589398955665883,-313.4825794115164005487461129,-1622.315370179429499586779959,-1625.177299707455303171819882
2,-619.6592247145504910970344000,-602.5662708087952521910324845,-164.8747998746959271687400207,-789.2285614833324704668273433,-56.97644891084071932079081201,-372.9410928675553767929557211,-565.7277331365057050462328692,-218.9285859214738268296219676,-504.4142328779454449499852897,-411.2669973266836460167683039,-104.5402508340573095784746970,-667.0104446470976853017036510,-390.4951993906025655585332939,-1179.035669774554067762560864,-352.6336377405927006416505250,-404.6712437682448236128397978,-705.5061707274909483185996866,-297.6288549334696255069890492,-374.3035331281495884433744191,-351.5507010695093377886782273,-348.5225773976333258753144656,-70.78700947416532106977200220,-157.5514810767102382570183996,-596.4351494496788239782914655,-595.6222480347585124072013269,-603.9025454705980115753736280,-352.0640268544821669019934840,3.533992075176E-15,-356.9759812812176708161005089,-177.4688719509916147013753823,-289.2831613319744912192172681,-3545.920072412786762489167918,-355.6963847186831059189474912,-436.0697716797872270669692705,-587.2049641319265804665001661,-252.3555985630789904324188380,-154.1352197583946786140683377,-1828.934558856653536200377998,-145.6918092568879412003583339,-81.71478478484788340836893261,-147.1729656299848851895460145,-69.97831139592877231850134420,-780.4478704809832375602539593,-100.3353972413362614470595594,-44.39187584494360596580880003,-357.7185334269048398855333645,-208.4837363368637361692675775,-577.3911268217784052741179385,-270.3540670779452624336278596,-590.7693601957667991810424010,-591.1861502165131617804651089,-610.1279285871021086124903892,-793.7608031979811283085648022,-466.7141910962687810277418573,-416.7807590592204706851369559,-346.9557793282003750611754325,-946.8359002472366442952298210,-143.8683004543037189184620340,-142.5691960511058372809720339
3,-2467.635391950588463968144011,-549.7712453788582611730175800,-9.13541379005423294464506012,-675.0015673820113906012105648,-7.748139233962247595005912317,-208.1827829344915189485979374,-500.2849625068923667246684338,-7.05597224654234387630438609,-403.9773567311092387603007693,-103.5528939731147960659403230,-7.319000699423447199075357044,-690.9529543248717533839893470,-207.7756850970843716898669186,-1299.481836074655765191342580,-180.1237188715968975549477761,-226.5985929206584803802697348,-571.4150363793440224191283098,-120.7937994838074415868200081,-199.2290668918180483667695266,-176.6360293402331149383702474,-172.0707383146263525758321329,-6.78403866599164193088379250,-4.871585257902594556245354809,-451.8342292429565253449916516,-451.0777642785789726170201051,-455.0124445528754425830538575,-318.8377426992666432727973348,-6.617706178699887428927118536,-216.0387160493830749469589618,-68.46590672269202470328184194,-146.9359304776063919009680861,-3189.461549811867968448844251,-181.0665789636370955924252114,-371.8607055157416446369974700,-626.8311784296180088164314179,-451.4083433752671505199437161,-20.97726067656809030549501734,-9.82856096878210446683031870,-9.82856096878210370203435216,-0.025247567068109266733285700,-15.36866707098484768408241296,-8.44226660766221187004017206,-9.82856096878211579788640012,-7.19064672562089853155763218,-6.973462629885548387186050414,-215.9282083627988315163918175,-105.5457600487777277196892869,-433.9392168867349514494093655,-263.6881880775043715892969787,-441.6565708619756991303180816,-444.7690661367895280756611967,-461.9858045562385044427474183,-569.3233486399182800710015426,-381.7768921001154519539697271,-241.9811916637434290225446374,-200.0136105041347585830277705,-1046.151831594536377340083643,-4.83134869501804975190253750,-5.91653796335400755154960226
4,-1229.159393629697130514755623,-96.79059402492531289059770031,-272.1151111843787418832195528,-102.9029362519726488064736053,-244.4638953715995826946947347,-9.462480300807488154255488977,-8.729475106622001814454856147,-362.5194373316013759062441849,-5.296657070560096339621216547,-2.744888564935820207996363537,-0.165093601150878570129660077,-153.1659862059130917436669647,-5.068031146135072802990525207,-638.4845702303669241908174525,-7.159895207813465541051805210,-7.670720831579457284112335957,-9.462480300807510414352395077,-3.011391807617008278640567967,-7.159895207813439521249980197,-6.518041321641079601284683617,-5.612332699097449919849224857,-310.4656341320935208535635089,-5.777035903860365276908226681,-97.35964151471384513719413637,-103.4980207301677375661835560,-101.9568154538064832371973723,-397.2179561211873471965531221,-23.22468312623769528440731856,-395.3413748414898036014005540,-343.1921683133087857312319368,-6.590348903136739799038203147,-332.1627909052857288310610760,-9.463097292561665779278120797,-95.98394082777558736935482331,-9.441489159730612415997090107,-6.937522962295887604117486847,-325.4964234321025365184951950,-807.9562750792496678805212421,-1173.612378095052737769710290,-31.81907798181585917831022505,-301.6221753648643344440898075,-759.3371703940797933959221141,-462.0510088698668817941642431,-241.5798118743944015739801505,-146.3636551780446614153166837,-395.5298798812419756708334096,-366.4553579301678664086831214,-100.5400987322863417346165989,-5.243909340823214090213701847,-102.5675217796741597531925963,-101.8710020608127716659743613,-99.38841097779621974880161681,-101.7485508290078990997314296,-8.323614238773770726827270737,-4.740075486994212256437823307,-9.462480300807564475058307007,-97.66865379404746563220705251,-1195.420415148473418186212497,-1199.730740262165808257465628
5,-1686.603938229683902868766661,-75.44153702057520078712276000,-28.95766554418957137907668372,-79.97239800259452638311082962,-4.351255013722333265595180782,-217.9998973942415260929834288,-80.45379595584802684535585461,-79.19134136289116989237449123,-92.49866851184031089359770388,-7.677861508052652390209146265,-6.554467270444484066729221934,-100.7792693702216973087006218,-227.0778683157136549795322370,-1095.549630032867179484922503,-198.4550110491016120388686314,-244.5551475944203385119814594,-353.9872989310378931390372381,-7.57873966303794233500357372,-221.8165992249023541696554479,-199.1877095013957069618973247,-199.3008049367214987440073755,-22.30695996112376441180984069,-5.22928129321261067975527811,-75.05409680456018722984358700,-79.85346474661385097495514444,-78.35095061325572263401970231,-8.83984730726123798584738167,-0.073004094738939085145008151,-9.53299448782127102551084509,-4.72081013244879980240562809,-66.71864569763325982525479468,-895.1710058990428044327247358,-9.53237787651114720695228880,-75.86771579829603276348631325,-78.12703029251960397598547521,-76.13657628658365777400021621,-9.53300888191609111570601544,-601.6226544178503206180256751,-362.2771450082075272771877302,-6.186502232585192924531274338,-9.53692832547167016535967178,-190.7089352944374097523006429,-355.3766255819960573724639966,-13.66853190619564779857509981,-3.289558234354300606606932572,-9.53299448782124839494370069,-6.89393715820595464070147850,-77.82507091072466425993415538,-44.51994200120225116805328041,-80.63510333633682649217150555,-78.94750336759760801104634455,-77.96486646577937790961969389,-79.05285878835646006033653301,-72.61224411911587556094695333,-72.77549542985839630691547514,-207.6785826017714715624331611,-78.99399488535276671721159131,-411.8588603079602871847038839,-408.8565493021457004297451980
