,Man(a1-3),Man(b1-4),ManNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(a1-2),GlcA(b1-3),Man(b1-3/4),Glc(a1-3),Man(a1-6),D-Alt(a1-3),ManNAc(b1-2),GlcNAc(b1-4),GlcNAc(b1-6),Gul(b1-4),Gal(b1-4),Man(a1-2),GlcNAc,Fuc(a1-6),GlcNAc(b1-3),Neu5Gc(a2-3),GlcNAc(b1-2),Neu5Ac(a2-3),D-Fuc(a1-6)
0,-2.5560939256423327,-2.263028129086864,-5.081032355036392,-4.58032773409505,-3.8273937172291244,-4.231307908710068,-5.441539351492679,-5.498530679763142,-4.594529652112398,-4.687302618443098,-7.312732347653167,-1.8201883030648012,-4.272619697365552,-5.366237015513413,-1.3484363264833958,-2.9984634486716386,-8.945103125299315,-3.281035282250541,-4.266188119851726,-3.48088470587142,-2.4194316710644657,-2.690890746809336,-4.862309937418065
1,-4.838456072385632,-2.554110069496468,-4.362534525813848,-5.486827815031225,-5.082929689171793,-4.842966995925279,-3.8270069607218935,-3.538790907315087,-1.3355347206604775,-5.1543618968382585,-6.620153886969275,-2.835999751526802,-6.343991712766959,-3.7875567580394978,-1.498076436252702,-3.308600856519444,-3.5238686255781237,-3.454271262578378,-3.752132292659572,-3.6565385169357993,-3.5425404940992338,-2.7764615241852515,-4.038669811170232
2,-1.4902039094133273,-4.755493467599477,-5.172603052715113,-5.546010426757279,-5.019853573914814,-5.710132211455692,-5.110305913858232,-6.804255456924823,-2.438054846778997,-4.073492466728647,-3.3460814479453678,-1.4932968374722921,-2.762263220598443,-5.844090773733514,-2.2018933903115037,-3.685324191629605,-3.0274222330162766,-4.04159321993917,-4.04509034169506,-3.5222857197167468,-3.4570693835658632,-3.852960515876603,-4.864336274926417
3,-3.73933164034743,-2.3245617719551976,-4.812484307529362,-4.747063724871999,-3.702612593924335,-5.021351702240707,-6.971117328083003,-6.655834658400006,-3.6025841270612835,-6.367747272183233,-6.909911564966843,-3.4518297842814976,-3.2363161549342916,-5.3158795177974225,-1.5042818096811645,-2.864078692541484,-2.3456110364277825,-3.8900298059962957,-4.500574840542828,-3.0352730135365142,-1.564342510818385,-2.9046405179567496,-5.616008005561432
4,-2.1939238553255977,-3.222753803756359,-5.020352963431426,-4.310299588765583,-4.039430018367744,-5.4414766177006815,-4.901489092628827,-6.104158147572759,-2.7797076113331878,-4.751336045584557,-4.575210706158449,-1.86297769041774,-2.7976101563250584,-5.838931388235265,-4.052204333457235,-4.007504489941518,-1.182232059529654,-2.8535874459915216,-4.243177083426891,-3.870338663775698,-3.033820156394049,-4.390183007423074,-6.556982962089771
