,Gal,ManNAc,Gul,D-Fuc,Neu5Gc,D-Alt,Fuc,Man,Neu5Ac,GlcA,Glc,GlcNAc
0,-48.44255198032767154146702030,-3.01324043396566628110035241,-69.34839027922917120128765870,-67.17678330301204644252999445,-22.04245753752000625777495408,-3.36470705809050748224581353,-68.75124662660861883252999445,-2.553225628205226038960703828,-23.94161217895512229128306505,-24.29998370100583251742306396,-10.79401583639432332941981284,-0.176206394251584949703623675
1,-0.131113698802275817039498000,-80.02098270769270456638764110,-3.266606221368892803175698926,-59.29994306171932824688755394,-48.78114336982740198947248036,-61.33172824025760779318477766,-60.26103175233366564231228960,-2.468092950770872107434509285,-61.56418925925126916929670684,-65.15914144953269985423934340,-18.84346745505768020858203932,-38.62489177469936520405610152
2,-26.89433096571340767647338183,-73.46643656044127053925406221,-36.18157939965858628658879735,-2.759221550720084028480463417,-43.99405137422719569814345631,-27.51951195125376718066317568,-1.37292718960019973671152931,-0.380829015340096589591890284,-42.76160459434322314165261147,-45.17946546811018185314450824,-19.89075109524838571972082041,-21.97321816870122459773223914
3,-12.68647616541517901131971793,-3.054605985843122850755351701,-37.82397843393141460501399124,-83.53985535270710937546179711,-1.146879986231809927534640370,-103.3842068378462664976552992,-83.56628645108876884379134687,-23.87059992034624289881806766,-0.741414876401463208352374300,-2.533174346239099674347917728,-2.533762157833145863855091710,-10.65394235800270962804855678
4,-54.51664544390629296012360238,-50.18578880221657516501915982,-62.15247345432188590902300521,-88.50127142750008966701354645,-33.87371687132139449053073311,-13.46499684863368410672302356,-87.78571595005892909171694899,-0.047047366754254420695025086,-32.62317825510837426401022789,-35.01172030371381110784155473,-20.65498326792159764018770232,-3.080062756548114321261021006
5,-41.04052784707493960406330324,-50.88285017947532386941511055,-48.59008371732128488530570499,-39.68187691354347934221827057,-36.83294202913778742661548336,-7.562463416853153531484230278,-42.08661170612586859108911390,-21.14033520044759892318215302,-35.01942483310787682264880981,-38.83126421550800647614360057,-23.87504611555099524712868171,-0.000519729427875186172219151
