,AllNAc(b1-4),AllNAc(b1-6),D-6dAlt(b1-2),D-6dAlt(b1-3),D-Alt(a1-2),D-Alt(a1-3),D-Fuc(a1-2),D-Fuc(a1-3),D-Fuc(a1-6),D-Fuc(b1-6),Fuc(a1-2),Fuc(a1-3),Fuc(a1-3/6),Fuc(a1-4),Fuc(a1-6),Fuc(b1-6),Gal(a1-2),Gal(a1-3),Gal(a1-4),Gal(b1-3),Gal(b1-3/4),Gal(b1-4),Gal3Me(b1-3),Gal3Me(b1-6),Gal3S(b1-4),Gal6Me(b1-4),GalNAc(a1-3),GalNAc(b1-2),GalNAc(b1-4),GalNAc3/4S(b1-4),GalNAc3S(b1-4),GalNAc4S(b1-4),Galf(a1-2),Glc(a1-2),Glc(a1-3),GlcA(b1-3),GlcA6S(b1-3),GlcNAc,GlcNAc(a1-2),GlcNAc(a1-6),GlcNAc(a1-P-6),GlcNAc(b1-2),GlcNAc(b1-2/4),GlcNAc(b1-3),GlcNAc(b1-3/4),GlcNAc(b1-4),GlcNAc(b1-6),GlcNAc6S(b1-2),Gul(b1-4),Kdn(a2-3),Kdn(a2-6),L-6dGul(a1-6),L-6dTal(a1-2),L-6dTal(a1-3),Man(a1-2),Man(a1-3),Man(a1-3/6),Man(a1-6),Man(b1-3/4),Man(b1-4),ManNAc(b1-2),ManNAc(b1-3),ManNAc3S(b1-2),ManNAc6S(b1-2),Neu5Ac(a2-3),Neu5Ac(a2-3/6),Neu5Ac(a2-6),Neu5Ac4Ac(a2-3),Neu5Ac4Ac(a2-6),Neu5Ac9Ac(a2-3),Neu5Ac9Ac(a2-6),Neu5Gc(a2-3),Neu5Gc(a2-6),Tal(b1-3),Tal(b1-4),Xyl(b1-2),Xylf(b1-2)
0,-6.911423377600710747334961453,-5.301985343130562344103131753,-261.4028953194435554368170343,-152.9216029602407244368170343,-6.911423255634845741809005993,-6.908001803263955024896561453,-1240.402104532606147198317035,-1029.860419161968512242777099,-1013.448861304869795102292950,-1528.108853451415686516571338,-264.1424985492523312436049731,-562.8791044345042438008754151,-1532.198202154275758371584592,-1732.434687587406499932929664,-535.2182279036385523970673319,-1530.165048211934312935072160,-124.7476815586354249315775224,-231.4281480696075804602207720,-261.5080469147843499836756119,-143.4989968871517841773729360,-727.4976347397027360239142169,-36.14014365230752387749856883,-289.4720843222820000551529791,-232.3286759103087604035403217,-506.7957661415920324125628596,-437.0005211442710964162449615,-856.1041460669620457430449614,-6.911423255564649416244961453,-209.6132721927080135260892459,-484.4271524080553500556349614,-508.3332735824262700779449615,-508.2128703133175685011449615,-17.73582351310398180633565013,-90.59500256431240712909422263,-6.926242554144765898717508923,-260.1210722396471953821831317,-260.8992004630041311421831317,-374055170.8192993012257570197,-5.812811028543416316244961413,-6.911423255564649416244961553,-192.4000412306126731998515331,-0.543236069214179067314815353,-5.812811088920786434027141283,-6.218276073841223171974431495,-1444.875818198189289190210083,-1.799795221890797750585996908,-2.051610851192714393906023698,-5.525128894444777768076251593,-509.0682334677489555236049730,-224.7775841838322544720831318,-260.3340186488236571520472879,-1530.432792046489653837401750,-260.9930629394323252720472879,-157.5194309777934094941249689,-2.906466198155813366214439303,-4.972544819800728601223443463,-8.122142965320225062334961453,-6.424416737634817824214815333,-255.9862291844251421155349614,-258.1502993539350234476939614,-3.356079618903130701565886043,-251.5004704782820588211449615,-6.911423255564673377944961433,-5.812810966896575134124968903,-216.7437662568746455938331319,-258.8655337111138105611449615,-258.1470946020258541696185664,-261.7048122986523094162449615,-259.0154839024919549662449615,-261.9988987584513211794031318,-258.4580254917406152720472879,-230.1974672047144462581449615,-257.8603697469136775351449615,-260.8614360505358654319170342,-489.5798600001742751382701591,-1456.208864139734700348750592,-1035.133898862407878922771082
1,-277.4850690455362781422000000,-322.1671280143459969771995406,-207.0450339621891261028296301,-6.88075155726587823636189367,-319.9649750080128444207622236,-142.6225459135033796893518061,-802.4460040595745501161529081,-5.4944571961460095992604796,-6.1876043767059481492604796,-1900.935642829798398909146908,-179.8566085404044695268348371,-2.8032142030654532015738523,-1905.148012101207975556423220,-5.78213926859779390627299989,-5.7821392685977662779267290,-1903.016910965423850539551668,-5.78299019919284111413994135,-65.90789386926522778963562922,-5.77456123924664574714695313,-3.31787683249075501619098366,-6.18760437670596430269947316,-0.25559059578382717534496236,-166.0903389906785094926754130,-5.49298076532732261610970302,-4.57816646427187514188399154,-5.78213926859776506097251797,-822.0711055295881577982313076,-185.3582121387052469978914088,-3.51345572819963104828817789,-5.78213926859778423155620547,-6.18760437670593666196852126,-5.08899208803783900425424590,-124.1677655823078718633884655,-6.17156814053809205030312104,-6.15388407821531366510346314,-177.4699468467669438724753470,-180.4022713627042485575942824,-1422376242.572015459100407577,-134.4147946513641870834429291,-321.1520336570008906821694540,-6.88075155726589280064428740,-138.7318727786069949363352031,-144.1032483598780213927323241,-163.7489123553299380967462764,-2281.675842272249033518725027,-6.888611945278759440621456809,-225.5549029720700260315895293,-203.5671872342038560653047407,-6.88075155726585256375005608,-143.7069527749778174793433340,-166.6152095366626594103268227,-1904.727340861806770403054482,-181.3707553169272718453268225,-6.88075155726589353019325080,-3.57745203178555199691899547,-6.222608168041664793480391970,-106.9974622481559162040227412,-89.6775403497618650382595433,-297.4446995692556340562871649,-185.3859555830347072408392537,-6.88059670062424721468814198,-220.7725571808260822096413429,-183.1231401955270559699108875,-254.0499072146396974022670894,-87.19171361973245015835119322,-179.1607033131217990902455364,-6.18024015013554856855131827,-178.8851196300546815508136207,-177.4236124991295879408136207,-179.0523320490863817908545927,-177.3043022086815288104934830,-149.3353473264368686313207780,-165.6644490073912177982741564,-179.4781891033557125402693955,-4.93484140821057055281806731,-1752.317503690208600318439820,-1364.563850107202490770578794
2,-159.0369767309753101230000000,-988.8711402290742928953306521,-757.2594847297058532962729064,-1973.314906931610427604107393,-163.4668657361352392787793289,-45.82839530164075886593656315,-733.1039060335773838369456641,-5.83363591381513538697572618,-3.43574064101676589230138564,-6.5267830943750768977202698,-744.3819435397918756937241642,-4.31939803373482836100759622,-6.5267830943750768977202698,-1582.047411148763357143136247,-1.34499954408299557148944490,-6.5267830943750768977202698,-98.05527721321851347781555632,-597.0106060132076349985272881,-590.4559586940271749894009699,-221.0629512908619120965062583,-1196.688592369543649037534231,-75.08868089349241236588427230,-2626.787696383160763525954484,-782.5528132270580597258705499,-655.4473506260902798891231764,-688.8049439723977700948178602,-1906.940165173864851834599856,-150.6865720322654816632299757,-687.7985921340444796737224563,-662.2328792766902007700768685,-685.3106472943659525345720642,-685.6809744810045692948994645,-170.7052393108663985328688584,-174.5333746852752820403829183,-122.1909381320861062556163991,-750.1097630097473244085835587,-752.3747223731867233721596127,-684655293.3794341914757847599,-149.8564592867252397513003562,-989.0172593964941376308195509,-82.38337136736551805088507322,-79.80515258509739172481387349,-172.7988495051047613198320385,-144.4506171819616440686558788,-243.3566111079484015977202697,-45.73286802931564919088684062,-233.5698465187401763152160846,-259.3231584406076439131324150,-724.7791037598335535169077980,-750.6641805646577087288298750,-751.6791040621493879493362927,-6.5267830943750768977202698,-752.7066197606499093093362927,-1570.422064794599049053792061,-5.50008784981469102350580329,-50.07393379698758071326182012,-3.90890062737243667630413344,-0.44546301368696056091851602,-125.1051702995555558086831776,-188.6118159293176336712621346,-184.9336175842098431708822462,-848.2191608578193627119524944,-258.8358829321670457443720872,-271.8267336490271489102122081,-752.5167729067006161550995771,-752.9393593228399117751087877,-748.0466254687093300279572695,-753.2759118334330016924816460,-750.7610933344699328324816460,-752.4892732365847653800883125,-750.3184204325237581696437419,-748.7784699131331112804015823,-749.6315401391408659943886337,-754.9165269050914320647177081,-676.4947769043325055432551374,-4.44734155269524292923828729,-4.73502362514704755437739496
3,-713.6173061645011534904000000,-1358.473995691265677776775354,-6.35894110745607789040405099,-325.0081081092337733380427098,-627.9892285991725982212942381,-496.7204892322647916555992643,-6.35894110745609422514778051,-313.9594262433263593041833319,-299.6993151798600716167206829,-1322.341504761684070522348214,-3.18088727710813502695355535,-160.2216036234782413524666771,-1326.662287947579843739517823,-269.5040120437990679990095995,-242.7166576155454678067048701,-1324.009309173609088357266115,-6.35639265156126210719690863,-3.063104846223256494104691279,-4.164255355305271578626108446,-4.451538237146050389675838676,-264.0121758107618253194498342,-4.929956018798131471349654296,-5.26032881878792834431692925,-4.97412536022633519693626304,-198.1844186605440064199147917,-141.0361878181878066310577824,-4.97264799722439478960974469,-487.7742416271885342283480939,-4.161716527154770081298379598,-212.9643598587976552006386334,-218.1770378132887879614844343,-217.1745441680385033979946699,-400.4625074527517427123431326,-5.682091520821300274028503802,-4.57620228746301406111216555,-4.16171653011985621047730711,-6.35894110745609127754709111,-186840705.3912897140078497015,-517.5364054706479444540400610,-1357.853300987642010610186067,-94.75419531699656385222131512,-508.9851580778910541647861804,-613.5883818084233182484736962,-2.31588983966234935008208400,-2473.925567333035478261465535,-4.974152239973472130756751502,-6.3589411087828085991572738,-610.9259491262876262421366730,-222.2708591538393575476216284,-3.02673659728088808219373761,-4.16171653011984614053994877,-1323.277348593831812515110845,-6.35894110745609378053994875,-278.9611279661564969358357599,-4.778405185689365651180570943,-43.67235889890339415805250757,-472.5058645808363372466999316,-305.9029402417570660865279564,-1201.752537915002770478438407,-786.2796215057469488482566952,-405.8406308227625357951099872,-5.26032881878795998564735797,-640.5089447906393795417315704,-567.5040756871571987040898240,-1.17155530161533705012467945,-4.41303095840079173602840469,-1.80521983657797141868942049,-6.35894110745605034287974485,-4.97264674633620528287974489,-6.35894110745609096159349141,-6.35894110745607062595906209,-2.50879350574602723651633805,-3.26789865409774123048312819,-6.35894110745608656504013483,-74.12472677352393328238689942,-1227.914439782772235787538827,-1225.910701151350821736400108
4,-6.11552891009317888188104280,-1548.015706110723418935894968,-185.5636015826721274138140912,-366.0178100479644495538176435,-30.18869621320609093930186035,-6.81210928949137585400401665,-161.4498974674807381634401570,-53.07294465821501859473842432,-46.14722418229382124992451459,-45.69865009134213759839797392,-170.4094562849854172212054830,-5.21779024734623732983189077,-48.26473285306947106438668613,-756.4801394525907554367509377,-41.67719449162911029508183926,-46.87241027680901203788162662,-139.5859771337489261679247931,-6.80865976196028005845888091,-172.8948234875688619758181210,-135.2145466256285382357422137,-812.5529394852004870552843223,-122.8864549898968399431217992,-158.5139188687215200373872058,-216.8944265792985076879465592,-208.8809272000356898075238232,-210.0161450979393291258456462,-19.01403903796968364345910779,-235.7144945347760658087074352,-227.1619786203135994308658527,-205.4324313927894738053205025,-208.9798592383686066078539991,-207.9923393407655465817530633,-169.7764049753982367615850423,-169.7470579295909201297413800,-148.4444236119029847011626457,-176.7745845429089128051567966,-181.8804653802084673319865110,-571510110.4179610135424110637,-172.6121376252586015315895235,-1547.539170040415904844317703,-122.7430593440129260654099229,-137.9876374900885031213596549,-170.9328466203471207419576682,-134.8257065012553530331710218,-6.11552891009315606680811173,-0.71494029476074055660575335,-319.4901230909413066863963490,-279.6587264194582934914788293,-214.4879004507490047946569409,-112.8186206519045901617731255,-178.1447283593857112954152202,-45.17874676241789656146335185,-178.9831375164446027054152200,-320.2816160981433045157712696,-5.65218960121575884858316865,-0.73997774833978323093708510,-4.10093602108276689457450684,-6.47163075120391474818941306,-192.6951449763170525378851212,-256.8335798159528160085482622,-149.8206089481627044668034508,-303.8499129623944507594082537,-290.2466788743520946347833620,-143.2678434211242800636178443,-102.5874004564317287431852298,-176.5304648643349337819083874,-174.8777874312527718360014628,-179.1280184213775286233989582,-178.7835802342556609733989582,-180.2808357221857549139577199,-176.8267085563930277885548125,-120.5607109448170624091199767,-177.9009267487882887027181074,-178.7355446478766573740084245,-241.5963899837815937046267601,-58.52803813250918007960639952,-58.04948304724406725141881179
5,-21.93380198359037980377572568,-1085.563683188363388396221450,-1245.528139426435845635791016,-2764.384087005072624264105092,-990.8287093510464955512098599,-147.1201564886721514437169003,-1317.735007022454329141645107,-960.3663903601686055555554304,-964.1761847211744965736852675,-1249.764197651923748214629350,-1106.572772719049141788632216,-251.7082798517655034911134351,-1253.329758904846528000769939,-982.8593556335489143961788759,-726.2671608668784359334050237,-1251.215150283619057303528506,-151.7327963336681034345342015,-1099.229806801399842430658575,-660.8149646259277804480772911,-148.8144211817045089441001322,-1904.310258661115541768193586,-146.9209095144029877480555358,-4559.086432500059098952695730,-1103.635725337598430791362336,-711.6312098202969360648389470,-703.7184000015478901032975289,-3266.453941102586834601876860,-1146.795968734851149774754058,-706.0057478467797278609454700,-660.5739742374213514639952193,-706.8610937406921197455500743,-706.3242724572861272904184427,-6.014872339176072410631412235,-76.10724131636228267247713678,-178.4168030407759262576759131,-1080.508784280231590231913170,-1221.195717445439791736770418,-6.014852431204048293093830475,-21.51808370586657072855608058,-1089.437721956643026450639065,-174.2665540644858814803047008,-57.37829730657892530396282540,-20.83528630524734968871537516,-1036.564854458118527973418518,-2149.123665714261088458231656,-45.43210159544454060341819318,-109.9112092023165822908103621,-721.7506299311472173595320859,-723.2847177073356299408099998,-1133.844175804496888296780982,-1220.068355742321161086849263,-1250.603675053617099146682689,-1221.296864026841454755386263,-2360.235182031618454583850674,-8.315852408477132753322334405,-26.56298635875240625650147638,-40.20668088500485390239326990,-4.018076622054151011914785525,-5.321705250644107317408431695,-0.028400425919600796879633305,-63.30065680383872627579573048,-2256.778835765627700789360598,-962.1709570896404604501290197,-723.4541644143661519528569968,-1055.784531718892541669682485,-1219.766182914298370935710853,-359.2753161351973191235341199,-1220.828336251152891735946392,-1221.458523661101856935946392,-1221.074836720965680138263042,-1219.071784037520164432726851,-1114.104379171540867519043768,-1208.017262243585838360454843,-1221.358073568543255690243241,-702.9715088196799915234216992,-1210.927252372423392391007691,-1145.025849749387085754013564
