,Fuc(a1-3/6),GlcNAc(b1-2),Neu5Ac4Ac(a2-3),Neu5Ac(a2-3),ManNAc(b1-3),Gal4Me(b1-3),All(a1-3),ManNAc3S(b1-2),Kdn(a2-3),Neu5Gc(a2-6),Gal(b1-3/4),Neu5Ac(a2-6),Fuc(a1-3),GlcNAc(b1-4/6),GlcNAc(b1-P-6),Galf(b1-2),ManNAc6S(b1-2),Man(a1-3/6),GalNAc4S(b1-4),Tyv(b1-3),Glc(a1-3),D-6dAlt(b1-3),Gal(b1-6),Neu5Ac9Ac(a2-3),D-6dAlt(b1-2),L-6dGul(a1-6),GalNAc(b1-4),GlcNAc(b1-2/4),D-Fuc(b1-6),D-Alt(a1-3),Fuc(a1-4),Gal(a1-4),L-6dTal(a1-2),Gal3Me(b1-6),Gal(a1-2),Xylf(b1-2),Man(b1-6),Neu5Ac4Ac(a2-6),GlcNAc(a1-2),GlcNAc(b1-3),AllNAc(b1-6),Gal3Me(b1-3),Man(a1-2),Neu5Ac(a2-3/6),GlcA(b1-3),Gal6Me(b1-4),Xyl(b1-2),D-Alt(a1-2),GlcNAc(a1-6),AllNAc(b1-4),Galf(a1-2),Fuc(a1-2),GlcNAc(b1-4),Fuc(b1-6),Glc(a1-2),Gal(a1-3),Gal(b1-3),Man(b1-2),L-6dTal(a1-6),L-6dGul(a1-3),Glc(b1-3),GlcA6S(b1-3),Man(a1-4),Man(a1-3),Tal(b1-4),Man(b1-3),Fuc(a1-6),GlcNAc(b1-3/4),6dGul(a1-6),Neu5Ac9Ac(a2-6),Neu5Gc(a2-3),Glc(b1-4),GlcNAc,GalNAc3S(b1-4),Tal(a1-4),Gul(b1-4),GlcNAc(a1-P-6),Kdn(a2-6),Neu5Ac(a2-8),GalNAc(b1-2),D-Alt(a1-6),Gal3S(b1-4),L-6dTal(a1-3),GalNAc(a1-3),Man6P(a1-2),D-Fuc(a1-6),Man(a1-6),GlcNAc6S(b1-2),Glc(b1-2),GlcA(a1-3),Man(b1-3/4),ManNAc(b1-2),Tal(b1-3),ManNAc(b1-4),Neu(a2-3),Neu(a2-6),Gal(b1-4),GalNAc3/4S(b1-4),GlcNAc(b1-6),D-Fuc(a1-2),D-Fuc(a1-3),Man(b1-4)
0,-28.59626186648764583115359086,-0.790572886993715046084334557,-108.5058983012058084449710293,-49.77592796612613269855624283,-48.74122672776715983918582411,-87.29367908597183534986080169,-25.15282233474528189561344892,-8.092389294386892492592998727,-71.96954537800071796543905566,-90.19334473797828311651129993,-95.50401699882627259279057446,-91.50690450170570819694592608,-6.214858376099770012121141525,-6.706758669390624392637667587,-15.77684095548514987855749522,-69.90347477691269012685964801,-6.482951381952794597861286547,-22.13475114516371184652606454,-84.92708675191320673004400708,-95.50459100599708442749607693,-23.97714704361502929971171147,-49.95834197143533490295758642,-7.564818464100447127116590747,-109.2191565904117731593004500,-104.7751236252578727532541025,-27.70248703453300153115359086,-69.12546624351462864315614147,-6.482951403202221685338383737,-29.12757180010997528115359086,-13.02308321191864248132356979,-187.6750793538291895517026123,-84.87435884113760996219342966,-110.1623365639477945807143020,-6.283694404318087532963673613,-34.91162094529208173416853570,-191.4872404684995685063453295,-22.52926301050852286822328311,-106.8991851036958488649710293,-5.607485039080350793540446157,-5.576149399848061269176154067,-15.43045217646531411316270016,-98.38106542722819503386080169,-3.129545930973944912648537977,-90.71883320145200074114573193,-96.30374458802245898611024761,-88.32809696855287575228580441,-202.3110281556662622609582887,-61.62371354164921784671306942,-18.01532662123113420365883044,-6.994270682897651321965440374,-6.993777005718790283393934747,-44.22820214543647446364176910,-0.826199285503198591716638427,-29.48126519831716613115359086,-6.237078236786940276366156477,-7.310377482956495077563214667,-21.95143293259400428829835168,-7.399305051020297600413229927,-29.66689544882391383115359086,-50.16630220286862324749607701,-87.45493960035702996753929809,-109.6529969998768566051321461,-23.84904614852799946842524632,-7.712192259024579446355551291,-29.50563879114452522619953844,-56.45360998613634864515807401,-22.92622464686181051146421667,-23.98629249583575348115359086,-25.79140501006390553115359086,-109.0863583843246607864744471,-71.05707731480089291952023613,-8.091455117156039345312128267,-58847.30156848404817510277712,-89.17128342210820609795942794,-85.44064829374784838172420526,-93.24634977700846366816552046,-21.62241770730192194314453779,-97.57703888286032135671430196,-26.03237335864166138890852680,-15.28412574454439538852360707,-13.46861757292659188318165896,-88.90918488596470091314931763,-48.89990478205508110663148655,-134.9605882081001837453005917,-18.92063631855802909410899191,-25.29096534211274300311875790,-5.508131655477084049476482629,-5.148602790896600045798618857,-35.38357472203265900620193002,-110.8426224318032029130020807,-217.0650761182856372944873009,-3.726932086192069180163527577,-110.9917295107938852157555605,-198.1477529565560748808825009,-109.2746253360292476109020203,-107.3268744528285745043026672,-31.89032163869946825577626375,-28.35515967956247511594732205,-4.781666299165579707272476867,-204.7468263601927176024786309,-7.821682560194629581674406706,-166.2305838278570573018157574
1,-347.7333097733304734024169213,-53.79774609746539709665368612,-105.1111125904690615523322662,-51.59431895885323233256040500,-80.54348717941291741985873924,-144.9732082016914172883493944,-8.137001727226700097590662145,-112.1305046028125536063103276,-60.31684420056785640103823222,-7.443673630363616253219076805,-7.038389393560101308554037835,-6.057370064632838901150134964,-3.292636001048618217490027295,-94.65011058555401679187725494,-8.085931152156334876100064315,-275.1038372101019074110826746,-131.1598137052265909892069861,-52.51968220859554097001068978,-5.739106409429852398132276695,-103.0456680749047559819023485,-9.554527186324282468152389065,-8.137001682228229315860794095,-38.92559288931977493562285494,-106.6709010134883546509352001,-106.1791292738045953080259237,-344.7999292430837085150127646,-3.492610845014405320734087257,-82.50435649123836530215840086,-345.1117677542450684940209384,-51.47102019631697516583032912,-6.191091533172907799880054485,-5.738927415589767351538873735,-107.2885857242130760965550354,-8.278074137159604776194503895,-6.536331721932553245873080785,-204.2646300905825325815283648,-41.95121976864385376293573386,-103.5247392437981627623322663,-53.76114829150885837639622686,-63.59929185590428420001367116,-119.3801693421009558458541957,-127.3670652061616608642270254,-3.882685796319306504775798304,-70.20415564796621848128047882,-92.75883638173547222254937082,-6.750707321108337380145213975,-207.0601414091013705035427162,-226.3543475540823746617933849,-126.2973230441931455225018897,-119.3625938084135937961656285,-73.15493934632551018307917968,-57.52064364826599413268076524,-14.14929378222964219338235871,-345.9378242134412033271520277,-8.205554421391204683314808935,-7.443278294180349424100399939,-3.671105827086670618191150035,-17.11725922988305386457218144,-344.6376703930876760880052066,-8.137001682228200948951878485,-43.86028478956740239411438276,-106.3485975600661324488324710,-40.32155426379946434238921650,-8.721713577033121086760643232,-5.500272751821262432433256415,-175.9544242260434886540855767,-5.652723260648209078061578945,-361.8984693297511750415633592,-342.0648510539308615852833216,-105.3290197172478153537728594,-57.66628684840973181911364596,-6.527750710008425566217741785,-43680.61207971161836707098365,-6.057560140548395152073570705,-8.136821095923883662104938165,-7.443854501668281451135124945,-8.083299182438924367076529745,-94.47324827335387464745503546,-42.31118291446353051409122772,-96.68326819413288082958307006,-46.15016668363946530638912598,-5.572052324766677984430986455,-8.137001682228223111136648535,-234.7003605283824073537865274,-39.21247726287085982102771996,-7.038389393560129882253360445,-17.13481140630080181521868005,-47.69242124376330656134046188,-25.60545654147562576450923082,-107.8847060222183834942073674,-6.527563769794116774035081975,-9.293351077732688156540423024,-106.6037007752721856016658209,-319.9304088394955081580269801,-105.3196142389596264692145173,-105.2692645649545723578271288,-0.589353955969142121653856025,-6.527971050744534855542456425,-83.54183220609788913498024374,-394.9597430782844137837970598,-5.939777104892001993382548285,-1.234258945512900910669146685
2,-1056.882301155541308464792222,-123.2943723665753355691721982,-227.1772206978510970283442175,-143.8888114615263327511629604,-215.7854183290802148311114321,-505.5687989932326032861927635,-259.9739001818594276927102545,-366.2640396165377496396441288,-164.4945626172930017204267920,-198.7070328374893867491003839,-316.4022642729574654510265797,-179.0282844488440028884019654,-231.8595742631910919090846719,-243.4914827704040542154632119,-137.6547312190372951793366753,-651.4675380361039280462657396,-374.8480088927557519435932511,-124.2273935990277800907681636,-317.4344615260172194867295088,-232.6431343922566641544284537,-116.2176140157571558780533985,-597.5314032770901024401223122,-127.5676034942717798671745298,-227.9907960187646299694522531,-326.9469344177440413763902033,-1055.093773224348974283317043,-205.0445479724832825794992669,-321.0301329220706709153169323,-1055.920655669160078088221128,-118.2432399945573842587052517,-517.7956058705433200396837683,-207.1787533980473320323769682,-230.8014927968734566096529901,-127.3604743373806263245088106,-159.1494888194972374424325709,-347.1804720183854980753358229,-99.67661701525798216936924748,-225.3999971832792167183442175,-142.2364699928622224289134112,-163.2665771111395428843414174,-308.2096455418566490845933822,-512.8087028784085718159330340,-125.2670693604516913468003567,-171.5607964174029991872821294,-204.9865199149702436407897557,-308.7884098947327796320586363,-348.8030965173238358572304059,-510.5203074315282900635509530,-311.6264995869073393272406146,-416.2295316226712452929199279,-321.0937060900510444734872370,-132.4238211168586619654393951,-168.3579924065035430764163557,-1055.626372162363485966268505,-118.6547137224452604143756451,-134.1583939534142289219131732,-131.4081893904998069572696425,-231.2268733647368410904777526,-1059.943493154738651324986083,-598.4279492378130269112744133,-114.0579938498558320935138545,-212.2862865973320941763407343,-126.9570939763680603026966029,-145.9449231028228974118110456,-141.3286313640316168844507370,-508.7871166273255826752768893,-255.8381515305098762563295189,-1130.555886291514249645907610,-1054.507151251156934938675622,-227.5522290217650514610549069,-164.1296889641406601331297187,-320.4473022156567284274673527,1.46946288992E-15,-322.9433507270435010690382635,-230.0179171971456986017011179,-474.0138483983411360991972902,-142.3389791322142502123677432,-205.5926245772478921433129901,-126.0534236086049010627716588,-183.2217213783342490287298604,-125.4112857198516848832896404,-331.7320156334616866664733959,-580.1548453855052923079355108,-503.5839304583324421665466685,-128.9571220293464136052723255,-595.3445496607935095920163002,-120.3134460435247659216747815,-136.6430139344584487462955972,-129.7524472475347196170399598,-229.6003602682812115705542514,-470.2934777568796789863321589,-343.7527510433945696764354788,-231.0297846598256086776491405,-504.5158036299537986189238908,-229.0922192763450957142499383,-226.1615505556030811253649931,-136.9603589834917525989694462,-139.2767063748751579540424011,-177.3312050499042232895477353,-222.9217378839425444385110011,-480.6238167798724687221811421,-369.3587631175952734596831441
3,-6.746707829454236182498035552,-11.48395751762517176698522125,-52.16861926214614510592846970,-28.63381343257680364683447677,-13.79406214319729404590291495,-251.2824811745438747437958875,-81.38048599936743236953935268,-146.1946523905035271486640953,-37.03462670869088562331895436,-46.33219467766801001125797235,-84.04372168128106853521046653,-42.85202136202417154435742875,-3.539040861862440367379749386,-12.67837120845644286190791180,-6.801013063649688500046911892,-377.7710598883711240868284135,-153.1074232910406325401722264,-17.81328550411644445786666393,-75.36167416549010645768560602,-50.82209435734708052517030292,-6.243867621061591118402868302,-139.9582467491198410302112233,-7.933529629747505893753393392,-52.54485569685923552950525446,-52.82777548379966350559815916,-4.549483251210918467263443092,-59.14713750077006429857435754,-22.80420579512949332048814446,-5.360413467272037320250994222,-6.882077250492351562057468202,-173.0923550723849944819766460,-41.10981299272160116972920145,-54.10224359572889897600990412,-13.45731875250035061091812651,-41.18917588208204707340280840,-163.2314278381406886477839772,-6.918752392087927005644171412,-50.06747961804138321592846970,-17.20414623647922990144841022,-14.50305802540080169285086646,-3.611241886985022848949754412,-250.5270260841771144883250442,-7.511365760854397006214041252,-43.24651772313164108593505438,-46.86991991888847074371898706,-79.00843357151901409985626330,-181.4734368969779625518506172,-285.2385359619112437392570104,-6.746756866318880680444558762,-138.2022096103396592502649905,-138.9279373224608588285929989,-19.60442300032301237681593829,-9.130458506241877765448330398,-5.648095539712123757906112592,-4.948435808835707584176280392,-16.95693249594457708776943242,-11.07337825466397167359062055,-85.39926698241103944274892599,-6.746707828635796982521020352,-139.9373686683162424806930411,-25.16731228755423064644185524,-53.22108221305382313882118863,-6.746707971873697024058333152,-26.99190084374771871172642772,-10.17138877030739038462769869,-266.5133634101285575321554012,-0.752727608037114622644883330,-5.648095581251197572575422202,-6.053560657938253078137581452,-53.32193430436233040370560790,-36.84781515769282900954781153,-80.15630411498950401386158721,-105447.7195698400928423978122,-77.70461678622479282089908392,-45.75618765902494443390008834,-78.69701499756509589191629870,-6.803460177602700364433935712,-46.45906200663752140450990415,-6.746707844479472563090183962,-6.747460892509218189014407942,-6.751343818060764350514373072,-77.27352348651732952336311915,-140.8028129013277746453496094,-293.4914008004342653104130500,-6.053570563397045626971930032,-2.527200123531975086030104802,-20.72928733351243415615230712,-11.13733176654547501825935241,-6.746712923539116641211724952,-53.18822350152395781590225893,-74.63392564748478053694306941,-118.0527347729414072371990805,-53.18344134167681029406296882,-444.7124926488698809447236331,-50.97649873480031512733985422,-51.38492327710551348800557633,-11.61322477635629144247364524,-12.94348164509571728176253039,-1.095640472098566243808849612,-322.8407671854189235653163159,-4.846227083202770223843710156,-114.9769884597091654808347285
4,-221.6362692760216798752766521,-17.36976868851211682947033892,-52.33566883073567487400803965,-4.632296612376655548067572638,-89.01154842399236104049904002,-6.511427912768160247809764908,-73.20885197816589098599888715,-120.5342220526923867443636577,-6.099202777786476558541152268,-47.74211089561395388203804119,-143.4576859008875304509793085,-47.82824325023880345742638825,-56.03413369500872474606371808,-92.82668841992573067558923172,-48.81378264260598607418676834,-6.105962804660005422116505508,-70.62019736443008159068786752,-3.569201445927525676317883488,-131.2024039384582503935774581,-52.06787218332223173824959952,-43.93073865900370279592993804,-161.6858453810649773326741094,-39.22367411451284277007927269,-54.23029045907255460191017671,-53.77664879168582083847669692,-221.0473080256322788807850967,-50.37735889552018249173006323,-64.84385394726437738745893846,-221.4646558607502393695486860,-7.091795402318369981068819338,-271.3891955717584342342078613,-49.99169424418148410610909914,-53.79762569387721283838742055,-32.11994236798608826073032377,-46.91005766512524104175950409,-51.46915636590541058620488019,-12.44456299400200877984702920,-50.13236803376842969400803965,-50.88373793859533207425490619,-62.95799901903363111655619054,-139.8693561002588373493925173,-5.595137180894019198474318278,-4.191670195128352232267403618,-49.52539284283894803589177521,-49.81889430072759390648791960,-132.2402191637613042794745851,-50.94379540223631859869855089,-7.204575093328116271786152028,-143.4800892145013633027037080,-5.817910634197701327139480738,-57.23841999949244671429975539,-42.32913840536177122476245920,-2.632942472926201763452246061,-220.4128054742848176437485297,-35.52763113502781977938354153,-5.804060411699496877042053458,-39.40588738303091486972701974,-57.59479188678726615530281482,-222.0988403869942218274627166,-138.4170134937607005032167378,-77.88861921772408407357835658,-52.54262005486364641606206105,-38.03056999807989559412229410,-0.202437194639838031520750448,-52.71614372927859369766049084,-7.204575093328126489787287068,-145.3704565237931505274709146,-228.9239626659999830082185000,-219.8941921463821984852197910,-51.77710674795311972084418754,-6.506916707471617609324520708,-136.3493647647809148311499091,-61421.80946694125277305105633,-136.5051659095863430792498715,-53.94208905001520853968568982,-141.3471202619652713775272854,-52.93726276265807841659458391,-49.43718995110982885188742057,-40.58662299920835433164347165,-94.59350788083014306064954175,-25.89460801014994439969949943,-138.8882325298175543813809749,-145.4395162247983285804476839,-5.125133551648288837318760798,-41.59095537955939730908788392,-220.1955210868537642953721067,-3.558606783576737517963090286,-44.53558977587840055182424103,-47.62264571345063734703125415,-53.65358419262442696160045348,-146.3478009276932220244632557,-71.97853999806186653632637762,-54.10217668964709987692035515,-5.595137180894022027850702168,-52.34093670805690706181151653,-50.79268148631829702867433209,-45.06386437811882655878839063,-56.41581663882197704237613016,-86.43380399426807966183743122,-52.17399941960487389294091588,-200.9067350643002999838896819,-7.204574652258740445633064608
5,-329.3507885752343170670139611,-30.02287621123183209098585326,-7.830836184631341700301251081,-1.847140811082308456474978121,-6.221572228704144280763522631,-104.6985612326826079178382697,-26.75787364542680354617820720,-70.01476896968525856711946726,-3.672271101551643030141958731,-3.860551097052066770982014381,-119.3691824268903368051863661,-2.423671232709500907465083168,-7.289308958516784635360997876,-133.2210669568044227738327371,-39.00698170025661762890003671,-288.0628313192358869748299292,-77.60487074960400345740367864,-4.302009113122645007819621071,-111.9872215469585584891207639,-6.039076715403275014986952591,-4.459951067333976050877875571,-118.6439578607657818144466334,-31.52328017714060984398558633,-7.137689004071393261080313041,-7.830836184631367444785680411,-328.2176791526211687869435557,-5.265886331749486417814258478,-63.09000841723196034690908243,-328.5428135824179901967136004,-25.96886228524596886385533485,-202.1348871831312421940738171,-4.463608257242101108218328711,-7.830836184631361128128035321,-5.747915967544679822863538991,-6.717779346349499710281926271,-5.432940911832981086226396141,-7.688679295322882973740642821,-5.884926035576035190301251081,-42.62486838890371795877220062,-2.822753342574159721443627212,-170.0285917085987576417932457,-105.2492963813900292752361595,-5.658401188084994097747873351,-4.117264117927040645394016401,-5.122785983529133310738642381,-107.0476641442941408954868911,-4.611960359763149346493569631,-114.0478185965771237175385287,-174.3139871188574596025376551,-96.28330284880367157450661064,-44.07805584047381981796297050,-3.656448954827183731997163641,-5.737015127087941957287601325,-329.5592309979528824139081539,-7.340193132207764257226636601,-3.691587452502575243743344441,-4.941139404547374421401290779,-44.95691242491905635767277783,-329.6297007243051406336502259,-119.6315260233845704563102443,-7.137689009071779936896658911,-7.137689004071405422839970241,-30.63054541692356344673047873,-20.28005446340976434872928247,-36.33788492751057448664408750,-108.9035200330841420498003528,-113.7072794074203440118389972,-276.0137433119939501480107530,-328.4113043631692564335406187,-7.830836184631340095244245931,-3.158091865817458167553749441,-115.6429318036415868098742149,-144786.4063676832577155237272,-110.9450274896769360369183780,-7.137779309454325520406106061,-117.7382789343816384637492495,-43.19307424153505079836540370,-4.429638802969194208628035341,-30.87145017159000572028598945,-51.38520733268064915283440661,-25.64000890526517826819678352,-114.1265112607117423033245038,-119.4998284153374254100993715,-103.6073933619632604092404474,-31.41162949470500506814824827,-228.2932586846320669567263496,-0.859705652884382507186350521,-37.75267391506811941511587990,-20.02312405977721368785851791,-7.830836184631351998479093511,-68.37932105300982631170876397,-64.75830553024702705601286699,-7.830836184631349853329467861,-105.9636788711352246837181833,-6.732223895963237042774652341,-7.137689004071405431634180951,-5.212318261086092943918214257,-33.82786096824520575207642495,-51.02427270988032860091814892,-7.137689004071400257448416511,-186.3357321162594403907351732,-86.36404360419264809391689531
