,Neu5Ac(a2-3),GlcNAc(b1-3/4),GalNAc(b1-4),Gal(b1-3),Man(a1-3),GlcA(b1-3),Gal(b1-4),GlcNAc(b1-2),Glc(a1-3),ManNAc(b1-2),GalNAc(b1-2),GlcNAc(b1-6),Man(b1-3/4),GlcNAc(b1-4),D-Fuc(a1-6),ManNAc(b1-3),Kdn(a2-3),Neu5Ac(a2-3/6),Xylf(b1-2),Kdn(a2-6),Neu5Gc(a2-3),Man(a1-3/6),D-Fuc(b1-6),D-Fuc(a1-3),D-Alt(a1-3),Fuc(b1-6),Man(b1-4),Xyl(b1-2),AllNAc(b1-6),GalNAc3/4S(b1-4),GlcNAc,GlcNAc(b1-3),Man(a1-2),GlcNAc(a1-2),Fuc(a1-2),Neu5Gc(a2-6),Neu5Ac9Ac(a2-6),Gal3S(b1-4),Neu5Ac(a2-6),GalNAc3S(b1-4),Man(a1-6),Fuc(a1-6),Gal(a1-3),ManNAc6S(b1-2),L-6dTal(a1-3),Fuc(a1-3),Gul(b1-4),Gal(b1-3/4),L-6dGul(a1-6),GlcNAc6S(b1-2),Glc(a1-2)
0,-130.4122154971625015430000000,-543.9254622858335398498184326,-206.8370196868470025698062292,-95.04683320941184528029899702,-0.16433554388060004200405374,-210.0566991536869447180420025,-131.3243325141104430480677314,-53.09382885574395491751485217,-52.73967577922578226368928140,-88.81025664802461022590522498,-111.0814432324794268775829854,-130.8910925758061475277627537,-310.4375183022381898498184326,-2.78459858764879489980155258,-524.5738020151238877958413726,-284.5993130511951806508285312,-233.8162619329027849051262771,-234.5036387097140731421233205,-433.6260794518166898332400614,-234.3144525421581526077415693,-200.7087946931258275118611293,-3.23710210378760985373956142,-527.2555263165699235498184326,-526.4290364200880498498184326,-4.86481590954640410933517217,-528.8425416121400498498184326,-206.8988120504984324295101701,-471.2891807824679711132400614,-389.7292953914448004677627538,-113.5628041944591943635049496,-73609.40311975799296170020030,-160.1162979676911532900434208,-3.15126280569039603076764245,-57.44853152689152107666108366,-227.9017833150939271526215019,-227.3797915695604209476082771,-257.2428150560830711320092312,-169.2196517415748637643953297,-230.2657694717576080524247688,-159.6985196950249146334724274,-42.24335172254799102400405375,-528.7554471537844804294184326,-143.6923177162359459655735957,-354.2289941196775206264883207,-400.5280044241124219610765207,-218.8238964850284970395954080,-157.3578727095789643609915972,-329.0009907953036680453075303,-528.3356049488028298498184326,-106.0556205338658263734135288,-128.2048804257844545422083492
1,-19.25185762940373229798991488,-47.90066733618531159104158898,-50.80778941516101327605051627,-29.72839483799712124486283020,-39.47074340692330311411021098,-32.28133186234567221797779718,-12.13802620499557981652628484,-1.210441176116858676739839100,-4.278487045862637097038671900,-3.915195716676612328115133470,-50.55290971763796578236066777,-46.92755319565916184654012199,-130.6192538098117316329154193,-0.662287842792915952836014930,-113.8690229492144325536717218,-5.006476306072144794948988680,-31.20446067603661100284258357,-31.95012634002780574175428021,-494.0066350631841941876187925,-34.25542337319335747289446429,-30.92584364017115222925275661,-49.16490101368799398858718437,-113.6166566541005312806108653,-113.0369578106670967376343652,-320.8675191421340364538885848,-114.5186086972476952039876582,-52.51137947158065461283918234,-570.7005577168760817515197442,-48.39240786139048221268161176,-52.64069329778880970916390821,-121310.2422508054363011918073,-3.187865890903839957020782560,-2.653374943732285832865430090,-4.290341168484035476803972480,-28.54683217328408009171600156,-32.91369046192375619392923663,-35.00961682226911434406162619,-45.12245855953404524629703954,-31.78961921058657412022866385,-87.81645906257938400270420987,-27.48757929866654966832693282,-107.4890576493914999557496613,-4.961587269733383090048268040,-89.23009764094881950008563707,-5.006476024116043035656363540,-56.51259261790970194304662331,-88.34965782033902332279967667,-51.78704797557166577880299782,-113.5470221407205159958290927,-5.006476024114033939470971680,-50.17030574982538202523521161
2,-75.00754157784440054814521542,-736.4406232996008371683733189,-211.2041606415602753093734902,-99.55582819935158973056569140,-22.97019120453076527436090586,-180.8414884258976972202559535,-118.0594392684996517463333604,-0.364776873201171570691218485,-44.38736593185803805432019984,-3.267038927451056680991499985,-4.880850362772991800468628955,-1.661974537904780302264563415,-785.5407220985021115208210965,-15.48252975755190815408100160,-292.1225602488723485795489713,-376.6169800760352845604609024,-209.8870174037684629020798504,-210.1939711291663960085414275,-604.7105601616033634360004630,-202.7600712422689600070852782,-167.1661052336984672766100297,-16.36959314448291037338421388,-594.7117519920566461285993948,-594.5662704736282757742728947,-239.8583688748213820276240114,-596.9104222045441643234604979,-520.6341611092926622067699439,-696.8630342645762663067527528,-4.187703182213049178196567995,-93.37602676183283605197524588,-4.880850362772981178275890695,-5.045969340486816977606244085,-3.644304427722686457486378915,-4.928474455734463860154115535,-202.3732601144794272392035791,-197.6196995821412268952938544,-275.6698860298163235760332142,-366.9772913482640072908610481,-202.3928298996758594948221434,-208.1259546154437252502379916,-54.67913181447639655318733140,-587.9850726666526408938468633,-35.01813750619247823076248860,-4.880850362772962998850426885,-90.27889251264409205451800188,-208.7624280843730615907140388,-356.3075878692399988232400286,-364.2474492767979403375441921,-595.7818298051449656133192592,-133.9662003839000159329818209,-94.16624879582918462935994618
3,-25.04359448735003297120569780,-494.3031844183099847037827834,-142.0759970704550449639173091,-4.385038367265650811364785155,-35.41179223617078185698018294,-52.89740465143201884212427302,-12.96264166481457216641551120,-37.73633609535209181424313138,-10.23109842181296984231334638,-121.2454283333019497339418073,-102.2186194238969251427155695,-121.7644838649794820530421166,-235.7430313520558976296834411,-51.37855794240542832018261270,-411.5062305982926896943855964,-246.1843387010561516125079065,-61.59110702427208624386629368,-62.86659335204151726481747846,-205.9586105885109562723828134,-39.52867975388964395339630874,-51.64004975367519014565193680,-3.106157304570537303104098595,-595.5258990549153722499953703,-596.5015049375995808679396703,-370.2592824674096303834851885,-597.9734005732008051532185333,-92.87483610074382947342574324,-245.4207826958929463908507440,-363.5796137070356254620338943,-66.40572901373612390219689994,-28298.39654173644839065614456,-39.94318792949268160264567824,-3.190282366689549635201324705,-42.03680129208699197594176342,-53.58017586332213041111542042,-53.60870165943797559405069548,-125.5016770602922527755034707,-97.60158919650169506357765904,-48.12589918333326831256304824,-84.89260260871623241770495174,-0.120251830109510203779179105,-593.4697614497712107084367915,-21.54557103682477909679737132,-566.2508489195295318792043693,-218.9302941631564589841148608,-155.7381800204915928374053547,-84.15923967308849678049638754,-254.8560111133823063520800508,-596.1516100806078540547352767,-132.2880426922918100164568149,-4.208464697965419966340249035
4,-38.63958758420105946360031692,-5.786097107474272108593323475,-4.405632092758565942839140775,-3.694622856471236977957555975,-177.6894431969792770218111541,-48.30205920489889352993536268,-0.628829756171695741638193515,-195.6978506114381646792750813,-8.940774694067500568552698115,-235.6093032446986433068069273,-211.9372154575122029031111986,-200.8822196507856469578275855,-322.6664815839003632326839383,-1.692347916518027017923597375,-3.994337638246222701841297165,-53.20309088883169449158679348,-47.90566322753642196090090466,-50.06338710572443759619052842,-377.1478151005655763982069854,-49.31471934032976650834075222,-46.29009057466210814297370730,-184.1260351961339035782693417,-4.687484818806165183974219785,-5.786097107474273591339699725,-511.7919271584964029863795689,-5.786097107474275208376596695,-18.63357010233755125705955544,-497.5040004037818604573586979,-223.6467181104328447339932180,-5.111109179740485256288662765,-241518.2791698089249102785416,-44.09889455657029500686347922,-4.648956243211299151476525785,-203.8168141511900236622426425,-43.62019083052016143966440980,-47.02687412830423976896548490,-48.97499683569237447572091420,-4.687485931606680450799682925,-45.56777841990710536309395190,-6.372257360061230103559907145,-209.2341349359726537096358327,-2.024896991780709167572569365,-17.86363967619153624381121600,-295.0698601755009137920628695,-36.76682157207724841099258828,-3.221147750012733544624839545,-6.894084529578603344825747665,-5.092949926914330421155495295,-5.786097107474267373587605605,-249.3006675462239771318045887,-12.72669613932464880265526514
5,-1.881283024060844350121131476,-197.0248743284264544309539004,-5.354807164331466576991174706,-5.147681401494733581222427796,-149.9600639962556476560541836,-3.991496204639678533169540096,-4.540666035298759107034771516,-159.3852341577382494321995759,-4.319416545023488898795682096,-250.7183377847835223470718429,-180.0127708485036979542872068,-206.6135052159395698089540471,-5.377790565759215735486136566,-36.48462212225094494169257756,-72.58676676695629882594725135,-20.45929798522115746591173817,-3.991496204640380205441762056,-3.991496204639830509599728866,-4.684643385199279942904098226,-3.991496204639384921034610726,-3.075205472765721714877915666,-36.42523607365386002316589495,-349.3903507873992802501917248,-348.8232903717790409339152247,-350.5312599481277549138700700,-351.1617639383659178897127277,-0.782670742218297211790344256,-4.684643385199292989839489796,-425.3642980319522306335109159,-8.702284322302765356149898326,-58220.27253723366584142066219,-4.282878172218597326533490122,-3.780309223283433558585951256,-178.1740104019737582064811221,-3.768352653337081906643690196,-3.991496204639524302974685256,-5.377790565759310958843172796,-17.98780954834990853676753182,-2.605201843519586356247810286,-6.190757524278925793104349576,-142.0923496725119042468035022,-348.1989384664258549931780683,-3.079807771526139875114582826,-258.6906222744613249140933820,-32.32387345093861767402769795,-54.45526309967551635428004562,-5.778600862388263370783358926,-84.09157200445962496519028693,-350.6083680365365938894610691,-310.3225779003190024061640962,-5.341421247173468191065778666
